CB_NAME_SANCTIONED_INVASION;Sanctioned Invasion of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_SANCTIONED_INVASION;$ORDER$$FIRST_ADJ$ Sanctioned Invasion of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_GRAND_INVASION;Grand Invasion of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_GRAND_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_GLORIOUS_INVASION;Glorious Invasion of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_GLORIOUS_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;;;;;;;;;x
grand_invasion;Call upon the tribes to unite to invade [Title.GetBaseName].;;;;;;;;;x
glorious_invasion;Call a Glorious Invasion upon [Title.GetBaseName];;;;;;;;;x
action_pacify;Pacify Province;;;;;;;;;x
action_pacify_desc;Send your [GetChancellorName] to pacify a province, reducing desire for rebellion but also reducing economic productivity in the process.;;;;;;;;;x
action_subterfuge;Conduct Subterfuge;;;;;;;;;x
action_subterfuge_desc;Send your [GetSpymasterName] to conduct subterfuge in a province, committing technological and military espionage, as well as discrediting local authorities and addling relations between them and their liege.;;;;;;;;;x
CB_NAME_REL_SUBJUGATION;Religious Subjugation of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_REL_SUBJUGATION;$ORDER$$FIRST_ADJ$ Religious Subjugation of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_PAG_CONQUEST;Pagan Conquest of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_PAG_CONQUEST;$ORDER$$FISRST_ADJ$ Pagan Conquest of $OTHER_TITLE$;;;;;;;;;x
action_organize_spies;Build Spy Network;Tisser un réseau d’espionnage;Agentennetzwerk aufbauen;;Crear una red de espías;;;;;;;;;x
action_organize_spies_desc;ocus his attention in the local people of note in the province, increasing the chance of intrigue events against the nobles as well as reducing the risk of rebellion by containing subversive elements.;Demandez à votre Maître-Espion de se concentrer sur les nobles locaux d’un comté afin d’augmenter les intrigues initiées contre eux.;Lasst Euren Agentenführer sich auf die hiesigen Adligen in einer Grafschaft konzentrieren, was die Chance auf Intrigen-Ereignisse gegen sie erhöht.;;Haz que tu jefe de espías centre su atención en los nobles de un condado, lo que aumenta la probabilidad de eventos de intriga contra ellos.;;;;;;;;;x
