Adoptionist				adoptionist
Alexandros-Ammonite		alexandros
Almaqahi				almaqah
Apollinarist			apollinarist
Ash'ari					ashari
Athari					athari
Teotli					aztec
Mahayana				bud_mahayana
Buddhaksetran			bud_pureland
Sthaviravada			bud_sthaviravada
Vajrayana				bud_vajrayana
Catholic				catholic
Haruri					haruri
Iconoclast				iconoclast
Jaina					jain
Manichaean				mani
Theomachian				mani_mithra
Maturidi				maturidi
Melkite					melkite
Mithraic				mithra
Mithraic-Christian		mithra_christ
Eosphorist				mithra_sol
Monophysite				monophysite
Monothelite				monothelite
Mu'tazili				mutazil
Nestorian				nestorian
Nyau					nyau
Pelagian				pelagian
Sabellianist			sabellianist
Semipelagian			semipelagian
Shia					shiite
Solomonic-Alexandrian	solomonic_alexandros
Yorùbá					yoruba
Zahiri					zahiri
Zalmoxian				zal
Christo-Zalmoxian		zal_christ
Apogenesianist			zal_mani
Zoroastrian				zoroastrian

Akomanic				ahriman_reformed
Amarnist				aten_reformed
Mastimani				berber_pagan_reformed
Dzogcheni				bon_reformed
Linji					bud_zen_reformed
Consolamentian			cathar_reformed
Franciscan				christian_populist_reformed
Matar Kubileyan			cybele_reformed
Ulu Ordogh Tanrili		erlik_reformed
Maher Aelshadayi		ethiopian_war_reformed
Typhonist				illuyanka_reformed
Angakkuqi				inuit_pagan_reformed
Sekhmetist				isis_reformed
Lushèngdìjun Chóngbài	lubu_reformed
Adunayic				mand_ruha_reformed
Rišamman				mandaean_reformed
Marianist				mari_christ_reformed
Desnadi					mazdakism_reformed
Arumugani				murugan_reformed
Amir al-Mu'minini		muslim_aliite_reformed
Mujahid					muslim_domination_reformed
Apologetic				priscillian_reformed
Røkkatrú				ragnarok_reformed
Kheprian				set_reformed
Slavonic Theantropist	slavic_christian_reformed
Tàipíng Dào				tao_reformed
Lagô Siduzic			teiwaz_reformed
Datsanist				tengri_bud_reformed
Yitian Chóngbài			tengri_confucian_reformed
Bai-Ülgeni				tengri_mani_reformed
Vithoban				vidharma_reformed
Voittoisa Tuuli			voipel_reformed
Mbambui					zande_pagan_reformed
Angrayasnan				zor_angra_reformed
Unkulunkulan			zulu_pagan_reformed
Ptâ Zrvânahê			zurvanism_reformed
