1.2.1 = { holder=1711637 } #Ptolemaids
43.1.1 = { holder=1711717 }
97.1.1 = { holder=1711718 }
139.1.1 = { holder=1711719 }
166.1.1 = { holder=1711720 } 
204.1.1 = { holder=1711721 }
212.1.1 = { holder=1714568 } #Ghassanids
265.1.1 = { holder=1714569 }
270.1.1 = { holder=1714570 }
287.1.1 = { holder=1714571 }
307.1.1 = { holder=1714572 }
317.1.1 = { holder=1714573 }
327.1.1 = { holder=1714574 }
330.1.1 = { holder=1714575 }
331.1.1 = { holder=1714576 }
340.1.1 = { holder=1714577 }
342.1.1 = { holder=1714578 }
356.1.1 = { holder=1714579 }
361.1.1 = { holder=1714581 }
362.1.1 = { holder=1714582 }
388.1.1 = { holder=1714580 }
391.1.1 = { holder=1714583 }
418.1.1 = { holder=1714585 }
433.1.1 = { holder=1714584 }
434.1.1 = { holder=1714588 }
453.1.1 = { holder=1714586 }
455.1.1 = { holder=1714587 }
456.1.1 = { holder=1714589 }
465.1.1 = { holder=1714590 }
472.1.1 = { holder=1714591 }
486.1.1 = { holder=1714592 }
512.1.1 = { holder=1714594 }
529.1.1 = { holder=1714595 }
530.1.1 = { holder=1714596 }
569.1.1 = { holder=1714597 }
581.1.1 = { holder=1714598 }
582.1.1 = { holder=1714599 }
583.1.1 = { holder=1714600 }
584.1.1 = { holder=1714602 }
603.1.1 = { holder=1714601 }
604.1.1 = { holder=1714603 }
614.1.1 = { holder=1714604 }
616.1.1 = { holder=1714605 }
618.1.1 = { holder=1714606 }
628.1.1 = { holder=1714607 }
632.1.1 = { holder=1714608 }
637.1.1 = { holder=1713125 } #Muawiyah's line (aka the Sufyanids)
680.1.1 = { holder=1713126 }
683.1.1 = { holder=1713127 }
684.1.1 = { holder=1714696 }
704.1.1 = { holder=1714698 }
722.1.1 = { holder=1714699 }
742.1.1 = { holder=1714700 }
766.1.1 = { holder=1714701 }
772.1.1 = { holder=1714702 }
776.1.1 = { holder=1714703 }
779.1.1 = { holder=1714704 }
784.1.1 = { holder=1714705 }
798.1.1 = { holder=1714706 }
803.1.1 = { holder=1714707 }
812.1.1 = { holder=1714708 }
824.1.1 = { holder=1714709 }
844.1.1 = { holder=1714710 }
847.1.1 = { holder=1714711 }
850.1.1 = { holder=1714712 }
867.1.1 = { holder=1714713 }
882.1.1 = { holder=1714714 }
903.1.1 = { holder=1714715 }
912.1.1 = { holder=1714716 }
920.1.1 = { holder=1714717 }
932.1.1 = { holder=1714718 }
945.1.1 = { holder=1714719 }
953.1.1 = { holder=1714720 }
958.1.1 = { holder=1714721 }
975.1.1 = { holder=1714722 }
980.1.1 = { holder=1714723 }
994.1.1 = { holder=1714724 }
1002.1.1 = { holder=1714725 }
1017.1.1 = { holder=1714726 }
1032.1.1 = { holder=1714727 }
1039.1.1 = { holder=1714728 }
1044.1.1 = { holder=1714729 }
1049.1.1 = { holder=1714730 }
1059.1.1 = { holder=1714731 }
1063.1.1=
{
	holder=823
	law = agnatic_succession
}
