#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IMPRISON_INTERACTION_1;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;Cette option augmentera votre tyrannie de §R10§! pour un courtisan ou §R20§! pour un vassal.;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;Tous les titres de [Recipient.GetPossPronoun] seront confisqués, ce qui augmentera votre tyrannie de §R20§!.;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;;;;;;;;;x
EXECUTE_IMPRISONED_INTERACTION_1;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;Cette option augmentera votre tyrannie de §R5§! pour un courtisan ou de §R10§! pour un vassal.;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;;;;;;;;x
opinion_refused_convert;Refused to Convert;Refuser de se convertir.;Bekehrung Verweigert;;Refused to Convert;;;;;;;;;x
opinion_converted;Convert;Se convertir.;Bekehrte;;Convert;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown laws in the §Y$CROWN_TITLE$§!, our vassals cannot object.;Grâce aux lois de la couronne de §Y$CROWN_TITLE$§!, vos vasaux ne peuvent refuser.;Dank der Krone-Gesetze in §Y$CROWN_TITLE$ §!, können unsere Vasallen nicht protestieren.;;Thanks to the crown laws in the §Y$CROWN_TITLE$§!, our vassals cannot object.;;;;;;;;;x
player_no_ambition;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Lack of Ambition;;;;;;;;;x
player_no_ambition_desc;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Lack of Ambition;;;;;;;;;x
opinion_no_ambition;You should pick an ambition for your ruler.;Vous devriez choisir une ambition pour votre souverain.;Sie sollten einen Ehrgeiz für Ihren Herrscher wählen.;;You should pick an ambition for your ruler.;;;;;;;;;x
tp_school_3;Large Cathedral School;Grande école septonale;Große Domschule;;Colegio catedralicio grande;;;;;;;;;x
holy_war_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. Deus Vult!;Le(La) §Y$CLAIMANT$§! peut utiliser ce casus belli pour s’emparer de tous les titres que possède l’infidèle §Y$TARGET$§! au sein du(de la) §Y$TITLE$§! de jure. Les dieux le veulent ainsi !;§Y$CLAIMANT$§! kann diesen Kriegsgrund zur Konfiszierung aller Titel benutzen, die das ungläubige Ziel, §Y$TARGET$§!, unter dem de jure-Titel §Y$TITLE$§! bekleidet. Deus Vult!;;§Y$CLAIMANT$§! puede usar este Casus Belli para apoderarse de todos los títulos que posee el infiel, §Y$TARGET$§!, dentro del §Y$TITLE$§! de iure. ¡Deus Vult!;;;;;;;;;x
TECH_DEM_INC_K_E;§G+0.5§! demesne size for Kings & Emperors;§G+0.5§! surface de terres pour les rois et empereurs;§G+0.5§! Größe des Grundbesitzes für Könige und Kaiser;;§G+0.5§! tamaño de señoríos para Reyes y Emperadores;;;;;;;;;x
TECH_DEM_INC_D;§G+0.5§! demesne size for High Lords;§G+0.5§! surface de terres pour les grand lords;§G+0.5§! Größe des Grundbesitzes für Herzöge;;§G+0.5§! tamaño de señoríos para Duques;;;;;;;;;x
TECH_DEM_INC_C;§G+0.5§! demesne size for Lords;§G+0.5§! surface de terres pour les lords;§G+0.5§! Größe des Grundbesitzes für Grafen;;§G+0.5§! tamaño de señoríos para Condes;;;;;;;;;x
TECH_DEM_INC_B;§G+0.5§! demesne size for Sers;§G+0.5§! surface de terres pour les chevaliers fieffés;§G+0.5§! Größe des Grundbesitzes für Barone;;§G+0.5§! tamaño de señoríos para Barones;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$ENEMY$§! has joined §Y$WHO$§! in the §Y$WAR$§!;§Y$ENEMY$! a rejoint §Y$WHO$! dans la §Y$WAR$! !;§Y$ENEMY$§! schließt sich §Y$WHO$§! im §Y$WAR$§! an;;§Y$ENEMY$§! Se ha unido a §Y$WHO$§! en la §Y$WAR$§!;;;;;;;;;x
CB_NAME_TRIBAL_INVASION;Invasion of [Title.GetName];Invasion de [Title.GetName];Invasion von [Title.GetName];;Invasion of [Title.GetName];;;;;;;;;x
WAR_NAME_TRIBAL_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ invasion $FIRST_ADJ$ du(de la) $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;$ORDER$Invasión $FIRST_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
tribal_invasion_desc;Tribes do not bother with just causes - might makes right!;Les clans n'ont que faire des causes justes, ils règnent par la force !;Stämme kümmern gerechte Sachen nicht - es gilt das Recht des Stärkeren!;;Las tribus no pierden el tiempo con causas justas. ¡Es el poderoso quien determina lo que es justo!;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_1;This will increase their opinion of you by §G50§!.;L’opinion qu’ils ont de vous augmentera de §G50§!.;Dadurch erhöht sich ihre Meinung über Sie um §G50§!.;;This will increase their opinion of you by §G50§!.;;;;;;;;;x
HAS_LANDED_TITLE;Holds the title of $TITLE$;Tient le titre de $TITLE$ ;Ist $RULERTITLE$ von $TITLE$;;Es $RULERTITLE$ de $TITLE$;;;;;;;;;x
PADISHAH;Great Sultan;Grand Sultan;Großsultan;;Great Sultan;;;;;;;;;x
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;Ne me présentez plus jamais pareilles pétitions !;Bringen Sie solche Bitten niemals wieder vor!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;;;;;x
GOD_HASHEM;Hashem;Hashem;Hashem;;Hashem;;;;;;;;;x
GOD_ADONAI;Adonai;Adonai;Adonai;;Adonai;;;;;;;;;x
ISNT_CLOSE_RELATIVE;Not a close relative of;N’est pas apparenté(e) à;Kein naher Verwandter von;;Not a close relative of;;;;;;;;;x
THE_TORAH;The Torah;La Torah;Die Torah;;The Torah;;;;;;;;;x
ca_culture_group_arabic_1;Small Riding Grounds;Petit manège;Kleines Reitgelände;;Zona de equitación pequeña;;;;;;;;;x
ca_culture_group_arabic_2;Medium Riding Grounds;Manège intermédiaire;Mittleres Reitgelände;;Zona de equitación mediana;;;;;;;;;x
ca_culture_group_arabic_3;Large Riding Grounds;Grand manège;Großes Reitgelände;;Zona de equitación grande;;;;;;;;;x
ca_culture_group_arabic_4;Great Riding Grounds;Très grand manège;Riesiges Reitgelände;;Zona de equitación muy grande;;;;;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§!.;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen.;;§Y$CLAIMANT$§! puede intentar destituir a §Y$TARGET$§!.;;;;;;;;;x
summer_fair_0;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_0_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_0;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_0_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_0;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x
hold_grand_hunt_0_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
summer_fair_1;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_1_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_1;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_1_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_1;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x
hold_grand_hunt_1_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
summer_fair_2;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_2_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_2;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_2_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_2;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Únete a una gran cacería;;;;;;;;;x
hold_grand_hunt_2_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
succ_turkish_succession;Open;Ouvert;Offen;;Open;;;;;;;;;x
succ_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y33%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du souverain sont répartis entre ses enfants, l’aîné héritant du titre principal. Si le souverain n’a pas d’enfants, la loi basée sur la primogéniture s’applique. Vous ne subissez aucune pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un domaine §Y33%§! plus grand. La loi basée sur le gavelkind est très appréciée de tous, sauf de l’aîné des enfants.;Die Titel des Herrschers werden unter seinen Kindern verteilt, wobei das älteste Kind den Primärtitel erhält. Hat der Herrscher keine Kinder, die seine Nachfolge antreten können, gilt das Ältestenrecht. Ihr erleidet durch landlose Söhne keine Prestigeverluste, und Eure Domäne kann um §Y33%§! größer sein. Außer beim ältesten Kind ist Gavelkind ein bei jedermann sehr beliebtes Gesetz.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y33%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;;;;;;;;;x
holding_epic_tournament;Hosting an Epic Tournament;Accueillir un grand tournoi;Veranstaltet ein episches Turnier;;Hosting an Epic Tournament;;;;;;;;;x
holding_grand_hunt;Hosting a Grand Hunt;Accueillir une grande chasse;Eine große Jagd veranstalten;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;;;;;x
holding_large_feast;Holding a Large Feast;Organiser une grande fête;Ein großes Fest geben;;Celebrando un gran banquete;;;;;;;;;x
civil_war;Civil War;Guerre civile;Bürgerkrieg;Civil War;Civil War;;;;;;;;;x
job_spiritual_judaism_group;Chief Rabbi;Grand Rabbin;Groß-Rabbi;;Chief Rabbi;;;;;;;;;x
wrong_religion_group_capital;Heathen Capital;Capitale païenne;Heiden Hochburg;Heathen Capital;Heathen Capital;Heathen Capital;;;;;;;;x
wrong_religion_group_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;;;;;;;;x
wrong_religion_capital;Heretic Capital;Capitale hérétique;Ketzer Hauptstadt;Heretic Capital;Heretic Capital;Heretic Capital;;;;;;;;x
wrong_religion_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;;;;;;;;;x
tall;Huge;Grand ;Groß;Tall;Tall;;;;;;;;;x
