#Modifiers;;;;;;;;;;;;;;x
CHARVIEW_TRAITS;Traits:;Traits:;Zuge:;Rasgos:;;;;;;;;;x
patrician_prerogative;Patrician Prerogatives;;;;;;;;;;;;;x
patrician_prerogative_desc;The difference of a patrician and a feudal lord is that the patrician rules with the consent of the people, however it was obtained. As such, these families typically wield more authority than their feudal equals, and with it more men to defend their realm.;;;;;;;;;;;;;x
negative_finances;Empty Treasury;;;;;;;;;;;;;x
negative_finances_desc;The treasury of the realm is empty, and our debts tarnish our legitimacy as well as demoralizes the men of our hosts, whom we are unable to pay, as well as restricts our actions as we are unable to finance the costs.;;;;;;;;;;;;;x
negative_authority1;Unrespected Ruler (I);;;;;;;;;;;;;x
negative_authority1_desc;Your authority as a ruler has plummeted, and people do not respect rulers who have not a shred of prestige or right to rule, nor obey their directives.;;;;;;;;;;;;;x
negative_authority2;Unrespected Ruler (II);;;;;;;;;;;;;x
negative_authority2_desc;Your authority as a ruler has plummeted, and people do not respect rulers who have not a shred of prestige or right to rule, nor obey their directives.;;;;;;;;;;;;;x
negative_authority3;Unrespected Ruler (III);;;;;;;;;;;;;x
negative_authority3_desc;Your authority as a ruler has plummeted, and people do not respect rulers who have not a shred of prestige or right to rule, nor obey their directives.;;;;;;;;;;;;;x
negative_authority4;Unrespected Ruler (IV);;;;;;;;;;;;;x
negative_authority4_desc;Your authority as a ruler has plummeted, and people do not respect rulers who have not a shred of prestige or right to rule, nor obey their directives.;;;;;;;;;;;;;x
abundant_authority1;Well Respected Ruler (I);;;;;;;;;;;;;x
abundant_authority1_desc;Our ruler is perceived as rightful by the people, who are more willing to serve and provide those who they view as legitimate and worthy;;;;;;;;;;;;;x
abundant_authority2;Well Respected Ruler (II);;;;;;;;;;;;;x
abundant_authority2_desc;Our ruler is perceived as rightful by the people, who are more willing to serve and provide those who they view as legitimate and worthy;;;;;;;;;;;;;x
abundant_authority3;Well Respected Ruler (III);;;;;;;;;;;;;x
abundant_authority3_desc;Our ruler is perceived as rightful by the people, who are more willing to serve and provide those who they view as legitimate and worthy;;;;;;;;;;;;;x
abundant_authority4;Well Respected Ruler (IV);;;;;;;;;;;;;x
abundant_authority4_desc;Our ruler is perceived as rightful by the people, who are more willing to serve and provide those who they view as legitimate and worthy;;;;;;;;;;;;;x
low_decadence;Low Decadence;;;;;;;;;;;;;x
low_decadence_desc;The purity of your dynasty inspires greater service and commands the respect of others;;;;;;;;;;;;;x
medium_decadence;Considerable Decadence;;;;;;;;;;;;;x
medium_decadence_desc;The decadence of your dynasty is appalling, and saddens others;;;;;;;;;;;;;x
high_decadence;Significant Decadence;;;;;;;;;;;;;x
high_decadence_desc;The intolerable decadence of your dynasty is loathsome and disgusts others.;;;;;;;;;;;;;x
weak_diplomacy;Diplomatic Disaster;;;;;;;;;;;;;x
weak_diplomacy_desc;The pitiful charisma, or lack thereof, of your ruler is taking its toll on his capability to rule the realm or even earn a respectful opinion from others.;;;;;;;;;;;;;x
weak_martial;Miles Gloriosus;;;;;;;;;;;;;x
weak_martial_desc;This person believes himself the Alexandros reborn. Anyone who has seen him wield a sword by the pointy end like a hammer will nod if it allows them to hide the demoralization knowing this ruler also wields the rein of the realm.;;;;;;;;;;;;;x
weak_stewardship;Catastrophic Corruption;;;;;;;;;;;;;x
weak_stewardship_desc;The ill-conceived administrative policies of this ruler has resulted into massive inefficiencies and ultimately corruption, leading to coin lost and peasants enraged.;;;;;;;;;;;;;x
weak_intrigue;Intrigue Incompetence;;;;;;;;;;;;;x
weak_intrigue_desc;The right to rule is challenged constantly and continuously. This ruler has proven incapable of flexibility and discretion, resulting to him being an open book and taken advantage of in coin and blood.;;;;;;;;;;;;;x
weak_learning;Ignorance Incarnate;;;;;;;;;;;;;x
weak_learning_desc;Knowledge is power, and this ruler's ignorance results to inefficiency and thus wastage of coin, opportunity, and ultimately respect.;;;;;;;;;;;;;x
considerable_diplomacy;Renowned Diplomat;;;;;;;;;;;;;x
considerable_diplomacy_desc;This ruler knows the weight charisma carries and can use it well to influence men to obedience.;;;;;;;;;;;;;x
considerable_martial;Renowned Commander;;;;;;;;;;;;;x
considerable_martial_desc;This ruler knows the arts of war well enough to inspire men to fight more in quality and quantity.;;;;;;;;;;;;;x
considerable_stewardship;Renowned Investor;;;;;;;;;;;;;x
considerable_stewardship_desc;This ruler knows the flow of gold more than most, and can invest wealth better as a consequence.;;;;;;;;;;;;;x
considerable_intrigue;Renowned Puppetmaster;;;;;;;;;;;;;x
considerable_intrigue_desc;This ruler knows how to pull just the right strings to play the noble game.;;;;;;;;;;;;;x
considerable_learning;Renowned Scholar;;;;;;;;;;;;;x
considerable_learning_desc;This ruler's pursuit of knowledge earns not only people's respect but also the improvement of the realm.;;;;;;;;;;;;;x
strong_diplomacy;Legendary Worldwelder;;;;;;;;;;;;;x
strong_diplomacy_desc;Some men possess the fire to lead men to the beyond. Where this man walks, the living follow, even to hell and back.;;;;;;;;;;;;;x
strong_martial;Legendary Warmaster;;;;;;;;;;;;;x
strong_martial_desc;Behold Alexandros Reborn! His name is the rally cry of warriors of legends, and his person the avatar of victory incarnate. ;;;;;;;;;;;;;x
strong_stewardship;Legendary Wealthbringer;;;;;;;;;;;;;x
strong_stewardship_desc;The touch of Midas is but a fraction to this man's talent, whose mere involvement in anything is a catalyst to alchemy of garbage to gold.;;;;;;;;;;;;;x
strong_intrigue;Legendary Webweaver;;;;;;;;;;;;;x
strong_intrigue_desc;No whisper escapes the ear of this man, be it a lover's sigh, a plotter's mutters, or a rival's last words.;;;;;;;;;;;;;x
strong_learning;Legendary Wisdomseeker;;;;;;;;;;;;;x
strong_learning_desc;Wisdom is the distillation of knowledge and experience, and the wake of this man's pursuit is brimming with innovations.;;;;;;;;;;;;;x
strong_all;Kwisatz Haderach;;;;;;;;;;;;;x
strong_all_desc;Some men are legends in their own right. This man is the alpha and omega of them all - the avatar of humanity's perfections, a being whose name will transcend time and warp the reality of the Realms of Man into his own image.;;;;;;;;;;;;;x
republic_diplomacy;Arbiter of the People;;;;;;;;;;;;;x
republic_diplomacy_desc;It is a man with a soul forged with steel who can grasp the reins of the reign of the realm.;;;;;;;;;;;;;x
republic_martial;Champion of the Masses;;;;;;;;;;;;;x
republic_martial_desc;The best shield of the people is the man who can remove the threat most effectively.;;;;;;;;;;;;;x
republic_stewardship;Harvester of the Community;;;;;;;;;;;;;x
republic_stewardship_desc;Wealth is what you make of what the world can offer.;;;;;;;;;;;;;x
republic_intrigue;Enforcer of the Public;;;;;;;;;;;;;x
republic_intrigue_desc;It takes a strong man to deny the truth that is right in front of him, and enforce his own truths.;;;;;;;;;;;;;x
republic_learning;Illuminati of the Society;;;;;;;;;;;;;x
republic_learning_desc;It is the Light of Understanding that guides the hands of society.;;;;;;;;;;;;;x
defend_major;Massive Defensive War;;;;;;;;;;;;;x
defend_major_desc;The enemy has decided that they will pull no stops and show no mercy in expelling us from our lands. But we will show them that our resolve is made of equal steel. This is our land, and they will pay for it with their blood every step of the way.;;;;;;;;;;;;;x
defend_minor;Minor Defensive War;;;;;;;;;;;;;x
defend_minor_desc;Our enemies defile the peace and bring their hosts to our lands. Show them they shall reap what they sow with the price of their blood.;;;;;;;;;;;;;x 
defend_imperial;Defending against a Massive Realm;;;;;;;;;;;;;x
defend_imperial_desc;An massive realm has decided to make use of their massive manpower to step on us. Let us show them than we will not be trampled upon easily, and let us give them a fight that will make them regret their decision.;;;;;;;;;;;;;x
attack_imperial;Attacking a Minor Realm.;;;;;;;;;;;;;x
attack_imperial_desc;Our almost guaranteed victory in this war makes both our troops complacent and the vassals unkeen in supplying men and money to do so, not to mention the odd degrading looks they have for our realm for some reason, which may not be a good thing.;;;;;;;;;;;;;x
attack_unjust;Aggressive Offensive War;;;;;;;;;;;;;x
attack_unjust_desc;To unite the Realm of Man, some sacrifices are necessary. The people  of the realm know this and must accept this, for the good of the realm;;;;;;;;;;;;;x 
attack_just;Righteous Offensive War;;;;;;;;;;;;;x
attack_just_desc;Our war is a just war. The people of the realm know this, and they show support our war effort with gold and fervor.;;;;;;;;;;;;;x 
efficiency_county;Efficient Local Control;;;;;;;;;;;;;x
