#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tr_port_1;Small Merchant Port;Petit port marchand;Kleiner Handelshafen;;Puerto Mercante Pequeño;;;;;;;;;x
tr_port_3;Large Merchant Port;Grand port marchand;Großer Handelshafen;;Gran Puerto Mercante;;;;;;;;;x
tr_warehouse_1;Small Warehouse;Petit entrepôt;Kleines Lagerhaus;;Almacén Pequeño;;;;;;;;;x
tr_warehouse_3;Large Warehouse;Grand entrepôt;Großes Lagerhaus;;Gran Almacén;;;;;;;;;x
tr_enclave_1;Small Merchant Enclave;Petite enclave marchande;Kleine Handelsenklave;;Enclave Mercante Pequeño;;;;;;;;;x
tr_enclave_3;Large Merchant Enclave;Grande enclave marchande;Große Handelsenklave;;Gran Enclave Mercante;;;;;;;;;x
tr_garrison_1;Small Garrison;Petite garnison;Kleine Garnison;;Guarnición Pequeña;;;;;;;;;x
tr_garrison_3;Large Garrison;Grande garnison;Große Garnison;;Gran Guarnición;;;;;;;;;x
tr_fort_1;Small Fort;Petit fort;Kleines Fort;;Fuerte Pequeño;;;;;;;;;x
tr_fort_3;Large Fort;Grand fort;Großes Fort;;Gran Fuerte;;;;;;;;;x
ca_wall_q_1;Shallow Castle Moat;Douves;Seichter Burggraben;;Foso de castillo poco profundo;;;;;;;;;x
ca_wall_q_2;Arrow Slits;Meurtrières;Schießscharte;;Hendiduras para lanzar flechas;;;;;;;;;x
ca_wall_q_3;Portcullis;Herse;Fallgitter;;Rastrillo;;;;;;;;;x
ca_wall_q_4;Deep Castle Moat;Pont-levis;Tiefer Burggraben;;Foso de castillo profundo;;;;;;;;;x
ca_wall_q_5;Barbicans;Barbacanes;Vorwerke;;Barbacanas;;;;;;;;;x
ca_wall_1;Wooden Palisade;Palissade;Holzpalisade;;Empalizada de madera;;;;;;;;;x
ca_wall_2;Low Stone Wall;Murs;Niedrige Steinmauer;;Muro de piedra bajo;;;;;;;;;x
ca_wall_3;Medium Stone Wall;Remparts;Mittlere Steinmauer;;Muro de piedra mediano;;;;;;;;;x
ca_wall_4;Large Stone Wall;Murailles;Große Steinmauer;;Muro de piedra grande;;;;;;;;;x
ca_wall_5;Huge Stone Wall;Grandes murailles;Riesige Steinmauer;;Muro de piedra muy grande;;;;;;;;;x
ca_keep_1;Castle Donjon;Logis;Burgfried;;Torre del homenaje;;;;;;;;;x
ca_keep_2;Castle Keep;Tour;Bergfried;;Torreón;;;;;;;;;x
ca_keep_3;Expanded Keep;Donjon;Erweiterter Bergfried;;Torreón ampliado;;;;;;;;;x
ca_keep_4;Large Keep;Châtelet;Großer Bergfried;;Torreón grande;;;;;;;;;x
#ca_militia_barracks_1;Militia Training Ground;Camp des miliciens;Miliz-Übungsplatz;;Campo de entrenamiento de la milicia;;;;;;;;;x
#ca_militia_barracks_2;Archery Range;Archerie;Bogenschießplatz;;Arquería;;;;;;;;;x
#ca_militia_barracks_3;Large Archery Range;Guilde des archers;Großer Bogenschießplatz;;Arquería grande;;;;;;;;;x
#ca_training_grounds_1;Training Grounds;Champ de tir à l'arc;Übungsplätze;;Campo de entrenamiento;;;;;;;;;x
