#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
byzantine;Hellenic;;;;;;;;;;;;;x
hellenistic;Hellenistic;;;;;;;;;;;;;x
greek;Rhomaion;;;;;;;;;;;;;x
indohellenic;Indohellenic;;;;;;;;;;;;;x
gandharan;Gandharan;;;;;;;;;;;;;x
tocharian;Sogdian;;;;;;;;;;;;;x
sinohellenic;Sinohellenic;;;;;;;;;;;;;x
viethellenic;Viethellenic;;;;;;;;;;;;;x
latin;Latin;;;;;;;;;;;;;x
roman;Roman;;;;;;;;;;;;;x
frankish;Frankish;;;;;;;;;;;;;x
norman;Norman;;;;;;;;;;;;;x
dacian;Dacian;;;;;;;;;;;;;x
italian;Italian;;;;;;;;;;;;;x
occitan;Occitan;;;;;;;;;;;;;x
catalan;Catalan;;;;;;;;;;;;;x
romanian;Vlach;;;;;;;;;;;;;x
romanobrython;Romano-Briton;;;;;;;;;;;;;x
galloroman;Gallo-Roman;;;;;;;;;;;;;x
romanogothic;Romano-Gothic;;;;;;;;;;;;;x
iranian;Iranian;;;;;;;;;;;;;x
persian;Persian;;;;;;;;;;;;;x
parthian;Parthian;;;;;;;;;;;;;x
sarmatian;Sarmatian;;;;;;;;;;;;;x
saka;Saka;;;;;;;;;;;;;x
alan;Alan;;;;;;;;;;;;;x
kurdish;Kurdish;;;;;;;;;;;;;x
arabic;Semitic;;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;;x
levantine_arabic;Assyrian;;;;;;;;;;;;;x
andalusian_arabic;Andalusian;;;;;;;;;;;;;x
egyptian_arabic;Egyptian;;;;;;;;;;;;;x
maghreb_arabic;Maghrebi;;;;;;;;;;;;;x
sabaean;Sabaean;;;;;;;;;;;;;x
jewish;Hebrew;;;;;;;;;;;;;x
syroaramean;Aramean;;;;;;;;;;;;;x
nabatean;Nabatean;;;;;;;;;;;;;x
phoenician;Phoenician;;;;;;;;;;;;;x
saqaliba;Saqaliba;;;;;;;;;;;;;x
berberic;Berberic;;;;;;;;;;;;;x
berber;Berber;;;;;;;;;;;;;x
guanchinet;Guanche;;;;;;;;;;;;;x
