#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC554350001;An old noble famed for his wisdom arrives at your court. You spend the night together...in deep conversation. You now feel enlightened!;;;;;;;;;;;;;x
EVTOPTA554350001;Knowledge is power!;;;;;;;;;;;;;x
EVTOPTB554350001;Power is power!;;;;;;;;;;;;;x
EVTDESC554350002;Your [Root.GetMarshalName] tells you a longwinded story about Megas Alexandros. You think you've heard it before but are not sure.;;;;;;;;;;;;;x
EVTOPTA554350002;Yes, I have! My knowledge of history is unrivaled!;;;;;;;;;;;;;x
EVTOPTB554350002;No, I haven't! The story taught me new things about warfare!;;;;;;;;;;;;;x
EVTDESC554350003;You read a book about Megas Alexandros. His exploits are always inspiring!;;;;;;;;;;;;;x
EVTOPTA554350003;Knowledge of ancient times can help us build a better future!;;;;;;;;;;;;;x
EVTOPTB554350003;War, Glory, Honor!;;;;;;;;;;;;;x
EVTDESC554350004;You read a book about Julius Caesar. His exploits are always inspiring!;;;;;;;;;;;;;x
EVTOPTA554350004;A pity his diplomacy skill was inferior to mine!;;;;;;;;;;;;;x
EVTOPTB554350004;Veni, Vidi, Vici!;;;;;;;;;;;;;x
EVTDESC554350005;An old noble famed for his wisdom arrives at your court. You spend the night together...in deep conversation. You now feel enlightened!;;;;;;;;;;;;;x
EVTOPTA554350005;Diplomacy is the best weapon in a ruler's arsenal!;;;;;;;;;;;;;x
EVTOPTB554350005;A ruler's trade is war!;;;;;;;;;;;;;x
EVTDESC554350006;Upon a whim you decide to go and talk to your peasant subjects. Surely they must have something interesting to say? If not you can always punish them for it!;;;;;;;;;;;;;x
EVTOPTA554350006;I learned something about farming...I think...;;;;;;;;;;;;;x
EVTOPTB554350006;At least I heard some interesting rumors!;;;;;;;;;;;;;x
EVTDESC554350007;While walking through the streets you spot a thief!;;;;;;;;;;;;;x
EVTOPTB554350007;Good for him! Thievery does pay!;;;;;;;;;;;;;x
EVTOPTA554350007;Time to stop him!;;;;;;;;;;;;;x
EVTDESC554350008;Your spymaster managed to find a supposed enemy spy. The unfortunate wretch has been brought before you.;;;;;;;;;;;;;x
EVTOPTA554350008;Torture him, then salt his wounds!;;;;;;;;;;;;;x
EVTOPTB554350008;Be gentle! He might not be a spy after all.;;;;;;;;;;;;;x
EVTDESC554350009;You hear strange noises in the middle of the night! You've heard the stories about the ghosts of your ancestors coming back to haunt your line...;;;;;;;;;;;;;x
EVTOPTA554350009;I need to hire some exorcists!;;;;;;;;;;;;;x
EVTOPTB554350009;My ancestors are my friends! Greetings honored ones!;;;;;;;;;;;;;x
EVTDESC554350010;Frightened peasants believe ghosts roam the land! Some of the frightened wretches were brought before you...;;;;;;;;;;;;;x
EVTOPTA554350010;Ghosts? I'll send some priests to deal with them!;;;;;;;;;;;;;x
EVTOPTB554350010;But, I know all those ghosts by name!;;;;;;;;;;;;;x
EVTDESC554350011;A local priest proclaims the spirits of your ancestors need to be pacified... Surely he is crazy?;;;;;;;;;;;;;x
EVTOPTA554350011;He is right! Ancestors need their due.;;;;;;;;;;;;;x
EVTOPTB554350011;But, they told me they loved me!;;;;;;;;;;;;;x
EVTDESC554350012;A famed exorcist arrives at your court. He claims you are possessed by the spirits of your ancestors and asks for payment in order to banish them!;;;;;;;;;;;;;x
EVTOPTA554350012;Maybe he is right! Time to pay up.;;;;;;;;;;;;;x
EVTOPTB554350012;No! My ancestors and I are good friends!;;;;;;;;;;;;;x
EVTDESC554350013;While roaming the countryside looking for game you only manage to find a lone peasant. Your bloodthirsty [Root.GetMarshalName] suggests he might prove to be entertaining game.;;;;;;;;;;;;;x
EVTOPTA554350013;It's peasant hunting season!;;;;;;;;;;;;;x
EVTOPTB554350013;Reprimand your Marshal!;;;;;;;;;;;;;x
EVTDESC554350014;While walking around through town, a beggar latches on to you. He claims to be an old friend of your father, now fallen into destitution.;;;;;;;;;;;;;x
EVTOPTA554350014;Guards! Get rid of this pest!;;;;;;;;;;;;;x
EVTOPTB554350014;The world is cruel and unforgiving!;;;;;;;;;;;;;x
EVTDESC554350015;A crazed youth challenges you to a duel in front of your court!;;;;;;;;;;;;;x
EVTOPTA554350015;Time to put him in his place!;;;;;;;;;;;;;x
EVTOPTB554350015;What is the world coming to!;;;;;;;;;;;;;x
EVTDESC554350016;An old preacher is brought before you. He lectures you on religious doctrine and asks that you commit yourself to the cause of the Divine.;;;;;;;;;;;;;x
EVTOPTA554350016;I believe! I believe! I believe!;;;;;;;;;;;;;x
EVTOPTB554350016;I have no time for divine matters...;;;;;;;;;;;;;x
EVTDESC554350017;A priest tries to talk to you about divine matters. His knowledge of doctrine is impressive, but can he leave a lasting impression?;;;;;;;;;;;;;x
EVTOPTA554350017;I have found faith!;;;;;;;;;;;;;x
EVTOPTB554350017;Faith is for women and old men...;;;;;;;;;;;;;x
EVTDESC554350018;A zealous courtier talks to you about matters of faith. His enthusiasm might be contagious...or not.;;;;;;;;;;;;;x
EVTOPTA554350018;I am ready to believe!;;;;;;;;;;;;;x
EVTOPTB554350018;I believe you believe...;;;;;;;;;;;;;x
EVTDESC554350019;A supposedly wronged noble challenges you to a duel. You are not quite sure what he's on about, but the court is spoiling for a fight. Will you fight him?;;;;;;;;;;;;;x
EVTOPTA554350019;My sword is ready!;;;;;;;;;;;;;x
EVTOPTB554350019;But I did nothing wrong...;;;;;;;;;;;;;x
EVTDESC554350020;A servant was caught stealing an ancient family relic. He is about to be executed.;;;;;;;;;;;;;x
EVTOPTA554350020;Make it painful!;;;;;;;;;;;;;x
EVTOPTB554350020;I will spare his life...this time.;;;;;;;;;;;;;x
EVTDESC554350021;As you stroll around town, you happen upon a public execution. A young lad, no more than 10 is about to be killed for some reason or other...;;;;;;;;;;;;;x
EVTOPTA554350021;No one escapes the law in my realm!;;;;;;;;;;;;;x
EVTOPTB554350021;Surely we can't be killing children?;;;;;;;;;;;;;x
EVTDESC554350022;As you enter your bedroom you see a book on your pillow. Why is that book on your bed? You've never seen it before!;;;;;;;;;;;;;x
EVTOPTB554350022;It must be poisoned!;;;;;;;;;;;;;x
EVTOPTA554350022;Maybe someone wants me to learn something?;;;;;;;;;;;;;x
EVTDESC554350023;Your spymaster brings you a gift. It's an old manuscript concerning ancient espionage techniques. You are puzzled by the present and decide to see if reading it might teach you something...or not.;;;;;;;;;;;;;x
EVTOPTA554350023;I know everything already!;;;;;;;;;;;;;x
EVTOPTB554350023;Spying is an art form!;;;;;;;;;;;;;x
