#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
###NEW GOVERNMENTS###;;;;;;;;;;;;;;x
oriental_monarchy_government;Oriental Despotic;;;;;;;;;;;;;x;
oriental_monarchy_government_desc;Oriental Despotism is the ancient form of government of the fertile crescent in which a single individual formally wields all the power and authority embodying the state. This practice of power rooted in ancient history grants more power to the ruler, but is not well-accepted by populations and rulers from other civilizations as well as tribes. This government grants easier access to advanced administration and vice-royalties, larger demesne and has no limit on the number of vassals following one of the ancient Persian, Archaic or Mandaean cults. However, this government tends to be rejected by rulers of other religions, who will resent being part of this state. Oriental despots still practice the looting of neighbouring realms to enrich the despot.\n\n§Y*§! Tolerates to be governed by §YFeudal§!, §YIqta§! and §YTribal§! governments of the §Rsame culture§! only.\n§Y*§! Can rule over §YTribal§! holdings without penalty.\n§Y*§! §GLooting§! allowed.\n§Y*§! Demesne size: §G+2§!\n§Y*§! Vassal limit: §R-20§!;;;;;;;;;;;;;x;
classical_government;Classical;;;;;;;;;;;;;x;
classical_government_desc;The classical Roman and Hellenistic form of government emphasizes enlightened rule by the ruler. In the classical graeco-roman political model, the ruler is less involved in day-to-day decision-making, hampering centralization and limiting personal domain. At the same time, the realm’s administration is more developed and maintains the graeco-roman legal system, preventing realm split upon successions. Prestigious rulers keep up the tradition of advancing civilization by founding new cities in their realm. On the battlefield, graeco-roman pikemen and heavy infantry remain unmatched, heirs the Hellenistic phalanxes and of the Roman legions.\n\n§Y*§! Tolerates to be governed by §YOriental Despotic§! governments of the §Ysame culture§! only.\n§Y*§! Cannot use §YGavelkind§!\n§Y*§! Demesne size: §R-2§!\n§Y*§! No access to §YGavelkind§! succession laws\n§Y*§! Pikemen defensive: §G+0.5§!;;;;;;;;;;;;;x;
anarchist_government;Anarchist;;;;;;;;;;;;;x;
anarchist_government_desc;Realms following a populist soul-religion may descend in anarchy if the ruler lacks authority. Offensive armies do not require maintainance, but anarchist realms are difficult to handle. Anarchist vassals tend to reject authority, but will tolerate cooperation with lieges following the same anarchist utopia.\n\n§Y*§! Tolerates to be governed only by §YAnarchist§! governments of the §Rsame religion§! only.\n§Y*§! §GLooting§! allowed.\n§Y*§! Free levies in offensive wars.\n§Y*§! Maximum levy and tax for liege: §R-50%§!;;;;;;;;;;;;;x;
demagogic_government;Demagogic;;;;;;;;;;;;;x;
demagogic_government_desc;In a Demagogic government, the ruler uses exceptional charisma and organization skills to play with the masses' souls and minds. This allows channeling the people's utopic desires and political passions into an effective cult of personality, imposing a very strict control over vassals and forcing them to comply with the strictest requirements. As a result, the ruler yields immense power, but this form of government is tied to the current ruler and requires maintaining constantly a very high level of personal authority. Beware, vassals who cannot express discontent too openly may seek other ways to advance their agendas…\n\n§Y*§! Not tolerated in §Rinfidel§! provinces.\n§Y*§! Free levies in offensive wars.;;;;;;;;;;;;;x;
mystic_government;Mystic;;;;;;;;;;;;;x;
mystic_government_desc;In a Mystic government, the ruler uses exceptional spiritual aura, doctrinal knowledge and organization skills to capture the clergy's souls and minds. This allows channeling the clergy's far-reaching influence on society into an effective cult of personality. The increased legitimacy and using the clergy's well-structured organization makes it possible for the ruler to revoke vassal titles much more easily. The mystic overlord furthmore imposes a very strict control over clerical vassals, forcing them to comply with the strictest requirements in terms of tax and levy.\n\n§Y*§! Not tolerated in §Rinfidel§! provinces.\n§Y*§! Free levies in offensive wars.\n\nGoing back to §YClergy's Balanced Power§! in the §YClergy's Power§! law will terminate the §YMystic Government§! and revert it back to the default form of government.;;;;;;;;;;;;;x;
