#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;"It is convenient that there be gods, and, as it is convenient, let us believe that there are." - Ovid.;En 1066, la duchesse Mathilde de Toscane n’est pas mariée...;Herzogin Mathilde von Tuszien ist im Jahr 1066 noch unverheiratet ...;;La duquesa Matilde de Toscana no estaba casada en 1066...;;;;;;;;;x
LOADING_TIP_1;"Time, the devourer of everything." - Ovid.;La succession basée sur l'Ancienneté permet de réunir les terres familiales, mais tend à réduire votre espérance de vie.;Das Alter-Nachfolgegesetz ist eine tolle Möglichkeit, die Ländereien Eurer Familie zusammenzufügen, reduziert merkwürdigerweise aber Eure Lebenserwartung.;;La sucesión por veteranía es gran forma de reunir las tierras de tu familia pero, por algún motivo, tu esperanza de vida baja.;;;;;;;;;x
LOADING_TIP_2;"I think I am becoming a god." - Vespasian on his deathbed.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Rechtsklicks auf Portraits rufen ein Schnellmenü auf.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;"They make a wilderness and call it peace." - Tacitus.;Faites un clic droit sur vos fiefs pour lever des troupes ou créer un nouveau vassal.;Rechtsklicks auf Eure eigenen Besitztümer ermöglichen das Ausheben von Truppen oder die Erstellung eines neuen Vasallen.;;Haz clic derecho en tus propiedades para reclutar las tropas o crear nuevo vasallo.;;;;;;;;;x
LOADING_TIP_4;"The gods are on the side of the stronger." - Tacitus.;Dans le cadre d’un mariage matrilinéaire, les enfants appartiennent à la dynastie de la mère.;Die in einer matrilinealen Ehe geborenen Kinder gehören der Dynastie der Mutter an.;;En un matrimonio matrilineal, los niños nacen en la dinastía de la madre.;;;;;;;;;x
LOADING_TIP_5;"Written laws are like spider's webs. They will catch, it is true, the weak and poor, but would be torn in pieces by the rich and powerful." - Anacharsis.;Les enfants illégitimes n’appartiennent pas à votre dynastie.;Uneheliche Bastarde können Eure Dynastie nicht weiterführen.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;"There are many wonderful things, and nothing is more wonderful than man." - Sophocles.;Le deuxième et le troisième de la lignée sont des prétendants et peuvent poser problèmes.;Die Nummer zwei und drei in der Erbfolge werden Thronanwärter genannt und sorgen sehr wahrscheinlich für Schwierigkeiten.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;"Famous men have the whole earth as their memorial." - Pericles.;À défaut de vous apprécier, les vassaux ne mettront pas à votre disposition l’intégralité de leurs troupes.;Vasallen, die Euch nicht mögen, werden Euch nicht ihre vollen Wehrpflichtigenkontingente zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;"Man is the measure of all things." - Protagoras.;Pour déclarer la guerre, vous devez avoir une raison. Choisissez judicieusement votre casus belli.;Für eine Kriegserklärung benötigt Ihr einen Kriegsgrund. Wählt ihn weise aus.;;Necesitas un motivo para declarar la guerra. Elige bien tu casus belli.;;;;;;;;;x
LOADING_TIP_9;"Even a god cannot change the past." - Agathon.;Les lois de la Couronne affectent également les souverains qui ne font pas, de facto, partie du Royaume.;Krongesetze betreffen jene Herrscher, die de facto nicht zum Reich gehören.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_10;"What I say is that 'just' or 'right' means nothing but what is in the interest of the stronger party." - Plato.;Le Pape peut accorder de puissants avantages aux bons catholiques.;Der Papst kann guten Katholiken enorme Vorteile verschaffen machen.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
