#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_LUX_INVICTA;Lux Invicta;;;;;;;;;;;;;x
BM_LUX_INVICTA_DESC;Our revered ancestors fought to forge a world shaped in their image and shed their blood on the altar of their sacred cause. Their ancient exploits are nothing but legend now, and a great darkness has descended upon the realms of Man. Where are the titans of old now? Where is Alexandros, where is Seleukos, where is Kurus, where is Caesar? Can you remember their deeds and make their spectres bow their heads before you, in approval of your mighty leadership? Can you unite the bickering, warring realms of Man and forge an Empire as the world has never seen? Can you be the Restorer of the Realm of Light and banish the Darkness? Lux Invicta!;;;;;;;;;;;;;x
heretic_friend_timer;Heretic Friend;;;;;;;;;;;;;x
holywar_defense;Religious War Defense;;;;;;;;;;;;;x
defensive_war;Defensive War;;;;;;;;;;;;;x
claim_rome;Claim Rome;;;;;;;;;;;;;x
claim_rome_desc;As the Roman [Root.GetTitle], the Imperial City should be yours to rule.;En tant que [Root.GetTitle] romain, vous devriez régner sur la Cité impériale.;Als römischer [Root.GetTitle] sollte die kaiserliche Stadt durch Euch regiert werden.;;Como el romano [Root.GetTitle], la Ciudad Imperial debe ser tuya y tú debes gobernarla.;;;;;;;;;x
claim_rome_cult;Claim Rome;;;;;;;;;;;;;x
claim_rome_cult_desc;As the rightful representative of the deified Emperors on Earth, it is your duty to take charge of the Imperial City and restore their place of honor there.;;;;;;;;;;;;;x
claim_constantinople_cult;Claim Constantinople;;;;;;;;;;;;;x
claim_constantinople_cult_desc;As the rightful representative of the deified Emperors on Earth, it is your duty to take charge of the Imperial City and restore their place of honor there.;;;;;;;;;;;;;x
opinion_plot_weaken_fellow_vassal;;;;;;;;;;;;;;x
opinion_dissatisfied_calligrapher;Dissatisfied with the Court Calligrapher's poor work.;;;;;;;;;;;;;x
opinion_shared_lifestyle;Shared Lifestyle;;;;;;;;;;;;;x
EVTOOLTIP1000030018;...;;;;;;;;;;;;;x
EVTOOLTIP1000030028;...;;;;;;;;;;;;;x
EVTOOLTIP1000030026;...;;;;;;;;;;;;;x
EVTOOLTIP1000030024;...;;;;;;;;;;;;;x
EVTOOLTIP1000030022;...;;;;;;;;;;;;;x
EVTOOLTIP1000030020;...;;;;;;;;;;;;;x
EVTOOLTIP1000030016;...;;;;;;;;;;;;;x
EVTOOLTIP1000030014;...;;;;;;;;;;;;;x
EVTOOLTIP1000030013;...;;;;;;;;;;;;;x
EVTOOLTIP1000030010;...;;;;;;;;;;;;;x
EVTDESC8306;...;;;;;;;;;;;;;x
EVTOPTA8306;...;;;;;;;;;;;;;x
EVTOPTA8050;Coward.;;;;;;;;;;;;;x
#EVTTOOLTIPA100513;has killed [Root.GetTitledFirstName] with an arrow!;has killed [Root.GetTitledFirstName] with an arrow!;has killed [Root.GetTitledFirstName] with an arrow!;;has killed [Root.GetTitledFirstName] with an arrow!;;;;;;;;;x
EVTTOOLTIP88292;...;;;;;;;;;;;;;x
EVTDESC209;I reject your paltry gift.;;;;;;;;;;;;;x
A;A;;;;;;;;;;;;;x
B;B;;;;;;;;;;;;;x
weaken_vassal_plot_desc;Attack an over-strong vassal after plotting to weaken him.;;;;;;;;;;;;;x
claim_on_vassal_plot_desc;This CB is used after plotting to gain a claim on a vassal.;;;;;;;;;;;;;x
claim_on_liege_plot_desc;This CB is used after plotting to gain a claim on a liege.;;;;;;;;;;;;;x
admin_norse;Norse Administration;;;;;;;;;;;;;x
admin_norse_desc;The administration of the state follows the Norse model.;;;;;;;;;;;;;x
admin_baltic;Baltic Administration;;;;;;;;;;;;;x
admin_baltic_desc;The administration of the state follows the Baltic model.;;;;;;;;;;;;;x
admin_lithuanian;Lithuanian Administration;;;;;;;;;;;;;x
admin_lithuanian_desc;The administration of the state follows the Lithuanian model.;;;;;;;;;;;;;x
admin_finnougric;Finno-Ugric Administration;;;;;;;;;;;;;x
admin_finnougric_desc;The administration of the state follows the Finno-Ugric model.;;;;;;;;;;;;;x
admin_steppe;Steppe Administration;;;;;;;;;;;;;x
admin_steppe_desc;The administration of the state follows the Steppe model.;;;;;;;;;;;;;x
admin_arabic;Arabic Administration;;;;;;;;;;;;;x
admin_arabic_desc;The administration of the state follows the Arabic model.;;;;;;;;;;;;;x
admin_levant;Levantine Administration;;;;;;;;;;;;;x
admin_levant_desc;The administration of the state follows the Levantine model.;;;;;;;;;;;;;x
admin_saba;Sabaean Administration;;;;;;;;;;;;;x
admin_saba_desc;The administration of the state follows the Sabaean model.;;;;;;;;;;;;;x
admin_roman;Roman Administration;;;;;;;;;;;;;x
admin_roman_desc;The administration of the state follows the Roman model.;;;;;;;;;;;;;x
admin_romanogermanic;Romano-Germanic Administration;;;;;;;;;;;;;x
admin_romanogermanic_desc;The administration of the state follows the Romano-Germanic model.;;;;;;;;;;;;;x
admin_germanic;Germanic Administration;;;;;;;;;;;;;x
admin_germanic_desc;The administration of the state follows the Germanic model.;;;;;;;;;;;;;x
admin_frankish;Frankish Administration;;;;;;;;;;;;;x
admin_frankish_desc;The administration of the state follows the Frankish model.;;;;;;;;;;;;;x
admin_frisian;Frisian Administration;;;;;;;;;;;;;x
admin_frisian_desc;The administration of the state follows the Frisian model.;;;;;;;;;;;;;x
admin_brythonic;Brythonic Administration;;;;;;;;;;;;;x
admin_brythonic_desc;The administration of the state follows the Brythonic model.;;;;;;;;;;;;;x
admin_irish;Irish Administration;;;;;;;;;;;;;x
admin_irish_desc;The administration of the state follows the Irish model.;;;;;;;;;;;;;x
admin_galatian;Galatian Administration;;;;;;;;;;;;;x
admin_galatian_desc;The administration of the state follows the Galatian model.;;;;;;;;;;;;;x
admin_scottish;Scottish Administration;;;;;;;;;;;;;x
admin_scottish_desc;The administration of the state follows the Scottish model.;;;;;;;;;;;;;x
admin_italian;Italian Administration;;;;;;;;;;;;;x
admin_italian_desc;The administration of the state follows the Italian model.;;;;;;;;;;;;;x
admin_romanian;Vlach Administration;;;;;;;;;;;;;x
admin_romanian_desc;The administration of the state follows the Vlach model.;;;;;;;;;;;;;x
admin_dacian;Dacian Administration;;;;;;;;;;;;;x
admin_dacian_desc;The administration of the state follows the Dacian model.;;;;;;;;;;;;;x
admin_basque;Basque Administration;;;;;;;;;;;;;x
admin_basque_desc;The administration of the state follows the Basque model.;;;;;;;;;;;;;x
admin_iberian;Iberian Administration;;;;;;;;;;;;;x
admin_iberian_desc;The administration of the state follows the Iberian model.;;;;;;;;;;;;;x
admin_armenian;Armenian Administration;;;;;;;;;;;;;x
admin_armenian_desc;The administration of the state follows the Armenian model.;;;;;;;;;;;;;x
