#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
### RELIGION GROUP NAMES ###;;;;;;;;;;;;;;x
abrahamic_group;Abrahamic;;;;;;;;;;;;;x
african_pagan_group;African;;;;;;;;;;;;;x
anatolian_group;Anatolian;;;;;;;;;;;;;x
arabpagan_group;Arabo-Sabaean;;;;;;;;;;;;;x
asian_religion_group;Southeast Asian;;;;;;;;;;;;;x
austronesian_group;Austronesian;;;;;;;;;;;;;x
aztec_group;Mesoamerican;;;;;;;;;;;;;x
baltic_group;Baltic;;;;;;;;;;;;;x
bantu_group;Bantu;;;;;;;;;;;;;x
berberpagan_group;Amazigh;;;;;;;;;;;;;x
bud_group;Buddhist;;;;;;;;;;;;;x
celtic_group;Celtic;;;;;;;;;;;;;x
chinese_group;Chinese;;;;;;;;;;;;;x
christian;Christian;Chrétien;Christlich;;Cristiano;;;;;;;;;x
east_african_group;Eastern African;;;;;;;;;;;;;x
eastern_folk_group;Eastern Folk;;;;;;;;;;;;;x
egyptian_group;Ancient Egyptian;;;;;;;;;;;;;x
fiction_group;Custom Religions;;;;;;;;;;;;;x
finnish_group;Finnic;;;;;;;;;;;;;x
graecoroman_group;Graeco-Roman;;;;;;;;;;;;;x
indian_group;Dharman;;;;;;;;;;;;;x
indohelen_group;Indo-Hellenic;;;;;;;;;;;;;x
inti_group;Inti;;;;;;;;;;;;;x
inuit_group;Inuit;;;;;;;;;;;;;x
jewish_group;Jewish;;;;;;;;;;;;;x
luwian_group;Hittite;;;;;;;;;;;;;x
mand_group;Mandaean;;;;;;;;;;;;;x
mani_group;Manichaean;;;;;;;;;;;;;x
mithra_group;Mithraic;;;;;;;;;;;;;x
muslim;Islamic;;;;;;;;;;;;;x
native_american_group;Native American;;;;;;;;;;;;;x
neoplato_group;Neoplatonic;;;;;;;;;;;;;x
norsegerman_group;Germanic;;;;;;;;;;;;;x
pagan_group;Indo-European;;;;;;;;;;;;;x
palmyranpagan_group;Canaanite;;;;;;;;;;;;;x
serer_group;Western African;;;;;;;;;;;;;x
slavic_group;Slavic;;;;;;;;;;;;;x
sol_group;Solar;;;;;;;;;;;;;x
tengri_group;Turkic;;;;;;;;;;;;;x
yazd_group;Kurdish;;;;;;;;;;;;;x
zal_group;Zalmoxian;;;;;;;;;;;;;x
zoroastrian_group;Zoroastrian;Zoroastrien;Zoroastrier;;Zoroastriano;;;;;;;;;x
#;;;;;;;;;;;;;;x
### RELIGION NAMES ###;;;;;;;;;;;;;;x
adoptionist;Adoptionist;;;;;;;;;;;;;x
aglibol;Aglibôli;;;;;;;;;;;;;x
ahriman_reformed;Akomanic;;;;;;;;;;;;;x
akuj;Akuj;;;;;;;;;;;;;x
akuj_reformed;Akuj;;;;;;;;;;;;;x							
alexandros;Alexandros-Ammonite;;;;;;;;;;;;;x
allat;Al-Lati;;;;;;;;;;;;;x
allfather;Wodanazic;;;;;;;;;;;;;x
almaqah;Almaqahi;;;;;;;;;;;;;x
amanai;Amanaii;;;;;;;;;;;;;x
amun;Amunite;;;;;;;;;;;;;x
amun_reformed;Kemetic;;;;;;;;;;;;;x
anansi;Anansi;;;;;;;;;;;;;x
antinomian;Antinomian;;;;;;;;;;;;;x
apollinarist;Apollinarist;;;;;;;;;;;;;x
arab_pagan_reformed;Abeed ash-Shamsi;;;;;;;;;;;;;x
arian;Arian;;;;;;;;;;;;;x
ashari;Ash'ari;;;;;;;;;;;;;x
aten;Atenist;;;;;;;;;;;;;x
aten_reformed;Amarnist;;;;;;;;;;;;;x
athari;Athari;;;;;;;;;;;;;x
attar;Attari;;;;;;;;;;;;;x
