#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
ALLOW_REVOKATION_OFF;Revocation of titles Disallowed\n;Annulation des titres non autorisée;Entzug gewährter Titel nicht gestattet;;Revocación de títulos no permitida;;;;;;;;;x
ALLOW_FREE_INFIDEL_REVOKATION_ON;Revocation of infidel titles free\n;L’annulation des titres des infidèles est libre;Entzug von Ungläubigentiteln frei;;Revocación de títulos de infieles gratuita;;;;;;;;;x
ALLOW_FREE_INFIDEL_REVOKATION_OFF;Revocation of infidel titles no longer free\n;L’annulation des titres des infidèles n’est plus libre;Entzug von Ungläubigentiteln nicht mehr frei;;Revocación de títulos de infieles ya no gratuita;;;;;;;;;x
ALLOW_FREE_REVOKATION_ON;Revocation of titles free\n;L’annulation des titres est libre;Titelentzug frei;;Revocación de títulos gratuita;;;;;;;;;x
ALLOW_FREE_REVOKATION_OFF;Revocation of titles no longer free\n;L’annulation des titres n’est plus libre;Titelentzug nicht mehr frei;;Revocación de títulos ya no gratuita;;;;;;;;;x
EVTDESC3490;My supper was brought to me by a courtier I almost trust, but the smell and the colour of the soup was highly suspicious. After tasting it, I threw the bowl at the courtier, narrowly missing by just an inch or two.;Un(e) courtisan(e) en qui j’avais jusque-là confiance m’a servi mon souper, mais l’odeur et la couleur de la soupe ont éveillé mes soupçons. Après l’avoir goûtée, j’ai jeté le bol à la tête du(de la) courtisan(e), en le(la) manquant de peu.;Mein Abendessen wurde mir von einem Höfling gebracht, dem ich fast vertraue, aber Geruch und Farbe der Suppe waren höchst verdächtig. Nachdem ich die Suppe probiert hatte, warf ich die Schüssel nach dem Höfling und verpasste ihn nur um ein Haar.;;Un cortesano en el que casi confío me trajo la comida, pero el aroma y el color de la sopa eran muy sospechosos. Tras probarla le tiré el cuenco al cortesano, fallando por una pulgada o dos.;;;;;;;;;x
EVTOPTA3645;I should invite my [Root.GetMarshalName], [Root.job_marshal.GetTitledFirstName];Je devrais inviter mon Maréchal, [Root.job_marshal.GetTitledFirstName].;Ich sollte meinen Marschall, [Root.job_marshal.GetTitledFirstName], einladen;;Debería invitar a mi alguacil, [Root.job_marshal.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIPA3651;[Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] is given the task of dealing with the boar;Le Maréchal [Root.job_marshal.GetTitledFirstName] est chargé de s’occuper du sanglier.;Marschall [Root.job_marshal.GetTitledFirstName] wird die Aufgabe übertragen, sich des Keilers anzunehmen;;Al alguacil [Root.job_marshal.GetTitledFirstName] se le encomienda ocuparse del jabalí;;;;;;;;;x
EVTOPTB3655;My [Root.GetMarshalName], [Root.job_marshal.GetTitledFirstName], is scared of the Wild Hunt!;Mon Maréchal, [Root.job_marshal.GetTitledFirstName], a peur de la chasse à courre !;Mein Marschall, [Root.job_marshal.GetTitledFirstName], hat Angst vor der Wilden Jagd!;;¡Mi alguacil, [Root.job_marshal.GetTitledFirstName], teme a los Cazadores Fantasma!;;;;;;;;;x
EVTDESC4020;Poachers have been seen in [Root.Location.GetName] so I should probably send my [Root.GetSpymasterName], [Root.job_spymaster.GetTitledFirstName], and my [Root.GetMarshalName], [Root.job_marshal.GetTitledFirstName], to investigate the matter.;Des braconniers ont été vus à [Root.Location.GetName]. Je devrais peut-être dépêcher mon Maître-Espion, [Root.job_spymaster.GetTitledFirstName], et mon Maréchal, [Root.job_marshal.GetTitledFirstName], pour qu’ils mènent l’enquête.;Wilderer wurden in [Root.Location.GetName] gesehen, daher sollte ich wohl besser meinen Agentenführer [Root.job_spymaster.GetTitledFirstName] und meinen Marschall [Root.job_marshal.GetTitledFirstName] aussenden, um sich die Sache genauer anzusehen.;;Se han visto cazadores furtivos en [Root.Location.GetName], así que debería enviar a mi Jefe de espías [Root.job_spymaster.GetTitledFirstName] y mi Alguacil [Root.job_marshal.GetTitledFirstName] para investigar el tema.;;;;;;;;;x
EVTDESC304;[FromFrom.Mother.GetFirstName] has borne the child of another man! I cannot believe this betrayal!;[FromFrom.Mother.GetFirstName] a donné naissance à un enfant d’un autre homme ! C’est une trahison !;[FromFrom.Mother.GetFirstName] hat das Kind eines anderen Mannes ausgetragen! Ich kann diesen Verrat einfach nicht glauben!;;[FromFrom.Mother.GetFirstName] ha dado a luz al bebé de otro hombre! ¡No doy crédito a esta traición!;;;;;;;;;x
EVTOPTB450;Avoid [Root.Liege.GetHerHim];Eviter [Root.Liege.GetHerHim];Vermeide [Root.Liege.GetHerHim];;;;;;;;;;;x;;
EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. [ThePope.GetTitledFirstName] fully endorses the Order, and will allow pious Catholic rulers to call on their aid, though they will only fight against heretics and infidels.;Un nouvel ordre militaire chrétien vient d’être formé par un petit groupe de riches chevaliers. Les Pauvres Chevaliers du Christ et du Temple de Salomon, ou tout simplement les chevaliers templiers, ont juré de protéger les pèlerins venant en Terre Sainte. [ThePope.GetTitledFirstName] approuve pleinement l’ordre et permettra aux pieux souverains catholiques de faire appel à leur aide, bien que ces chevaliers ne combattront que les hérétiques et les infidèles.;Ein neuer christlich-militärischer Orden wurde von einer kleinen Gruppe reicher Ritter gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem – kurz Tempelritter – haben geschworen, alle Pilger auf ihren Reisen durch das Heilige Land zu schützen. [ThePope.GetTitledFirstName] unterstützt den Orden vollkommen und erlaubt frommen katholischen Herrschern, den Orden zu Hilfe zu rufen. Er kämpft jedoch nur gegen Ketzer und Ungläubige.;;Una nueva orden militar Cristiana ha sido fundada por un pequeño grupo de caballeros ricos. Los Miembros Pobres, Soldados de Cristo y del Templo de Salomón, o los Caballeros Templarios, para abreviar, han jurado proteger a los peregrinos que viajan a través de la Tierra Santa. [ThePope.GetTitledFirstName] respalda plenamente la Orden, y permitirá a los gobernantes Católicos piadosos pedir su ayuda, a pesar de que sólo van a luchar contra los herejes e infieles.;;;;;;;;;x
