ERA_CHAR_NAME_163005;Antiochus Aniketos;;;;;;;;;;;;x
SERINDIA;Serindia;;;;;;;;;;;;x
SERINDIA_ADJ;Serindian;;;;;;;;;;;;x
ERA_CHAR_NAME_927;Kai Permyd;;;;;;;;;;;;x
PERM;Perm;;;;;;;;;;;;x
PERM_ADJ;Permian;;;;;;;;;;;;x
ERA_CHAR_NAME_73;Uldin Attilid;;;;;;;;;;;;x
HUNS;Huns;;;;;;;;;;;;x
HUNS_ADJ;Hunnic;;;;;;;;;;;;x
ERA_CHAR_NAME_163016;Qing Zhao;;;;;;;;;;;;x
KASHGAR;Kashgar;;;;;;;;;;;;x
KASHGAR_ADJ;Kashgari;;;;;;;;;;;;x
ERA_CHAR_NAME_1713087;Al-Qa'im al-Abbasiyyah;;;;;;;;;;;;x
SUNNI;Sunni Caliphate;;;;;;;;;;;;x
SUNNI_ADJ;Sunni;;;;;;;;;;;;x
ERA_CHAR_NAME_816;Akh-Yabrik V banu Almaqah;;;;;;;;;;;;x
SABA;Saba;;;;;;;;;;;;x
SABA_ADJ;Sabaean;;;;;;;;;;;;x
ERA_CHAR_NAME_901;Shapur Sassanid;;;;;;;;;;;;x
ERANSHAHR;Eranshahr;;;;;;;;;;;;x
ERANSHAHR_ADJ;Aryan;;;;;;;;;;;;x
ERA_CHAR_NAME_929;Artaxshasa Arsacid;;;;;;;;;;;;x
KHORASAN;Khorasan;;;;;;;;;;;;x
KHORASAN_ADJ;Khorasani;;;;;;;;;;;;x
ERA_CHAR_NAME_929;Xshayarshan Artabanid;;;;;;;;;;;;x
KHWAREZM;Khwarazmshahiyan;;;;;;;;;;;;x
KHWAREZM_ADJ;Khwarazmian;;;;;;;;;;;;x
ERA_CHAR_NAME_162026;Menander Pethion;;;;;;;;;;;;x
PATALA;Patala;;;;;;;;;;;;x
PATALA_ADJ;Patalan;;;;;;;;;;;;x
ERA_CHAR_NAME_904;Telephos Hephaestionos;;;;;;;;;;;;x
GEDROSIA;Gedrosia;;;;;;;;;;;;x
GEDROSIA_ADJ;Gedrosian;;;;;;;;;;;;x
ERA_CHAR_NAME_914;Eudoxios Eucratides;;;;;;;;;;;;x
BUKHARA;Bukhara;;;;;;;;;;;;x
BUKHARA_ADJ;Bukhara;;;;;;;;;;;;x
ERA_CHAR_NAME_19;Philippos Argead;;;;;;;;;;;;x
CYPRUS;Kypros;;;;;;;;;;;;x
CYPRUS_ADJ;Kypriot;;;;;;;;;;;;x
ERA_CHAR_NAME_49;Dorotheos Argeadai;;;;;;;;;;;;x
THESSALONIKI;Thessaloníki;;;;;;;;;;;;x
THESSALONIKI_ADJ;Thessaloníkan;;;;;;;;;;;;x
ERA_CHAR_NAME_810;Apollonios Ptolemaios;;;;;;;;;;;;x
KYRENE;Kyrene;;;;;;;;;;;;x
KYRENE_ADJ;Kyrenean;;;;;;;;;;;;x
ERA_CHAR_NAME_25;Antiochos Seleukos;;;;;;;;;;;;x
ANTIOCH;Antioch;;;;;;;;;;;;x
ANTIOCH_ADJ;Antiochean;;;;;;;;;;;;x
ERA_CHAR_NAME_20;Apollophanes Antigonos;;;;;;;;;;;;x
KRETE;Krete;;;;;;;;;;;;x
KRETE_ADJ;Cretan;;;;;;;;;;;;x
ERA_CHAR_NAME_163027;Megasthenes Epanderos;;;;;;;;;;;;x
INDIA;India;;;;;;;;;;;;x
INDIA_ADJ;Indian;;;;;;;;;;;;x
ERA_CHAR_NAME_501;Traianus Valentinianus;;;;;;;;;;;;x
SPQR;S.P.Q.R.;;;;;;;;;;;;x
SPQR_ADJ;Western Roman;;;;;;;;;;;;x
ERA_CHAR_NAME_1;Flavius Julianos;;;;;;;;;;;;x
BYZANTIUM;Imperium Romanum;;;;;;;;;;;;x
BYZANTIUM_ADJ;Eastern Roman;;;;;;;;;;;;x
ERA_CHAR_NAME_29;Alexander Augustus;;;;;;;;;;;;x
NAPLES;Neapolis;;;;;;;;;;;;x
NAPLES_ADJ;Neapolitan;;;;;;;;;;;;x
ERA_CHAR_NAME_10;Kaisarios Konstantinian;;;;;;;;;;;;x
TREBIZOND;Trebizond;;;;;;;;;;;;x
TREBIZOND_ADJ;Trapezuntine;;;;;;;;;;;;x
ERA_CHAR_NAME_280;Lucius Aurelius;;;;;;;;;;;;x
VENICE;Venetia;;;;;;;;;;;;x
VENICE_ADJ;Venetian;;;;;;;;;;;;x
ERA_CHAR_NAME_714;Tiberius Severus;;;;;;;;;;;;x
VALENTIA;Valentia;;;;;;;;;;;;x
VALENTIA_ADJ;Valentian;;;;;;;;;;;;x
ERA_CHAR_NAME_451;Arturus Pendragon;;;;;;;;;;;;x
BRYTHONIA;Brythonia;;;;;;;;;;;;x
BRYTHONIA_ADJ;Brythonic;;;;;;;;;;;;x
ERA_CHAR_NAME_216;Karl Albretch Karling;;;;;;;;;;;;x
HRE;Holy Roman Empire;;;;;;;;;;;;x
HRE_ADJ;Imperial;;;;;;;;;;;;x
ERA_CHAR_NAME_210;Clotaire Merovingian;;;;;;;;;;;;x
FRANCE;Francia;;;;;;;;;;;;x
FRANCE_ADJ;Frankish;;;;;;;;;;;;x
ERA_CHAR_NAME_703;Theoderic Balthing;;;;;;;;;;;;x
GOTHIA;Gothia;;;;;;;;;;;;x
GOTHIA_ADJ;Visigothic;;;;;;;;;;;;x
ERA_CHAR_NAME_455;Svend Knuting;;;;;;;;;;;;x
ANGLIA;Anglia;;;;;;;;;;;;x
ANGLIA_ADJ;Anglish;;;;;;;;;;;;x
ERA_CHAR_NAME_224;Isebretch Immendinger;;;;;;;;;;;;x
SAXONS;the Saxons;;;;;;;;;;;;x
SAXONS_ADJ;Saxon;;;;;;;;;;;;x
