#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
HERO_RELIGION;Heroic Religion;;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;;;;;;;;;;;;;x
GOD_CERNNUNOS;Cernunnos;Cernunnos;Cernunnos;;Cernunnos;;;;;;;;;x
GOD_HORNED_ONE;THE HORNED ONE;;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;;;;;;;;;;;;;x
GOD_LUGH;Lugh;;;;;;;;;;;;;x
#GOD_MACHA;Macha;;;;;;;;;;;;;x#Duplicate
GOD_DANA;Dannu;;;;;;;;;;;;;x
GOD_NUADA;Nuada;;;;;;;;;;;;;x
#THE_STONES;The Sacred Stones;;;;;;;;;;;;;x#Duplicate
#THE_BALLADS;The Ballads;;;;;;;;;;;;;x#Duplicate
#DRUID;Druid;;;;;;;;;;;;;x#Duplicate
#THE_FOMORIANS;The Fomorians;;;;;;;;;;;;;x#Duplicate
EVIL_BALOR;Balor;;;;;;;;;;;;;x
EVIL_BRES;Bres;;;;;;;;;;;;;x
#GOD_CAILLEACH;Cailleach;;;;;;;;;;;;;x#Duplicate
nick_pendragon;Mab Darogan;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
temple_baron_celtic_pagan_reformed;Druid;;;;;;;;;;;;;x
temple_baron_female_celtic_pagan_reformed;Druidess;;;;;;;;;;;;;x
temple_barony_of_celtic_pagan_reformed;Sacred Grove of;;;;;;;;;;;;;x
temple_count_celtic_pagan_reformed;Druid;;;;;;;;;;;;;x
temple_count_female_celtic_pagan_reformed;Druidess;;;;;;;;;;;;;x
temple_county_of_celtic_pagan_reformed;Temple of;;;;;;;;;;;;;x
temple_duke_celtic_pagan_reformed;Head Druid;;;;;;;;;;;;;x
temple_duke_female_celtic_pagan_reformed;Head Druidess;;;;;;;;;;;;;x
temple_duchy_of_celtic_pagan_reformed;Tribe of;Tribu de;Stamm der;;Tribu de;;;;;;;;;x
temple_king_celtic_pagan_reformed;Archdruid;;;;;;;;;;;;;x
temple_king_female_celtic_pagan_reformed;Archdruidess;;;;;;;;;;;;;x
temple_kingdom_of_celtic_pagan_reformed;Federation of;;;;;;;;;;;;;x
temple_emperor_celtic_pagan_reformed;Myrdynn;;;;;;;;;;;;;x
temple_empire_of_celtic_pagan_reformed;Nation of;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
job_spiritual_celtic_pagan_reformed;Court Druid;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_celtic_pagan_reformed;Court Druid;;Voyant;Seher;;Vidente;;;;;;;;;x
#;;;;;;;;;;;;;;x
temple_baron_celtic_pagan;Druid;;;;;;;;;;;;;x
temple_baron_female_celtic_pagan;Druidess;;;;;;;;;;;;;x
