#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_wrymouth;the Wrymouth;le Wrymouth;die Schiefmund;;El Wrymouth;;;;;;;;;x
nick_the_whiner;the Whiner;;;;;;;;;;;;;x
nick_the_resolute;the Resolute;le Résolue;;;;;;;;;;;;x
nick_the_stallion;the Stallion;l'Etalon;;;;;;;;;;;;x
nick_the_bottomlesspurse;the Bottomless Purse;le Dépensier;;;;;;;;;;;;x
nick_the_donothing;the Do-Nothing;le Bon-à-rien;;;;;;;;;;;;x
nick_the_voiceofgod;the Voice of God;la Voix de Dieu;;;;;;;;;;;;x
nick_the_elegant;the Elegant;l'Elégant;;;;;;;;;;;;x
nick_the_impotent;the Impotent;l'Impotent;;;;;;;;;;;;x
nick_the_childless;the Childless;le Sans-Fils;;;;;;;;;;;;x
nick_the_pacific;the Pacific;le Pacifique;;;;;;;;;;;;x
nick_the_booklover;the Booklover;le Lettré;;;;;;;;;;;;x
nick_the_velvethand;the Velvet Hand;la Main de Velour;;;;;;;;;;;;x
nick_the_outspoken;the Outspoken;le Muet;;;;;;;;;;;;x
nick_the_beggar;the Beggar;le Mendiant;;;;;;;;;;;;x
nick_the_serious;the Serious;le Sérieux;;;;;;;;;;;;x
nick_the_silkytongue;the Silky Tongue;la Langue de Velour;;;;;;;;;;;;x
nick_the_sour;the Sour;le Sourd;;;;;;;;;;;;x
nick_the_foul;the Foul;le Fou;;;;;;;;;;;;x
nick_the_vicious;the Vicious;le Vicieu;;;;;;;;;;;;x
nick_the_depraved;the Depraved;le Dépravé;;;;;;;;;;;;x
nick_the_spineless;the Spineless;le Pleutre;;;;;;;;;;;;x
nick_the_dirtyblood;the Dirty Blood;le Sang Maudit;;;;;;;;;;;;x
nick_the_seedless;the Seedless;le Sans-Descendance;;;;;;;;;;;;x
nick_the_lowborn;the Lowborn;le Basse-Classe;;;;;;;;;;;;x
nick_the_inferior;the Inferior;l'Inférieur;;;;;;;;;;;;x
nick_the_one_eye;the One-Eyed;;;;;;;;;;;;;x
nick_the_mousesack;the Mouse Sack;;;;;;;;;;;;;x
nick_the_broken;the Broken;;;;;;;;;;;;;x
nick_the_tenacious;the Tenacious;;;;;;;;;;;;;x
