#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_old_60_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_60_desc;[This.GetTitledFirstName] is getting old, but [This.GetSheHe] wants to live until he is at least 60.;;;;;;;;;;;;;x
obj_become_old_70_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_70_desc;[This.GetTitledFirstName] is getting older, but [This.GetSheHe] wants to live until he is at least 70.;;;;;;;;;;;;;x
obj_become_old_80_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_80_desc;[This.GetTitledFirstName] is old, but [This.GetSheHe] wants to live until he is at least 80.;;;;;;;;;;;;;x
obj_become_old_90_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_90_desc;[This.GetTitledFirstName] is a living legend, but [This.GetSheHe] wants to live until he is at least 90.;;;;;;;;;;;;;x
obj_become_old_100_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_100_desc;To walk a century on this earth. Alas! Tempus fugit...;;;;;;;;;;;;;x
