#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
widowed;Widowed;Veuf(ve);;;;;;;;;;;;x
widowed_desc;This character is grief-stricken and mourning a lost spouse.\nWill need time to recover before considering a marriage proposition...;Ce personnage est frappé par le chagrin et le deuil après la perte de son(a) conjoint(e).;;;;;;;;;;;;x
EVTDESC24500;A Loving Marriage ends with my death.;Un mariage d’amour qui se termine par ma mort.;Eine Ehe voller Liebe endet mit meinem Tod.;;Un matrimonio feliz acaba con mi muerte.;;;;;;;;;x
EVTOPTA24500;For you, everything!;Tout pour toi !;Für Euch tue ich alles!;;¡Todo por ti!;;;;;;;;;x
EVTTOOLTIP24501; will mourn me.;Il va nous pleurer.;Er wird uns betrauern;;Él nos llorará;;;;;;;;;x
#EVTDESC24501;I keep thinking about [From.GetTitledFirstName]. [From.GetSheHe] was the best, and without [From.GetHerHim], I do so struggle to be a [From.GetTitle]. Oh, how I miss [From.GetHerHim]....;Je n’arrête pas de penser à [From.GetTitledFirstName]. C’était la meilleure des épouses. Sans elle, je n’ai pas la force d’être [From.GetTitle]. Oh, elle me manque tellement....;Ich danke dauernd an [From.GetTitledFirstName]. Sie war die beste Gattin, die man sich denken kann, und ohne sie ist es schwer, [From.GetTitle] zu sein. Oh, wie ich sie vermisse ...;;Sigo pensando en [From.GetTitledFirstName]. Fue la mejor de las esposas y sin ella debo luchar por ser un [From.GetTitle]. Cómo la echo de menos...;;;;;;;;;x
EVTOPTA24501;Wenching might make me forget her!;Courir le jupon m’aiderait peut-être à l’oublier !;Huren sollten mich von ihr ablenken!;;¡Ir con prostitutas podría ayudarme a olvidarla!;;;;;;;;;x
EVTOPTB24501;I will never forget [From.GetTitledFirstName]!;Je n’oublierai jamais [From.GetTitledFirstName] !;Ich werde [From.GetTitledFirstName] nie vergessen!;;¡Nunca olvidaré a [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC6000002;My grief is too great to sustain this marriage...;Mon chagrin est trop grand pour supporter ce mariage...;;;;;;;;;;;;x
EVTOPTA6000002;...I'm afraid it must come to an end.;... j'ai peur que cela doive se terminer.;;;;;;;;;;;;x
WIDOWDESC;Time passes, yet to me the world seems unreal. \nIt is if a life without [From.GetFirstName] is but \na mummer's farce. \nI am lost in this sea of loneliness \nand know not where to turn.;Le temps passe, mais pour moi le monde semble iréel. C'est comme si la vie sans [From.GetFirstName] était une farce. Je suis perdu dans cette mer de solitude et ne sait où aller. ;;;;;;;;;;;;x
WIDOWOPTA;Drown yourself in wine, women, and song;Vous noyer dans les femmes, le vin et les chansons. ;;;;;;;;;;;;x
