#;;;;;;;;;;;;;;x
######DESCRIPTIONS AND TRAITS;;;;;;;;;;;;;;x
manichean_elect;Elect;;;;;;;;;;;;;x
manichean_elect_desc;This character belongs in the class of the Elect, they are bound by the three Seals of Purity and bear the task of returning the trapped particles of light back to Heaven.;;;;;;;;;;;;;x
practice_contraception;Practice Contraception;;;;;;;;;;;;;x
practice_contraception_desc;More children means more trapped Light particles. The Manichean Church encourages practising contraception, maybe I should consider it...;;;;;;;;;;;;;x
restore_manichean_church;Restore the Manichean Church;;;;;;;;;;;;;x
restore_manichean_church_desc;If we drive our enemies from Baghdad we can restore the ancient seat of the Yamag!;;;;;;;;;;;;;x
expel_manichean_holy_order;Expel the Light's Justice;;;;;;;;;;;;;x
expel_manichean_holy_order_desc;;I can drive the Light's Justice from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;x
donate_money_to_the_manichean_holy_order;Donate 300¤ to the Light's Justice;;;;;;;;;;;;;x
donate_money_to_the_manichean_holy_order_desc;I can donate money to the Light's Justice in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;;;;;;;;;;;;;x
expelled_d_manichean_holy_order;Expelled the Light's Justice;;;;;;;;;;;;;x
d_manichean;The Manichean Church;;;;;;;;;;;;;x
d_manichean_holy_order;The Light's Justice;;;;;;;;;;;;;x
opinion_manichean_alms;Alms given to the Church;;;;;;;;;;;;;x
manichean_contraception;Practising Contraception;;;;;;;;;;;;;x
observed_bema_fest;Observed Bema Fest;;;;;;;;;;;;;x
manichean_mission;Manichean Mission;;;;;;;;;;;;;x
title_niyosakpat;Niyosak-Pat;;;;;;;;;;;;;x
title_niyosakpat_desc;The Niyosak-Pat, or Chief Hearer, is responsible for collecting and distributing the alms provided by the Hearers to the Elect.;;;;;;;;;;;;;x
######DECISIONS;;;;;;;;;;;;;;x
manichean_alms;Give Alms to the Church;;;;;;;;;;;;;x
manichean_alms_desc;All Manichean faithful of means are expected to provide part of their wealth towards the upkeep of the Church.;;;;;;;;;;;;;x
manichean_alms_yamag;The Archegos will be pleased with me fulfilling my duties;;;;;;;;;;;;;x
manichean_bema_fest;Observe Bema Fest;;;;;;;;;;;;;x
manichean_bema_fest_desc;The Bema Fest is the most important Manichean religious observance. It is a period of fasting and religious devotion in commemoration of the passions of Prophet Mani, leading to confession and absolution of sins.;;;;;;;;;;;;;x
######EVENTS;;;;;;;;;;;;;;x
manichean.11.desc;Your dedication to the preservation and protection of the Church did not go unnoticed. Blessed is the one who walks in the Path of Light, for it is the only true path to salvation. May [Root.Religion.GetRandomGodName] be always by your side.;;;;;;;;;;;;;x
manichean.11.a;I am but a servant of the Light!;;;;;;;;;;;;;x
manichean.2.desc;Today is the start of the Fasting Month. Thirty days of fasting and vigil-keeping are ahead of me.;;;;;;;;;;;;;x
manichean.2.a;We do as we must.;;;;;;;;;;;;;x
manichean.21.desc;As the Prophet Mani taught us, [Root.Religion.GetRandomEvilGodName] has trapped particles of light in every material creation, even the food we eat! The harder I fast, the less particles of light I trap within my body.;;;;;;;;;;;;;x
manichean.21.a;My health is irrelevant. This is for the greater good!;;;;;;;;;;;;;x
manichean.21.b;I will observe this month of fasting as I always do.;;;;;;;;;;;;;x
manichean.21.c;I can indulge myself now and then, as long as nobody finds out.;;;;;;;;;;;;;x
manichean.22.desc;There's a monastery not far from town, the ascetics that dwell there are bound by the three seals of purity and are thus prohibited from performing manual labor and owning property. I should pay them a visit and make sure they have everything they need to sustain their bodies in their quest towards returning to the Light. Maybe they will share some of their wisdom with me.;;;;;;;;;;;;;x
manichean.22.a;Servants! Make sure the pack animals are ready for travel by tomorrow morning!;;;;;;;;;;;;;x
manichean.22.b;Sadly we cannot afford it at the moment...;;;;;;;;;;;;;x
manichean.221.desc;The Head Elect of the monastery smiles and thanks you. Before you make your way back home he tells you one of the Prophet's favorite parables. “If the gems remain in their box unbored and the merchant orders his workers to play music for him instead, at the end of the day he cannot deny them their payment for not doing their job. For it is he who ordered them otherwise.”;;;;;;;;;;;;;x
manichean.221.a;I must always strive to manage my people in the best possible way!;;;;;;;;;;;;;x
