usurp_spouse;Claim jure uxoris;;;;;;;;;;;;;x
usurp_spouse_desc;As legal co-ruler of your spouse's lands, you have decided that your lovely wife should spend more time knitting with her ladies-in-waiting and rather less time at council meetings.;;;;;;;;;;;;;x
usurp_husband;Reclaim Titles;;;;;;;;;;;;;x
usurp_husband_desc;Now that your previously domineering husband is indisposed, the time is ripe to seize back what is rightfully yours..;;;;;;;;;;;;;x	
usurp_wusband;Reclaim Titles;;;;;;;;;;;;;x
usurp_wusband_desc;This decision is available because your usurping husband has unjustly distributed your lands.;;;;;;;;;;;;;x	
title_imperial_spouse;Co-Imperator;Co-Imperator;Co-Imperator;;Co-Imperator;;;;;;;;;x
take_courtier_as_wife;Take a wife;;;;;;;;;;;;;x
take_courtier_as_wife_desc;Take a wife for whatever purposes;;;;;;;;;;;;;x
ai_betrothal;;;;;;;;;;;;;;x
ai_betrothal_desc;;;;;;;;;;;;;;x
ai_divorce;;;;;;;;;;;;;;x
ai_divorce_desc;;;;;;;;;;;;;x
failed_to_usurp_spouse;Whipped;;;;;;;;;;;;;x
failed_to_usurp_spouse_desc;You attempted to push your spouse out of power and failed miserably. As a result, you should probably tread softly for a little while...;;;;;;;;;;;;;x
DAMO93EVTDESC;Your ungrateful harpy of a wife, Lady [From.GetFirstName] has taken advantage of your condition to reassert the full extent of her rights, at your expense.;;;;;;;;;;;;;x
DAMO94EVTDESC;Your resentful harpy of a wife, Lady [From.GetFirstName] has decided that marriage to you has become unbearable. Although there will be scandal, and the Church will predictably disapprove, your wife has enough powerful supporters to ensure the divorce is a foregone conclusion. Apparently, you were closer cousins than realized.;;;;;;;;;;;;;x
DAMO100TP;Attempt to take over affairs of state from your wife.;;;;;;;;;;;;;x
DAMO100EVTDESC;My overbearing husband, [Root.Spouse.GetTitledFirstName], has been constantly interfering in the rulership of my lands, and has of late grown beyond the merely opinionated to the worryingly forceful. Already, the garrison of [This.Capital.GetName] has begun to defer to his word over mine. Whatever shall I do? Who could I turn to for support?;;;;;;;;;;;;;x
DAMO100OPTADESC;I will turn to a capable lover for succour.;;;;;;;;;;;;;x
DAMO100OPTBDESC;A capable member of my family.;;;;;;;;;;;;;x
DAMO100OPTCDESC;A steadfast and faithful councillor.;;;;;;;;;;;;;x
DAMO100OPTDDESC;I'll handle this myself.;;;;;;;;;;;;;x
DAMO100OPTEDESC;I don't really have a choice, do I?;;;;;;;;;;;;;x
DAMO100OPTFDESC;I will depend on a trusted friend.;;;;;;;;;;;;;x
DAMO100OPTGDESC;A rival of my husband's is my last resort.;;;;;;;;;;;;;x
DAMO101EVTDESC;You will put [Root.Spouse.GetTitledFirstName] in her proper place.;;;;;;;;;;;;;x
DAMO200EVTDESC;My beloved [From.GetFirstName] has informed me that her domineering husband, [From.Spouse.GetTitledFirstName], is attempting to usurp her rights in [From.Capital.GetName]. She has implored me to somehow put an end to his machinations!;;;;;;;;;;;;;x
DAMO200OPTADESC;My sword, my wits and my heart is yours.;;;;;;;;;;;;;x
DAMO200OPTBDESC;He'll never be a problem again, honey.;;;;;;;;;;;;;x
DAMO201EVTDESC;Oh no! My hot-headed lover [From.GetFirstName] has decided to take matters into his own hands in ways I never intended. He's determined to ambush my husband, Lord [This.Spouse.GetFirstName], and it's too late to persuade him otherwise! This could be a disaster...;;;;;;;;;;;;;x
DAMO201TP;My lover is going to do something rash.;;;;;;;;;;;;;x
DAMO201OPTADESC;This wasn't what I wanted...Was it?;;;;;;;;;;;;;x
DAMO202EVTDESC;You are out hunting with a few trusted companions, when - suddenly - the forest is filled with the lethal twanging of crossbows firing from hidden locations. You try to spur your horse to safety, but too late, a bolt slams into your ribcage and knocks you from the saddle. The last thing you see is [FromFrom.GetFirstName] gazing down upon with grim satisfaction...;;;;;;;;;;;;;x
DAMO202TP;[This.GetTitledFirstName] is set upon in the forest.;;;;;;;;;;;;;x
DAMO202OPTADESC;He should be no trouble for a little while.;;;;;;;;;;;;;x
