#Stuff;;;;;;;;;;;;;;x
ancrel.4101.desc;The Nile begins to flood once more. Egyptians everywhere sigh with relief - the coming year will give them an unremarkable but decent harvest.;Le Nil commence à innonder une fois de plus. Les Égyptiens soupirent de soulagement : l'année à venir leur donnera une récolte anodine mais décente.;;;;;;;;;;;;x
ancrel.4102.desc;The Nile swells with a bountiful flood this year! Egyptians everywhere rejoice, for there shall be a harvest even better than usual.;Le Nil se gonfle d'une inondation abondante cette année ! Partout, les Égyptiens se réjouissent, car il y aura une moisson encore meilleure que d'habitude.;;;;;;;;;;;;x
ancrel.4103.desc;Woe! The Nile has overflooded its banks. Egyptians everywhere are alarmed, for the destructive waters will destroy crop fields and cause havoc, and much of the harvest is now ruined.;Malheur ! Le Nil a inondé ses rives. Partout, les Égyptiens sont alarmés, car les eaux destructrices détruiront les champs de culture et causeront des ravages, et une grande partie de la récolte est maintenant ruinée.;;;;;;;;;;;;x
ancrel.4104.desc;Curses! The Nile flood is paltry and weak this year. Egyptians everywhere worry, as the harvest might be inadequate, leading to hunger and even starvation.;Malédiction ! La crue du Nil est dérisoire et faible cette année. Partout, les Égyptiens s'inquiètent, car la récolte risque d'être insuffisante, entraînant la faim et même la famine.;;;;;;;;;;;;x
VIET_nile_flood_good;Nile Flood is Good;La crue du Nil est bonne;;;;;;;;;;;;x
VIET_nile_flood_good_desc;The Nile's flood is adequate this year.;La crue du Nil est suffisante cette année.;;;;;;;;;;;;x
VIET_nile_flood_great;Nile Flood is Great;La crue du Nil est importante;;;;;;;;;;;;x
VIET_nile_flood_great_desc;The Nile's flood is rich and fertile this year. Bountiful harvests are guaranteed!;Le crue du Nil est riche et fertile cette année. Des récoltes abondantes sont garanties !;;;;;;;;;;;;x
VIET_nile_flood_overflow;Nile's Waters Have Overflooded;Les eaux du Nil sont surchargées;;;;;;;;;;;;x
VIET_nile_flood_overflow_desc;The Nile has overflown this year, causing destruction and a potential food crisis!;Le Nil est sorti de son lit cette année, causant des destructions et une crise alimentaire potentielle !;;;;;;;;;;;;x
VIET_nile_flood_poor;Nile Flood is Poor;La crue du Nil est faible;;;;;;;;;;;;x
VIET_nile_flood_poor_desc;The Nile's flood is poor this year. Starvation and hunger loom ahead!;La crue du Nil est mauvaise cette année. La famine et la faim nous attendent !;;;;;;;;;;;;x
monogatari.1030.desc;Latin speakers once inhabited much of the Pannonian basin, but they now form a small minority who live in scattered villages and towns. That said, they are still admired for their skills and talents in goldsmithing and administration. Today, some more prominent Pannonians have arrived in your court, and hope their abilities might be of use to you.;Les locuteurs du latin habitaient autrefois une grande partie du bassin pannonien, mais ils forment aujourd'hui une petite minorité qui vit dans des villages et des villes dispersés. Cela dit, ils sont toujours admirés pour leurs compétences et leurs talents en orfèvrerie et en administration. Aujourd'hui, d'autres Pannoniens éminents sont arrivés dans votre cour et espèrent que leurs capacités pourront vous être utiles.;;;;;;;;;;;;x
monogatari.1030.a;Very good! I certainly do not mind.;Très bien ! Ça ne me dérange pas du tout.;;;;;;;;;;;;x
monogatari.1031.desc;The Gepids once came to the Pannonian basin centuries ago, conquering the Romans, Dacians, and others who had lived there for centuries. Though their rule was later replaced by that of the Avars and other peoples, many of them still live in the region, and often provide their services to local lords, particularly the Avars. Today, some have come to your court offering you their services.;Les Gépides sont arrivés dans le bassin pannonien il y a des siècles, conquérant les Romains, les Daces et d'autres qui y avaient vécu pendant des siècles. Bien que leur domination ait été remplacée par celle des Avars et d'autres peuples, beaucoup d'entre eux vivent encore dans la région et fournissent souvent leurs services aux seigneurs locaux, en particulier les Avars. Aujourd'hui, certains sont venus dans votre cour pour vous offrir leurs services.;;;;;;;;;;;;x
monogatari.1031.a;Let us welcome these men, in them are the blood of warriors.;Accueillons ces hommes, le sang des guerriers coule en eux.;;;;;;;;;;;;x
monogatari.1032.desc;Sardinian;Sarde;;;;;;;;;;;;x
monogatari.1032.a;Sardinian;Sarde;;;;;;;;;;;;x
title_court_secretary;Court Secretary;Secrétaire de la Cour;;;;;;;;;;;;x
title_court_secretary_desc;Every lord needs a scribe to record important events and discussions.;Chaque seigneur a besoin d'un scribe pour enregistrer les événements importants et les discussions.;;;;;;;;;;;;x
title_chief_advisor;Chief Advisor;Conseiller principal;;;;;;;;;;;;x
title_chief_advisor_desc;Every lord needs someone to confide in.;Chaque seigneur a besoin de quelqu'un à qui se confier;;;;;;;;;;;;x
title_favored_consort;Favored Consort;Consort favori;;;;;;;;;;;;x
title_favored_consort_desc;If a man has multiple partners, there is usually one he'll favor.;Si un homme a plusieurs partenaires, il y en a généralement un qu'il préfère.;;;;;;;;;;;;x
VIET_favors_another_consort;Favors Another Consort;Favoriser un autre consort;;;;;;;;;;;;x
xdfxfxdf;Sardinian;Sarde;;;;;;;;;;;;x
