d_humble_hedge_knights;Humble Hedge Knights;Humble Hedge Knights;Humble Hedge Knights;;Humble Hedge Knights;;;;;;;;;x
d_humble_hedge_knights_adj;Humble Hedge Knights;Humble Hedge Knights;Humble Hedge Knights;;Humble Hedge Knights;;;;;;;;;x
d_brotherhood_of_the_shield;Brotherhood of the Shield;Brotherhood of the Shield;Brotherhood of the Shield;;Brotherhood of the Shield;;;;;;;;;x
d_brotherhood_of_the_shield_adj;Brotherhood of the Shield;Brotherhood of the Shield;Brotherhood of the Shield;;Brotherhood of the Shield;;;;;;;;;x
d_the_legendary_longbowmen;Legendary Longbowmen;Legendary Longbowmen;Legendary Longbowmen;;Legendary Longbowmen;;;;;;;;;x
d_the_legendary_longbowmen_adj;Legendary Longbowmen;Legendary Longbowmen;Legendary Longbowmen;;Legendary Longbowmen;;;;;;;;;x
d_sons_of_ireland;Sons of Ireland;Sons of Ireland;Sons of Ireland;;Sons of Ireland;;;;;;;;;x
d_sons_of_ireland_adj;Sons of Ireland;Sons of Ireland;Sons of Ireland;;Sons of Ireland;;;;;;;;;x
d_the_lost_company;Lost Company;Lost Company;Lost Company;;Lost Company;;;;;;;;;x
d_the_lost_company_adj;Lost Company;Lost Company;Lost Company;;Lost Company;;;;;;;;;x
d_the_foresters;Foresters;Foresters;Foresters;;Foresters;;;;;;;;;x
d_the_foresters_adj;Foresters;Foresters;Foresters;;Foresters;;;;;;;;;x
d_genovese_crossbow_contingent;Genovese Crossbow Contingent;Genovese Crossbow Contingent;Genovese Crossbow Contingent;;Genovese Crossbow Contingent;;;;;;;;;x
d_genovese_crossbow_contingent_adj;Genovese Crossbow Contingent;Genovese Crossbow Contingent;Genovese Crossbow Contingent;;Genovese Crossbow Contingent;;;;;;;;;x
d_ventura_company;Ventura Company;Ventura Company;Ventura Company;;Ventura Company;;;;;;;;;x
d_ventura_company_adj;Ventura Company;Ventura Company;Ventura Company;;Ventura Company;;;;;;;;;x
d_free_company;Free Company;Free Company;Free Company;;Free Company;;;;;;;;;x
d_free_company_adj;Free Company;Free Company;Free Company;;Free Company;;;;;;;;;x
d_novgorod_guard;Novgorod Guard;Novgorod Guard;Novgorod Guard;;Novgorod Guard;;;;;;;;;x
d_novgorod_guard_adj;Novgorod Guard;Novgorod Guard;Novgorod Guard;;Novgorod Guard;;;;;;;;;x
d_ukko's_thunder;Thunder of Ukko;Thunder of Ukko;Thunder of Ukko;;Thunder of Ukko;;;;;;;;;x
d_ukko's_thunder_adj;Thunder of Ukko;Thunder of Ukko;Thunder of Ukko;;Thunder of Ukko;;;;;;;;;x
d_finnish_band;Finnish Band;Finnish Band;Finnish Band;;Finnish Band;;;;;;;;;x
d_finnish_band_adj;Finnish Band;Finnish Band;Finnish Band;;Finnish Band;;;;;;;;;x
d_the_messengers_of_loki;Messengers of Loki;Messengers of Loki;Messengers of Loki;;Messengers of Loki;;;;;;;;;x
d_the_messengers_of_loki_adj;Messengers of Loki;Messengers of Loki;Messengers of Loki;;Messengers of Loki;;;;;;;;;x
d_the_weeping_blade;Weeping Blade;Weeping Blade;Weeping Blade;;Weeping Blade;;;;;;;;;x
d_the_weeping_blade_adj;Weeping Blade;Weeping Blade;Weeping Blade;;Weeping Blade;;;;;;;;;x
d_the_howling_wind;Howling Wind;Howling Wind;Howling Wind;;Howling Wind;;;;;;;;;x
d_the_howling_wind_adj;Howling Wind;Howling Wind;Howling Wind;;Howling Wind;;;;;;;;;x
d_friends_of_dorothy;Friends of Dorothy;Friends of Dorothy;Friends of Dorothy;;Friends of Dorothy;;;;;;;;;x
d_friends_of_dorothy_adj;Friends of Dorothy;Friends of Dorothy;Friends of Dorothy;;Friends of Dorothy;;;;;;;;;x
d_band_of_the_hawk;Band of the Hawk;Band of the Hawk;Band of the Hawk;;Band of the Hawk;;;;;;;;;x
