#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Titles;;;;;;;;;;;;;;
temple_duke_norse_pagan;Efstrgodi;;;;;;;;;;;;;x
temple_count_norse_pagan;Yfirgodi;;;;;;;;;;;;;x
temple_baron_norse_pagan;Godi;;;;;;;;;;;;;x
temple_duke_female_norse_pagan;Efstrgydja;;;;;;;;;;;;;x
temple_count_female_norse_pagan;Yfirgydja;;;;;;;;;;;;;x
temple_baron_female_norse_pagan;Gydja;;;;;;;;;;;;;x
temple_duchy_of_norse_pagan;Efstrgodord of ;;;;;;;;;;;;;x
temple_county_of_norse_pagan;Yfirgodord of ;;;;;;;;;;;;;x
temple_barony_of_norse_pagan;Godord of;;;;;;;;;;;;;x
temple_duke_norse_pagan_reformed;Efstrgodi;;;;;;;;;;;;;x
temple_count_norse_pagan_reformed;Yfirgodi;;;;;;;;;;;;;x
temple_baron_norse_pagan_reformed;Godi;;;;;;;;;;;;;x
temple_duke_female_norse_pagan_reformed;Efstrgydja;;;;;;;;;;;;;x
temple_count_female_norse_pagan_reformed;Yfirgydja;;;;;;;;;;;;;x
temple_baron_female_norse_pagan_reformed;Gydja;;;;;;;;;;;;;x
temple_duchy_of_norse_pagan_reformed;Efstrgodord of ;;;;;;;;;;;;;x
temple_county_of_norse_pagan_reformed;Yfirgodord of ;;;;;;;;;;;;;x
temple_barony_of_norse_pagan_reformed;Godord of;;;;;;;;;;;;;x
emperor_norse_pagan;Yfirkonung;;;;;;;;;;;;;x
king_norse_pagan;Konung;;;;;;;;;;;;;x
duke_norse_pagan;Jarl;;;;;;;;;;;;;x
count_norse_pagan;Høfting;;;;;;;;;;;;;x
baron_norse_pagan;Yfimatr;;;;;;;;;;;;;x
emperor_female_norse_pagan;Yfirdrottning;;;;;;;;;;;;;x
king_female_norse_pagan;Drottning;;;;;;;;;;;;;x
duke_female_norse_pagan;Jarla;;;;;;;;;;;;;x
count_female_norse_pagan;Høftinga;;;;;;;;;;;;;x
baron_female_norse_pagan;Yfimatra;;;;;;;;;;;;;x
empire_of_norse_pagan;High Kingdom of;;;;;;;;;;;;;x
kingdom_of_norse_pagan;Kingdom of;;;;;;;;;;;;;x
duchy_of_norse_pagan;Jarldom of;;;;;;;;;;;;;x
county_of_norse_pagan;Gard of;;;;;;;;;;;;;x
barony_of_norse_pagan;Ætt of;;;;;;;;;;;;;x
emperor_norse_pagan_reformed;Yfirkonung;;;;;;;;;;;;;x
king_norse_pagan_reformed;Konung;;;;;;;;;;;;;x
duke_norse_pagan_reformed;Jarl;;;;;;;;;;;;;x
count_norse_pagan_reformed;Høfting;;;;;;;;;;;;;x
baron_norse_pagan_reformed;Yfimatr;;;;;;;;;;;;;x
emperor_female_norse_pagan_reformed;Yfirdrottning;;;;;;;;;;;;;x
king_female_norse_pagan_reformed;Drottning;;;;;;;;;;;;;x
duke_female_norse_pagan_reformed;Jarla;;;;;;;;;;;;;x
count_female_norse_pagan_reformed;Høftinga;;;;;;;;;;;;;x
baron_female_norse_pagan_reformed;Yfimatra;;;;;;;;;;;;;x
empire_of_norse_pagan_reformed;High Kingdom of;;;;;;;;;;;;;x
kingdom_of_norse_pagan_reformed;Kingdom of;;;;;;;;;;;;;x
duchy_of_norse_pagan_reformed;Jarldom of;;;;;;;;;;;;;x
county_of_norse_pagan_reformed;Gard of;;;;;;;;;;;;;x
barony_of_norse_pagan_reformed;Ætt of;;;;;;;;;;;;;x
#Wars;;;;;;;;;;;;;;
NM_CB_NAME_VIKING_RAID;Viking Raid;;;;;;;;;;;;;x
NM_WAR_NAME_VIKING_RAID;$ORDER$$FIRST_ADJ$ Raid of $SECOND_ADJ$ Lands;;;;;;;;;;;;;x
nm_viking_raid_cb_desc;Slaughter their soldiers, take their women and plunder their riches! It is time to raid!;;;;;;;;;;;;;
#Buildings;;;;;;;;;;;;;;
nm_longboat_castle;Viking Tradition;;;;;;;;;;;;;x
#traits;;;;;;;;;;;;;;
nm_on_viking;On Viking;;;;;;;;;;;;;x
nm_on_viking_desc;This character is on a viking, out to plunder and pillage for glory, gold and Odin!;;;;;;;;;;;;;x
nm_niding;Niding;;;;;;;;;;;;;x
nm_niding_desc;This character is a niding, an honourless scoundrel.;;;;;;;;;;;;;x
nm_berserker;Berserker;;;;;;;;;;;;;x
nm_berserker_desc;A berserker fears nothing, and goes into battle with bloodlust and mushrooms! Sadly, the mushrooms tend to take a mental toll.;;;;;;;;;;;;;x
#Jobs;;;;;;;;;;;;;;
job_spiritual_norse_pagan;Court Volva;;;;;;;;;;;;;x
job_spiritual_norse_mysticism;Court Volva;;;;;;;;;;;;;x
job_spiritual_odinism;Seer;;;;;;;;;;;;;x
job_spiritual_female_odinism;Seeress;;;;;;;;;;;;;x
#decisions;;;;;;;;;;;;;;
nm_employ_volva;Seek out a Volva;;;;;;;;;;;;;x
nm_employ_volva_desc;Seek out a female practicer of Seid;;;;;;;;;;;;;x
#mercs/holy orders;;;;;;;;;;;;;;
MERC_SEIDMANN;Seidmann;;;;;;;;;;;;;x
MERC_SEIDMANN_FOA;Seidmann;;;;;;;;;;;;;x
MERC_BERSERKER;Berserker;;;;;;;;;;;;;x
MERC_BERSERKER_FOA;Berserker;;;;;;;;;;;;;x
MERC_VIKING;Høvding;;;;;;;;;;;;;x
MERC_VIKING_FOA;Høvding;;;;;;;;;;;;;x
#Nicknames;;;;;;;;;;;;;;
nick_the_divine;Godsblood;;;;;;;;;;;;;x
nick_the_viking;the Viking;;;;;;;;;;;;;x
nick_the_explorer;the Explorer;;;;;;;;;;;;;x
nick_the_berserker;the Berserker;;;;;;;;;;;;;x
nick_the_ulfhednar;Ulfhednar;;;;;;;;;;;;;x
nick_the_godi;the Priest;;;;;;;;;;;;;x
nick_the_ironshirt;Ironshirt;;;;;;;;;;;;;x
nick_the_mage;the Mage;;;;;;;;;;;;;x
nick_the_seidmann;the Seidmann;;;;;;;;;;;;;x
nick_the_volva;the Völva;;;;;;;;;;;;;x
nick_the_wise_woman;the Wise Woman;;;;;;;;;;;;;x
nick_the_seer;the Seer;;;;;;;;;;;;;x
nick_the_fatespinner;Fatespinner;;;;;;;;;;;;;x
nick_the_kinbane;Kinbane;;;;;;;;;;;;;x
nick_the_hardruler;Hardruler;;;;;;;;;;;;;x
nick_the_trolltongued;Trolltongued;;;;;;;;;;;;;x
nick_the_tall;Longlegs;;;;;;;;;;;;;x
nick_the_stygg;Stygge;;;;;;;;;;;;;x
nick_the_raider;Raider;;;;;;;;;;;;;x
nick_the_scourge;Scourge-of-Many;;;;;;;;;;;;;x
nick_the_digre;Digre;;;;;;;;;;;;;x
nick_the_vinlandsfarer;Vinlandsfarer;;;;;;;;;;;;;x
nick_the_jorsalafarer;Jorsalafarer;;;;;;;;;;;;;x
nick_the_miklagardsfarer;Miklagardsfarer;;;;;;;;;;;;;x
nick_the_ironbeard;Ironbeard;;;;;;;;;;;;;x
nick_the_yellowpaints;Yellowpaints;;;;;;;;;;;;;x
nick_the_skywatcher;Skywatcher;;;;;;;;;;;;;x
nick_the_firebelly;Firebelly;;;;;;;;;;;;;x
nick_the_changeling;Bytting;;;;;;;;;;;;;x
nick_the_foreigner;Foreigner;;;;;;;;;;;;;x
nick_the_trollspawn;the Trollspawn;;;;;;;;;;;;;x
nick_the_skald;the Skald;;;;;;;;;;;;;x
