#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# New religions
d_odinism;Odinist Fylkirate;;;;;;;;;;;;;x
d_odinism_adj;Odinist;;;;;;;;;;;;;x
norse_pagan_reformed_DESC;The reformed Norse Pagan faith has a Holy Book written in runes with chapters on Creation, the gods, Ragnarok, and secret spells - 'galdrs'. The church has a standardized liturgy and a formal church hierarchy led by the Fylkir, who - much like an Islamic Caliph - is both a secular ruler and the religious leader of the faithful. Defining features in-game:\n§Y*§! Can perform coastal raids anywhere\n§Y*§! Fleets can navigate major rivers\n§Y*§! Rulers can Prepare Invasions\n§Y*§! The Fylkir can call Great Holy Wars\n§Y*§! Reformed rulers more likely to be accepted by Tings;;;;;;;;;;;;;x
odinism;Odinist;;;;;;;;;;;;;x
odinism_DESC;The Odinists are Norse heretics who believe Odin is the only true God, the rest of the pantheon being 'mere' demigods. Similar to the reformed faith, they are organized with a head and a priestly class, but unlike the reformed faith the head is not a secular ruler. Defining features in-game:\n§Y*§! Can perform coastal raids anywhere\n§Y*§! Fleets can navigate major rivers\n§Y*§! Can call Great Holy Wars\n§Y*§! Loses prestige when at peace for too long, but vassals do not resent levies;;;;;;;;;;;;;x
norse_mysticism;Norse Mysticist;;;;;;;;;;;;;x
norse_mysticism_DESC;Mysticists are Norse heretics who believe that everyone have the potential for godhood, and that the Norse pantheon became deities due to their great knowledge of seid or their use of magical artifacts. Defining features in-game:\n§Y*§! Can perform coastal raids anywhere\n§Y*§! Fleets can navigate major rivers\n§Y*§! Low-tech Non-pagans suffer attrition in Mysticist land\n§Y*§! Rulers may adopt Seid\n§Y*§! Landed nobles may own temple holdings;;;;;;;;;;;;;x
#Decisions
nm_become_gode;Become a Godi;;;;;;;;;;;;;x
nm_become_gode_desc;Attempt to be recognized as an authority on the matters of the divine.;;;;;;;;;;;;;x
nm_create_odinist_fylkirate;Create the Odinist Fylkirate;;;;;;;;;;;;;x
nm_create_odinist_fylkirate_desc;Denounce the False Fylkir and instead elevate a Godi to become the Fylkir of all true believers.;;;;;;;;;;;;;x
#Holy Orders
EVTTITLE380023;The Sons of Odin;;;;;;;;;;;;;x
EVTDESC380023;The Allfather may be wise and know much, but he still needs men on Midgard to fight for the Aesir. The Sons of Odin are a military order of the reformed Norse, fighting for the Allfather in order to gain a seat in Valhall.;;;;;;;;;;;;;x
EVTOPTA380023;Hail Odin!;;;;;;;;;;;;;x
EVTOPTB380023;How are these different from normal Norse raiders?;;;;;;;;;;;;;x
expelled_sons_of_odin;Expelled the Sons of Odin;;;;;;;;;;;;;x
donate_money_to_odin;Donate 300¤ to the Sons of Odin;Donner 300¤ aux Jomsvikings;Spende 300¤ an die Jomsvikinger;;Donar 300¤ a los Jomsvikings;;;;;;;;;x
donate_money_to_odin_desc;I can donate money to the Sons of Odin in exchange for Piety and lifelong respect from the priesthood.;Je peux donner de l'argent aux Jomsvikings en échange de piété et du respect permanent du clergé.;Mit einer Geldspende an die Jomsvikinger kann ich Frömmigkeit und den lebenslangen Respekt der Priesterschaft erlangen.;;Puedo hacer una donación a los Jomsvikings. A cambio obtendré la Piedad y el respeto de por vida del sacerdocio.;;;;;;;;;x
d_sons_of_odin;Sons of Odin;;;;;;;;;;;;;x
d_sons_of_odin_adj;Odinite;;;;;;;;;;;;;x
sons_of_odin_founded;The Sons of Odin are founded;;;;;;;;;;;;;x
EVTDESC380012;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Sons of Odin in order to protect our faith, even though this will forever disinherit him.;Mon [GetFromRelation], [From.GetTitledFirstName], a demandé à rejoindre les terrifiants Jomsvikings dans leurs aventures, même si cela signifie qu'il n'héritera jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] will sich den gefürchteten Jomswikingern bei ihren Abenteuern anschließen, obwohl er dadurch auf ewig enterbt wird.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los temibles Jomsvikings en sus aventuras, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTOPTA380012;You are free to go;;;;;;;;;;;;;x
EVTOPTB380012;No!;;;;;;;;;;;;;x
EVTDESC380016;Great [Root.PrimaryTitle.GetRulerTitle], your generous donation is much appreciated. Hail the Allfather!;;;;;;;;;;;;;x
EVTDESC380021;Mighty [Root.GetTitledFirstName], the Sons of Odin require another holding with which to strike against those who would fight against our faith. [FromFrom.GetName] is a suitable location. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nGlory to Odin!\n\nWarchief [From.GetFirstName];;;;;;;;;;;;;x
EVTDESC380022;The Sons of Odin have constructed a castle in [Root.GetName]!;;;;;;;;;;;;;x
#Traits
nm_gode;Godi;;;;;;;;;;;;;x
nm_gode_desc;This character is widely recognized as an authority in spiritual matters.;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTDESC380001;While I strive to become an authority on the matters of the Gods, I realize my knowledge is... limited. Perhaps I should ask a wiser Godi to teach me?;;;;;;;;;;;;;x
EVTOPTA380001;I must learn more.;;;;;;;;;;;;;x
EVTOPTB380001;No, I know enough already.;;;;;;;;;;;;;x
EVTDESC380002;An old wanderer claims to have heard of your desire to become recognized as a Gode, wise in the ways of the gods. He offers to teach you, but warns of a heavy price for his knowledge... He demands you give him one of your fingers.;;;;;;;;;;;;;x
EVTOPTA380002;What? Throw this old madman out at once!;;;;;;;;;;;;;x
EVTOPTB380002;No, I know enough already.;;;;;;;;;;;;;x
EVTOPTC380002;I agree to the terms.;;;;;;;;;;;;;x
EVTDESC380003;Yesterday you were fit as a horse, but overnight you lie bedridden and with fever.;;;;;;;;;;;;;x
EVTOPTA380003;*cough* What have I ever done to deserve this? *cough*;;;;;;;;;;;;;x
EVTDESC380004;Despite not being generally recognized as a gode, a local petty farmer have nevertheless asked you to lead a blot funded mostly by him. Deigning a petty farmer with your presence might make you look weak, however...;;;;;;;;;;;;;x
EVTOPTA380004;Let the Blot begin!;;;;;;;;;;;;;x
EVTOPTB380004;No, I'd rather not wade in mud to sacrifice trinkets for the gods.;;;;;;;;;;;;;x
EVTDESC380005;Perhaps this ambition to become recognized as a Gode is impossible...;;;;;;;;;;;;;x
EVTOPTA380005;I give up.;;;;;;;;;;;;;x
EVTOPTB380005;No!;;;;;;;;;;;;;x
EVTDESC380006;You have become reknowned for your knowledge of the ways of the gods, and have been generally recognized as a priest.;;;;;;;;;;;;;x
EVTOPTA380006;Hail Odin! Hail Tor! Hail Freya!;;;;;;;;;;;;;x
EVTDESC380008;Odinism, a radical Norse heresy, have taken root in one of your lands. Odinism venerates Odin above all other Gods, and in fact claims Odin is the only real God. The other Gods, according to the Odinists, are mere demigods compared to Odins' omniscience and omnipotence.;;;;;;;;;;;;;x
EVTOPTA380008;This sounds dangerously Christian to me.;;;;;;;;;;;;;x
EVTOPTB380008;There is no Gods but Odin, and we'll kill anyone who says different!;;;;;;;;;;;;;x
