#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Traits;;;;;;;;;;;;;;
nm_seidmann;Seidmann;;;;;;;;;;;;;x
nm_seidmann_desc;This man is a Seidmann, wise in the ways of sorcery, the healing arts and the gods. Men using Seid are looked down upon.;;;;;;;;;;;;;x
nm_volva;Volva;;;;;;;;;;;;;x
nm_volva_desc;This woman is a Volva, wise in the ways of sorcery, the healing arts and the gods.;;;;;;;;;;;;;x
#Court Volva;;;;;;;;;;;;;;
action_do_seid_nm;Do Seid;;;;;;;;;;;;;x
action_do_seid_nm_desc;Send your [GetLordSpiritualName] to commit Seid in a province.;;;;;;;;;;;;;x
desc_action_do_seid_nm;Send your [GetLordSpiritualName] to commit Seid in a province.;;;;;;;;;;;;;x
EVTDESC331100;The ignorant farmers think that your Seid has hurt their crops! Fools!;;;;;;;;;;;;;x
EVTOPTA331100;Fooooools!;;;;;;;;;;;;;x
EVTDESC331101;A wanderer have told you that your [From.GetJobTitle], [From.GetTitledName], has commited Seid that have damaged the crops and killed livestock!;;;;;;;;;;;;;x
EVTOPTA331101;It is just superstitious farmers...;;;;;;;;;;;;;x
EVTOPTB331101;Throw  [From.GetHerHim] into the dungeon! ;;;;;;;;;;;;;x
EVTDESC331102;The weather, the animals, the rumours… All can be omens, and you know this is a good one!;;;;;;;;;;;;;x
EVTOPTA331102;Hill Freya!;;;;;;;;;;;;;x
EVTDESC331103;Your [From.GetJobTitle], [From.GetTitledName], has gives me an omen to…;;;;;;;;;;;;;x
EVTOPTA331103;Conquer! I must prepare for the future battles at once!;;;;;;;;;;;;;x
EVTOPTB331103;Prosper! I should make an investment!;;;;;;;;;;;;;x
EVTOPTC331103;Rule! Time to get the Chiefs and Jarls under my banner!;;;;;;;;;;;;;x
EVTOPTD331103;Scheme! Now is the time to prepare for plots!;;;;;;;;;;;;;x
EVTDESC331104;The weather, the animals, the rumours… All can be omens, and you know this is a bad one!;;;;;;;;;;;;;x
EVTOPTA331104;Hill Freya!;;;;;;;;;;;;;x
EVTDESC331105;Your [From.GetJobTitle], [From.GetTitledName], has seen that bad portents are in store for me and mine!;;;;;;;;;;;;;x
EVTOPTA331105;Oh no!;;;;;;;;;;;;;x
EVTOPTB331105;Right, 'portents'…;;;;;;;;;;;;;x
