#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Decisions;;;;;;;;;;;;;;
nm_explore_vinland;Travel to Vinland;;;;;;;;;;;;;x
nm_explore_vinland_desc;Tales of a new land to the west have spread like wildfire after the discovery made by Leif Erikson. While Leif have chartered a claim, I might gather my ships and hird and stake my own claim in this untamed land.;;;;;;;;;;;;;x
nm_wuss_out_vinland;Abandon Vinland;;;;;;;;;;;;;x
nm_wuss_out_vinland_desc;Vinland is not worth it, it is time to go home.;;;;;;;;;;;;;x
#Minor Titles
title_vinland_steward;Steward of Vinland;;;;;;;;;;;;;x
title_vinland_steward_desc;The Steward of Vinland manages the Vinlandic territory, collecting taxes, managing trade and relations with the Skrælings and wages war if necessary.;;;;;;;;;;;;;x
title_vinland_chief;Chief of Vinland;;;;;;;;;;;;;x
title_vinland_chief_desc;The Chief of Vinland is your appointed representative for the small Vinland colony. They are responsible for day-to-day affairs and the expansion of the colony, so chose wisely.;;;;;;;;;;;;;x
#Traits;;;;;;;;;;;;;;
nm_exploring_vinland;Exploring Vinland;;;;;;;;;;;;;x
nm_exploring_vinland_desc;This character is currently exploring the uncharted lands to the west, known as 'Vinland'.;;;;;;;;;;;;;x
nm_vinland1;Vinland Outpost;;;;;;;;;;;;;x
nm_vinland1_desc;This character possesses a small outpost in Vinland.;;;;;;;;;;;;;x
nm_vinland2;Vinland Colony;;;;;;;;;;;;;x
nm_vinland2_desc;This character possesses a colony in Vinland.;;;;;;;;;;;;;x
nm_vinland3;Jarl of Vinland;;;;;;;;;;;;;x
nm_vinland3_desc;This character has claimed a Jarldom in Vinland.;;;;;;;;;;;;;x
nm_vinlandwar1;Vinland Outpost;;;;;;;;;;;;;x
nm_vinlandwar1_desc;This character possesses a small outpost in Vinland.;;;;;;;;;;;;;x
nm_vinlandwar2;Vinland Colony;;;;;;;;;;;;;x
nm_vinlandwar2_desc;This character possesses a colony in Vinland.;;;;;;;;;;;;;x
nm_vinlandwar3;Jarl of Vinland;;;;;;;;;;;;;x
nm_vinlandwar3_desc;This character has claimed a Jarldom in Vinland.;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTTOOLTIP390002;Negotiations Succeed;;;;;;;;;;;;;x
EVTTOOLTIP390003;Negotiations Fail;;;;;;;;;;;;;x
EVTTOOLTIP390004;You join the Skræling feast;;;;;;;;;;;;;x
EVTTOOLTIP390008;Establishing a permanent presence;;;;;;;;;;;;;x
EVTDESC390001;You encounter a band of the native Skrælings while in Vinland. Their leader approaches, and the skrælings seem tense but not fully on their guard.;;;;;;;;;;;;;x
EVTOPTA390001;Attempt to negotiate;;;;;;;;;;;;;x
EVTOPTB390001;Surprise attack!;;;;;;;;;;;;;x
EVTOPTC390001;Leave the natives;;;;;;;;;;;;;x
EVTDESC390002;After some tense moments, the Skræling chief smiles and invites you to dine with them and exchange stories and gifts.;;;;;;;;;;;;;x
EVTOPTA390002;Very well, lets give them some trash... they won't know the difference.;;;;;;;;;;;;;x
EVTOPTB390002;Let us join them, and give them a ring of equal value to what they gave us.;;;;;;;;;;;;;x
EVTOPTC390002;We will stun them with our generosity!;;;;;;;;;;;;;x
EVTOPTD390002;Politely decline joining their feast.;;;;;;;;;;;;;x
EVTDESC390003;It might have been poor translation, misuse of body language, cultural misunderstandings or a Skræling trap... The negotiations fail, and it seems as if they are preparing to attack!;;;;;;;;;;;;;x
EVTOPTA390003;Valhall!;;;;;;;;;;;;;x
EVTOPTB390003;Run away!!;;;;;;;;;;;;;x
EVTDESC390004;While the customs of the Skrælings are strange, their food is good. Some of your warriors have joined dances, while others are trying to pick up some of the local language.;;;;;;;;;;;;;x
EVTOPTA390004;Eat and be merry;;;;;;;;;;;;;x
EVTOPTB390004;Try to learn some of the language;;;;;;;;;;;;;x
EVTOPTC390004;Start a brawl!;;;;;;;;;;;;;x
EVTDESC390005;While resting by your ships, you are approached by a native Skræling woman. Before anyone has time to react, she says 'I know your language! Pay me, and I will translate!';;;;;;;;;;;;;x
EVTOPTA390005;Pay her;;;;;;;;;;;;;x
EVTOPTB390005;Pay? Looks like I have a new thrall.;;;;;;;;;;;;;x
EVTOPTC390005;Why would I need a translator?;;;;;;;;;;;;;x
EVTDESC390006;While having a translator is well and good, you can never be too sure if the translations are in fact correct. Perhaps you should try to learn the local tongue with the aid of your translator?;;;;;;;;;;;;;x
EVTOPTA390006;Huh, I thought that word meant 'hello friend' no 'I bring you death'...;;;;;;;;;;;;;x
EVTOPTB390006;Nah, there's no need.;;;;;;;;;;;;;x
EVTDESC390007;One of your scouts have detected an ideal location for a permanent outpost in this new land... The only problem is that some Skrælings already live there.;;;;;;;;;;;;;x
EVTOPTA390007;We'll keep looking, but let us trade with these people.;;;;;;;;;;;;;x
EVTOPTB390007;For Odin! Attack!;;;;;;;;;;;;;x
EVTOPTC390007;Let us keep looking.;;;;;;;;;;;;;x
EVTDESC390008;Having gained land with which to build a Norse settlement, all there is left is appoint someone to manage the land (honorary title to landless characters) in your name and travel home.;;;;;;;;;;;;;x
EVTOPTA390008;It will be good to return home.;;;;;;;;;;;;;x
EVTDESC390009;The Skræling tribe you befriended have come with an offer: purchasing good coastal land for which to build a permanent settlement, although the price is high.;;;;;;;;;;;;;x
EVTOPTA390009;Buy the land;;;;;;;;;;;;;x
EVTOPTB390009;I will find another way;;;;;;;;;;;;;x
EVTDESC390010;A small ship enters the capital from the Vinland outpost. Skrælings have attacked the outpost, although the circumstances are confusing... something involving wild boars.;;;;;;;;;;;;;x
EVTOPTA390010;My beautiful Vinland!;;;;;;;;;;;;;x
EVTDESC390011;Word from the Vinlandic outpost tell of a growing population, with new houses being erected monthly and the beginning of stable trade with the Skrælings.;;;;;;;;;;;;;x
EVTOPTA390011;Excellent!;;;;;;;;;;;;;x
EVTDESC390012;Words from the colony in Vinland tell of a series of deadly battles between them and native Skrælings, with dozens dead and many homes razed to the ground.;;;;;;;;;;;;;x
EVTOPTA390012;Is this what 'irony' means?;;;;;;;;;;;;;x
