#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Employment;;;;;;;;;;;;;;x
toggle_marriage_decisions;Toggle Marriage Decisions;;;;;;;;;;;;;x
toggle_marriage_decisions_desc;Toggle the arranged marriage decisions, which will allow you to arrange marriages for your courtiers.;;;;;;;;;;;;;x
marry_courtiers;Arrange Courtier Marriages;;;;;;;;;;;;;x
marry_courtiers_desc;Arrange marriages for your courtiers, marrying them to each other where possible. Will not affect courtiers of your dynasty.;;;;;;;;;;;;;x
marry_courtier;Arrange Marriage for [Root.GetTitledFirstName];;;;;;;;;;;;;x
marry_courtier_desc;Arrange a marriage for [Root.GetTitledFirstName]. This will create a random character of approximately the same age as [Root.GetObjectPronoun], with random traits and attributes.;;;;;;;;;;;;;x
request_dejure_vassal_transfer;Request Dejure Vassal Transfer;;;;;;;;;;;;;x
request_dejure_vassal_transfer_desc;Enacting this decision will send your liege a request that one of his vassals that is dejure yours be transfered to you. This decision can only be taken once per character.;;;;;;;;;;;;;x
hold_grand_hunt_desc;Go on a Grand Hunt with the best hunters in our domains! The hunt preparations will start in August or September.;Participez à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
summer_fair_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province. The fair preparations will start between April and June.;Le Festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
create_hre;Create the Holy Roman Empire;;;;;;;;;x
create_hre_desc;We are clearly the rightful successor to Rome, so we should therefore unify our realm under one empire.;;;;;;;;;x
create_hre_tooltip;I am crowned Holy Roman Emperor.;;;;;;;;;x
create_hre_france;Create the Holy Roman Empire;;;;;;;;;x
create_hre_france_desc;We are clearly the rightful successor to Rome, so we should therefore unify our realm under one empire.;;;;;;;;;x
exchange_prisoners;Arrange Exchange for [Root.GetTitledFirstName];;;;;;;;;;;;;x
exchange_prisoners_desc;Arrange a prisoner exchange for [Root.GetTitledFirstName]. If the ruler holding [Root.GetObjectPronoun] prisoner accepts, a member of his dynasty will be released from your dungeons in exchange.;;;;;;;;;;;;;x
release_prisoners;Release All Prisoners;;;;;;;;;;;;;x
release_prisoners_desc;Release everyone in your dungeons for free.;;;;;;;;;;;;;x
execute_prisoners;Execute All Prisoners;;;;;;;;;;;;;x
execute_prisoners_desc;Execute everyone in your dungeons.;;;;;;;;;;;;;x
become_kinslayer_tooltip;You'll be considered a kinslayer.\n;;;;;;;;;;;;;x
violate_baqt;Violate the Baqt;;;;;;;;;;;;;x
violate_baqt_desc;By violating the Baqt, free trade between Muslims and Ethiopians will cease, and they will once more be allowed to attack one another.;;;;;;;;;;;;;x
prepare_for_converter;Prepare game for EU4 conversion;;;;;;;;;;;;;x
prepare_for_converter_desc;This decision makes your game ready for converting to EU4. If you do not execute the decision before conversion then the converter will assume that all realms have autonomous vassals, and thus release major vassals as vassal nations. Do note that this decision will cause certain crown authority laws to show up on the dejure kingdom/empire maps, so you should not run it until right before you plan to convert.;;;;;;;;;;;;;x
shattered_balance;Enable Shattered Balance;;;;;;;;;;;;;x
shattered_balance_desc;Every county in the world will become independent. Various customization options will be received by event.;;;;;;;;;;;;;x
gender_equality;Enable Gender Equality;;;;;;;;;;;;;x
gender_equality_desc;Every non-Muslim title in the world will adopt Absolute Cognatic succession. The restrictions on Enatic succession will be lifted. All council positions will open up to women.;;;;;;;;;;;;;x
no_ahistorical_empires;Remove Ahistorical Empires;;;;;;;;;;;;;x
no_ahistorical_empires_desc;All empires except the HRE, the Byzantine Empire, and the Persian Empire will cease to exist dejure. They can still be formed as titular titles.;;;;;;;;;;;;;x
