#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Yes;Yes;;;;;;;;;;;;;x
No;No;;;;;;;;;;;;;x
meneth.0.desc;Our family has been assimilated to the local culture.;;;;;;;;;;;;;x
meneth.0.a;Assimilate to the local culture;;;;;;;;;;;;;x
meneth.0.b;Do nothing;;;;;;;;;;;;;x
meneth.1.desc;I've assimilated to the local culture.;;;;;;;;;;;;;x
meneth.1.a;Assimilate to the local culture;;;;;;;;;;;;;x
meneth.1.b;Do nothing;;;;;;;;;;;;;x
meneth.100.desc;It's dangerous to go alone! Take this piety!;;;;;;;;;;;;;x
meneth.100.a;Free piety! Thanks;;;;;;;;;;;;;x
meneth.101.desc;EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;;;;;x
meneth.200.name;Welcome;;;;;;;;;;;;;x
meneth.200.desc;Welcome to Project Balance. This event is here to set up the campaign and to give you a brief introduction to Project Balance. \nProject Balance is much more minimalist than most major mods. Instead of trying to remake the game I've made tweaks in order to make the game both more enjoyable and more historically plausible.\nMake sure to check the "is war possible?" decision to see if you meet the restrictions, and check out the decisions only available on day 0. \nIf you encounter any issues or have any questions or feedback you can contact me in Project Balance's thread on the Paradoxplaza forums. Alternatively you can send me a PM on Paradoxplaza or on reddit. \nI hope you'll enjoy the mod, \n- Meneth;;;;;;;;;;;;;x
meneth.200.a;OK;;;;;;;;;;;;;x
meneth.201.desc;Sudden Death;;;;;;;;;;;;;x
meneth.201.a;Seems I am no longer needed in this cruel world.;;;;;;;;;;;;;x
EVTDESC55000;The populace of [Root.GetName] has embraced your culture.;Populace embraces your culture.;Populace embraces your culture.;;Populace embraces your culture.;;;;;;;;;x
#meneth.204.desc;We've just won a kingdom in a Crusade. We could choose to keep the kingdom for ourselves or we could give it to someone else in our family.;;;;;;;;;;;;;x
#meneth.204.a;Keep it for myself.;;;;;;;;;;;;;x
#meneth.204.b;Give it to my son.;;;;;;;;;;;;;x
#meneth.204.c;Give it to my brother.;;;;;;;;;;;;;x
#meneth.204.d;Give it to a close relative.;;;;;;;;;;;;;x
#meneth.204.e;Give it to a relative.;;;;;;;;;;;;;x
#meneth.204.f;Give it to a courtier.;;;;;;;;;;;;;x
#meneth.204.g;You shouldn't be seeing this button; you're not a bot.;;;;;;;;;;;;;x
meneth.205.desc;Feeling little loyalty to their far off ruler, the peasant rebels of [Root.GetName] desire to align with a nearby ruler instead!;;;;;;;;;;;;;x
meneth.206.desc;The pious are rewarded for their efforts.;;;;;;;;;;;;;x
meneth.206.a;OK;;;;;;;;;;;;;x
meneth.208.desc;For whatever reason, you hold a kingdom or empire that has no Internal Peace law. Perhaps you recently formed an empire, and the game thus didn't give you Emperor's Peace, or perhaps you're an emperor who formed a kingdom. Either way, this event should fix that for you.;;;;;;;;;;;;;x
meneth.209.desc;It appears that refusing the Pope wasn't a good idea. He has decided to excommunicate us.;;;;;;;;;;;;;x
meneth.209.a;We are excommunicated;;;;;;;;;;;;;x
meneth.210.desc;We have been excommunicated due to our war against the Papacy.;;;;;;;;;;;;;x
meneth.210.a;This is a disaster.;;;;;;;;;;;;;x
meneth.212.desc;You usually shouldn't be seeing this event, but for whatever reason the game thinks you're still at a tournament despite it being over already. This event fixes that, so you can hold tournaments.;;;;;;;;;;;;;x
meneth.213.desc;[FromFrom.GetTitledFirstName] has requested an exchange of prisoners. [FromFrom.GetSubjectPronoun] wants [From.GetTitledFirstName] released, and will in exchange release one member of our dynasty from their dungeons.;;;;;;;;;;;;;x
meneth.213.a;Let us do so without delay.;;;;;;;;;;;;;x
meneth.213.b;I have no interest in his prisoner.;;;;;;;;;;;;;x
meneth.214.desc;[From.GetTitledFirstName] has agreed to release [FromFrom.GetTitledFirstName], and we've in turn released one of their dynasty members.;;;;;;;;;;;;;x
meneth.215.desc;[From.GetTitledFirstName] has not agreed to release [FromFrom.GetTitledFirstName].;;;;;;;;;;;;;x
meneth.217.desc;The laws of your realm prevent you from instituting anything but minimal obligations from your vassals. Your demesne laws have therefore been returned to minimum.;;;;;;;;;;;;;x
meneth.219.desc;It is time for a faction meeting. We will determine what action to take, if any, once we know how everyone feels about our liege's rule.;;;;;;;;;;;;;x
meneth.220.desc;A faction meeting has begun, and the first point on the agenda is to determine how the faction as a whole feels about [Root.Liege.GetTitledFirstName]'s rule. What is your opinion?;;;;;;;;;;;;;x
meneth.220.a;Overall, I'm pleased with [Root.Liege.GetHerHis] rule;;;;;;;;;;;;;x
meneth.220.b;No opinion;;;;;;;;;;;;;x
meneth.220.c;[Root.Liege.GetTitledFirstName] must right some injustice;;;;;;;;;;;;;x
meneth.221.desc;Based on the faction vote, the following options are available to us. What action should we take? Your choice will be put to a vote.;;;;;;;;;;;;;x
meneth.221.a;Support our liege;;;;;;;;;;;;;x
meneth.221.b;Strengthen our position;;;;;;;;;;;;;x
meneth.221.c;Demand crown authority reduced;;;;;;;;;;;;;x
meneth.221.d;Weaken liege;;;;;;;;;;;;;x
meneth.222.desc;A vote has been called on whether or not to provide [Root.Liege.GetTitledFirstName] with financial support for the current war. The proposal is to contribute a tenth of our income this year to fund [Root.Liege.GetHerHim]. Do you support this?;;;;;;;;;;;;;x
meneth.223.desc;All the votes have been tallied.;;;;;;;;;;;;;x
meneth.223.a;The vote succeeded;;;;;;;;;;;;;x
meneth.223.b;The vote failed;;;;;;;;;;;;;x
meneth.224.desc;All the votes have been tallied. The vote succeeded;;;;;;;;;;;;;x
meneth.225.desc;All the votes have been tallied. The vote failed;;;;;;;;;;;;;x
meneth.226.desc;My loyal vassals have decided to provide me with financial support for the current war. Perhaps this will tip the scales in our favor.;;;;;;;;;;;;;x
meneth.227.desc;A vote has been called upon whether to demand lower vassal obligations. It is proposed that we present [Root.Liege.GetTitledFirstName] with an ultimatum. Do you support this?;;;;;;;;;;;;;x
meneth.228.desc;It seems that my vassals are unhappy with their current level of obligations. They're demanding that I change the law. Should I accept the ultimatum?;;;;;;;;;;;;;x
meneth.229.desc;A vote has been called upon whether to demand title revocation removed. It is proposed that we present [Root.Liege.GetTitledFirstName] with an ultimatum. Do you support this?;;;;;;;;;;;;;x
meneth.230.desc;As usual, my vassals are complaining about the title revocation law. This time, however, they've served their complaints to me along with an actual ultimatum. Do I sacrifice the law? I potentially face a dangerous revolt if I do not.;;;;;;;;;;;;;x
meneth.231.desc;A vote has been called on whether to demand revocation of the internal peace law. It is proposed that we present [Root.Liege.GetTitledFirstName] with an ultimatum. Do you support this?;;;;;;;;;;;;;x
meneth.232.desc;A confluence of my vassals demand that I revoke a law of the land, allowing vassal war and infighting. What should I do?;;;;;;;;;;;;;x
meneth.233.desc;[Root.Liege.GetTitledFirstName] has refused our ultimatum! Should we call for open revolt?;;;;;;;;;;;;;x
meneth.234.desc;[Root.Liege.GetTitledFirstName] has refused our ultimatum, and the faction leader is calling for an open revolt! Is revolt the right choice?;;;;;;;;;;;;;x
meneth.235.desc;The votes have been tallied.;;;;;;;;;;;;;x
meneth.235.a;To war!;;;;;;;;;;;;;x
meneth.235.b;Peace in our time;;;;;;;;;;;;;x
meneth.236.desc;We have decided to call a vote for the reduction of crown authority. How should it be reduced?;;;;;;;;;;;;;x
meneth.236.a;Lower obligations;;;;;;;;;;;;;x
meneth.236.b;No revocation;;;;;;;;;;;;;x
meneth.236.c;No internal peace;;;;;;;;;;;;;x
meneth.237.desc;We have decided to call a vote to weaken our liege. How should [Root.Liege.GetSheHe] be weakened?;;;;;;;;;;;;;x
meneth.237.a;Force release of imprisoned vassals;;;;;;;;;;;;;x
meneth.237.b;Give away a county;;;;;;;;;;;;;x
meneth.237.c;Give money to the faction;;;;;;;;;;;;;x
meneth.237.d;[Root.Liege.GetSheHeCap] should bloody abdicate!;;;;;;;;;;;;;x
meneth.238.desc;The faction leader wants [Root.Liege.GetTitledFirstName] to release all vassals currently held prisoner. Do you support this?;;;;;;;;;;;;;x
meneth.239.desc;The autonomy faction demands that I release all vassals currently held prisoner. It could be worse.;;;;;;;;;;;;;x
meneth.240.desc;The faction leader wants our liege, [Root.Liege.GetTitledFirstName], to give away a county. Do you support this?;;;;;;;;;;;;;x
