#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_autonomy_title;Autonomy;;;;;;;;;;;;;x
faction_autonomy_desc;Members seek to increase their autonomy within §Y[From.Liege.GetBestName]§!'s realm.;;;;;;;;;;;;;x
obj_convert_a_province_title;Convert a Province;;;;;;;;;;;;;x
obj_convert_a_province_desc;You want to convert a province, making your religious head happy and showing your piety to the world. Your stewardship will be reduced by two as you're busy helping your court chaplain convert the heathens.;;;;;;;;;;;;;x
obj_amass_fortune_title;Amass Fortune;;;;;;;;;;;;;x
obj_amass_fortune_desc;[This.GetTitledFirstName] is already well-off, but seeks a true fortune.;;;;;;;;;;;;;x
obj_amass_hoard_title;Amass a Hoard of Wealth;;;;;;;;;;;;;x
obj_amass_hoard_desc;[This.GetTitledFirstName] wants to swim in [This.GetHerHis] vault of gold!;;;;;;;;;;;;;x
obj_known_for_virtue_title;Become Known for Virtue;;;;;;;;;;;;;x
obj_known_for_virtue_desc;[This.GetTitledFirstName] seeks to become known for [This.GetHerHis] virtues.;;;;;;;;;;;;;x
