#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** CROATIAN **;;;;;;;;;;;;;;
emperor_croatian;Car;Car;Car;;Car;;;;;;;;;x
emperor_female_croatian;Carica;Carica;Carica;;Carica;;;;;;;;;x
emperor_title_ruler_consort_croatian;Car;Car;Car;;Car;;;;;;;;;x
emperor_title_ruler_consort_female_croatian;Carica Ortak;Carica Ortak;Carica Ortak;;Carica Ortak;;;;;;;;;x
emperor_title_queen_mother_female_croatian;Carica Udovica;Carica Udovica;Carica Udovica;;Carica Udovica;;;;;;;;;x
city_emperor_croatian;Veliki-Knez;Veliki-Knez;Veliki-Knez;;Veliki-Knez;;;;;;;;;x
empire_of_croatian;Carstvo od;Carstvo od;Carstvo od;;Carstvo od;;;;;;;;;x
#;;;;;;;;;;;;;;
king_croatian;Kralj;Kralj;Kralj;;Kralj;;;;;;;;;x
king_female_croatian;Kraljica;Kraljica;Kraljica;;Kraljica;;;;;;;;;x
title_regent_croatian;Regent;Regent;Regent;;Regent;;;;;;;;;x
title_ruler_consort_croatian;Princ Ortak;Princ Ortak;Princ Ortak;;Princ Ortak;;;;;;;;;x
title_ruler_consort_female_croatian;Kraljica Ortak;Kraljica Ortak;Kraljica Ortak;;Kraljica Ortak;;;;;;;;;x
title_queen_mother_croatian;Kraljica Majka;Kraljica Majka;Kraljica Majka;;Kraljica Majka;;;;;;;;;x
title_prince_croatian;Princ;Princ;Princ;;Princ;;;;;;;;;x
title_prince_female_croatian;Princeza;Princeza;Princeza;;Princeza;;;;;;;;;x
city_king_croatian;Dužd Serene;Dužd Serene;Dužd Serene;;Dužd Serene;;;;;;;;;x
kingdom_of_croatian;Kraljevina od;Kraljevina od;Kraljevina od;;Kraljevina od;;;;;;;;;x
#;;;;;;;;;;;;;;
duke_croatian;Vojvoda;Vojvoda;Vojvoda;;Vojvoda;;;;;;;;;x
duke_female_croatian;Vojvotkinja;Vojvotkinja;Vojvotkinja;;Vojvotkinja;;;;;;;;;x
duke_title_ruler_consort_croatian;Vojvoda;Vojvoda;Vojvoda;;Vojvoda;;;;;;;;;x
duke_title_ruler_consort_female_croatian;Vojvotkinja;Vojvotkinja;Vojvotkinja;;Vojvotkinja;;;;;;;;;x
city_duke_croatian;Dužd;Dužd;Dužd;;Dužd;;;;;;;;;x
duchy_of_croatian;Vojvodstvo od;Vojvodstvo od;Vojvodstvo od;;Vojvodstvo od;;;;;;;;;x
#;;;;;;;;;;;;;;
count_croatian;Racunati;Racunati;Racunati;;Racunati;;;;;;;;;x
count_female_croatian;Grofica;Grofica;Grofica;;Grofica;;;;;;;;;x
county_of_croatian;Zupanija od;Zupanija od;Zupanija od;;Zupanija od;;;;;;;;;x
count_title_ruler_consort_croatian;Racunati;Racunati;Racunati;;Racunati;;;;;;;;;x
count_title_ruler_consort_female_croatian;Grofica;Grofica;Grofica;;Grofica;;;;;;;;;x
city_count_croatian;Predsjednik Opcine Grada;Predsjednik Opcine Grada;Predsjednik Opcine Grada;;Predsjednik Opcine Grada;;;;;;;;;x
#;;;;;;;;;;;;;;
baron_croatian;Baron;Baron;Baron;;Baron;;;;;;;;;x
baron_female_croatian;Baronica;Baronica;Baronica;;Baronica;;;;;;;;;x
baron_title_ruler_consort_croatian;Baron;Baron;Baron;;Baron;;;;;;;;;x
baron_title_ruler_consort_female_croatian;Baronica;Baronica;Baronica;;Baronica;;;;;;;;;x
barony_of_croatian;Baronstvo od;Baronstvo od;Baronstvo od;;Baronstvo od;;;;;;;;;x
city_baron_croatian;Gradonavcelnik;Gradonavcelnik;Gradonavcelnik;;Gradonavcelnik;;;;;;;;;x
#;;;;;;;;;;;;;;
emperor_king_christian_croatian;Car-Biskup;Car-Biskup;Car-Biskup;;Car-Biskup;;;;;;;;;x
temple_king_catholic_croatian;Kralj-biskup;Kralj-biskup;Kralj-biskup;;Kralj-biskup;;;;;;;;;x
temple_king_orthodox_croatian;Kralj-biskup;Kralj-biskup;Kralj-biskup;;Kralj-biskup;;;;;;;;;x
temple_duke_catholic_croatian;Princ-Nadbiskup;Princ-Nadbiskup;Princ-Nadbiskup;;Princ-Nadbiskup;;;;;;;;;x
temple_duke_orthodox_croatian;Princ-Nadbiskup;Princ-Nadbiskup;Princ-Nadbiskup;;Princ-Nadbiskup;;;;;;;;;x
temple_count_catholic_croatian;Princ-Biskup;Princ-Biskup;Princ-Biskup;;Princ-Biskup;;;;;;;;;x
temple_count_orthodox_croatian;Eparhijski;Eparhijski;Eparhijski;;Eparhijski;;;;;;;;;x
temple_baron_christian_croatian;Biskup;Biskup;Biskup;;Biskup;;;;;;;;;x
#;;;;;;;;;;;;;;
city_empire_of_croatian;Kneževina od;Kneževina od;Kneževina od;;Kneževina od;;;;;;;;;x
city_kingdom_of_croatian;Federativna Republika od;Federativna Republika od;Federativna Republika od;;Federativna Republika od;;;;;;;;;x
city_duchy_of_croatian;Republika od;Republika od;Republika od;;Republika od;;;;;;;;;x
city_county_of_croatian;Velik Grad od;Velik Grad od;Velik Grad od;;Velik Grad od;;;;;;;;;x
city_barony_of_croatian;Grad od;Grad od;Grad od;;Grad od;;;;;;;;;x
#;;;;;;;;;;;;;;
job_chancellor_croatian;Kancelar;Kancelar;Kancelar;;Kancelar;;;;;;;;;x
job_marshal_croatian;Maršal;Maršal;Maršal;;Maršal;;;;;;;;;x
job_spymaster_croatian;Spijun Majstor;Spijun Majstor;Spijun Majstor;;Spijun Majstor;;;;;;;;;x
job_treasurer_croatian;Podvornik;Podvornik;Podvornik;;Podvornik;;;;;;;;;x
job_spiritual_croatian;Sud Kapelan;Sud Kapelan;Sud Kapelan;;Sud Kapelan;;;;;;;;;x
job_viceroy_croatian;Potkralj;Potkralj;Potkralj;;Potkralj;;;;;;;;;x
#;;;;;;;;;;;;;;x
title_court_jester_croatian;Dvorske Lude;Dvorske Lude;Dvorske Lude;;Dvorske Lude;;;;;;;;;x
title_keeper_of_swans_croatian;Keeper od Swans;Keeper od Swans;Keeper od Swans;;Keeper od Swans;;;;;;;;;x
title_master_of_the_horse_croatian;Nadzornik Konja;Nadzornik Konja;Nadzornik Konja;;Nadzornik Konja;;;;;;;;;x
title_master_of_the_hunt_croatian;Master of the Hunt;Master of the Hunt;Master of the Hunt;;Master of the Hunt;;;;;;;;;x
title_master_of_the_hounds_croatian;Majstor u Pasa;Majstor u Pasa;Majstor u Pasa;;Majstor u Pasa;;;;;;;;;x
title_grand_butler_croatian;Grand Butler;Grand Butler;Grand Butler;;Grand Butler;;;;;;;;;x
title_high_almoner_croatian;Visoki Djelitelj;Visoki Djelitelj;Visoki Djelitelj;;Visoki Djelitelj;;;;;;;;;x
title_cupbearer_croatian;Peharnik;Peharnik;Peharnik;;Peharnik;;;;;;;;;x
title_seneschal_croatian;Senešal;Senešal;Senešal;;Senešal;;;;;;;;;x
