#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** scottish **;;;;;;;;;;;;;;
emperor_female_scottish;Empress;Empress;Empress;;Empress;;;;;;;;;x
emperor_title_ruler_consort_scottish;Ímpire;Ímpire;Ímpire;;Ímpire;;;;;;;;;x
emperor_title_ruler_consort_female_scottish;Empress Chéile Ag;Empress Chéile Ag;Empress Chéile Ag;;Empress Chéile Ag;;;;;;;;;x
emperor_title_queen_mother_female_scottish;Empress Baintreach;Empress Baintreach;Empress Baintreach;;Empress Baintreach;;;;;;;;;x
city_emperor_scottish;Mhór-Prionsa;Mhór-Prionsa;Mhór-Prionsa;;Mhór-Prionsa;;;;;;;;;x
empire_of_scottish;Impireacht na;Impireacht na;Impireacht na;;Impireacht na;;;;;;;;;x
king_female_scottish;Ard Banríona;Ard Banríona;Ard Banríona;;Ard Banríona;;;;;;;;;x
title_regent_scottish;Regent;Regent;Regent;;Regent;;;;;;;;;x
title_ruler_consort_scottish;Prionsa Chéile Ag;Prionsa Chéile Ag;Prionsa Chéile Ag;;Prionsa Chéile Ag;;;;;;;;;x
title_ruler_consort_female_scottish;Ard Banríona Chéile Ag;Ard Banríona Chéile Ag;Ard Banríona Chéile Ag;;Ard Banríona Chéile Ag;;;;;;;;;x
title_queen_mother_scottish;Ard Banríona Mháthair;Ard Banríona Mháthair;Ard Banríona Mháthair;;Ard Banríona Mháthair;;;;;;;;;x
title_prince_scottish;Prionsa;Prionsa;Prionsa;;Prionsa;;;;;;;;;x
title_prince_female_scottish;Banphrionsa;Banphrionsa;Banphrionsa;;Banphrionsa;;;;;;;;;x
city_king_scottish;Doge Serene;Doge Serene;Doge Serene;;Doge Serene;;;;;;;;;x
#kingdom_of_scottish;Ard Ríocht na;Ard Ríocht na;Ard Ríocht na;;Ard Ríocht na;;;;;;;;;x
duke_female_scottish;Banríona;Banríona;Banríona;;Banríona;;;;;;;;;x
duke_title_ruler_consort_female_scottish;Banríona;Banríona;Banríona;;Banríona;;;;;;;;;x
city_duke_scottish;Doge;Doge;Doge;;Doge;;;;;;;;;x
#duchy_of_scottish;Ríocht na;Ríocht na;Ríocht na;;Ríocht na;;;;;;;;;x
#count_scottish;Iarla;Iarla;Iarla;;Iarla;;;;;;;;;x
count_female_scottish;Chuntaois;Chuntaois;Chuntaois;;Chuntaois;;;;;;;;;x
count_title_ruler_consort_scottish;Iarla;Iarla;Iarla;;Iarla;;;;;;;;;x
count_title_ruler_consort_female_scottish;Chuntaois;Chuntaois;Chuntaois;;Chuntaois;;;;;;;;;x
city_count_scottish;Tiarna Méara;Tiarna Méara;Tiarna Méara;;Tiarna Méara;;;;;;;;;x
baron_female_scottish;Banbharún;Banbharún;Banbharún;;Banbharún;;;;;;;;;x
baron_title_ruler_consort_scottish;Barún;Barún;Barún;;Barún;;;;;;;;;x
baron_title_ruler_consort_female_scottish;Banbharún;Banbharún;Banbharún;;Banbharún;;;;;;;;;x
emperor_king_christian_scottish;Ímpire-Earpag;Ímpire-Earpag;Ímpire-Earpag;;Ímpire-Earpag;;;;;;;;;x
temple_king_catholic_scottish;Rí-Easpag;Rí-Easpag;Rí-Easpag;;Rí-Easpag;;;;;;;;;x
temple_king_orthodox_scottish;Rí-Easpag;Rí-Easpag;Rí-Easpag;;Rí-Easpag;;;;;;;;;x
temple_duke_catholic_scottish;Prionsa-Ardeaspag;Prionsa-Ardeaspag;Prionsa-Ardeaspag;;Prionsa-Ardeaspag;;;;;;;;;x
temple_duke_orthodox_scottish;Prionsa-Ardeaspag;Prionsa-Ardeaspag;Prionsa-Ardeaspag;;Prionsa-Ardeaspag;;;;;;;;;x
temple_count_catholic_scottish;Prionsa-Easpag;Prionsa-Easpag;Prionsa-Easpag;;Prionsa-Easpag;;;;;;;;;x
temple_count_orthodox_scottish;Cathrach;Cathrach;Cathrach;;Cathrach;;;;;;;;;x
temple_baron_christian_scottish;Easpag;Easpag;Easpag;;Easpag;;;;;;;;;x
city_empire_of_scottish;Prionsacht na;Prionsacht na;Prionsacht na;;Prionsacht na;;;;;;;;;x
city_kingdom_of_scottish;Poblacht na;Poblacht na;Poblacht na;;Poblacht na;;;;;;;;;x
city_duchy_of_scottish;Poblacht na;Poblacht na;Poblacht na;;Poblacht na;;;;;;;;;x
city_county_of_scottish;Mhór Chathair na;Mhór Chathair na;Mhór Chathair na;;Mhór Chathair na;;;;;;;;;x
#city_barony_of_scottish;Chathair na;Chathair na;Chathair na;;Chathair na;;;;;;;;;x
job_chancellor_scottish;Seansailéir;Seansailéir;Seansailéir;;Seansailéir;;;;;;;;;x
job_marshal_scottish;Marshal;Marshal;Marshal;;Marshal;;;;;;;;;x
job_spymaster_scottish;Máistir Spy;Máistir Spy;Máistir Spy;;Máistir Spy;;;;;;;;;x
job_treasurer_scottish;Cisteoir;Cisteoir;Cisteoir;;Cisteoir;;;;;;;;;x
job_spiritual_scottish;Ríoga Séiplíneach;Ríoga Séiplíneach;Ríoga Séiplíneach;;Ríoga Séiplíneach;;;;;;;;;x
job_viceroy_scottish;Fhear Ionaid an Rí;Fhear Ionaid an Rí;Fhear Ionaid an Rí;;Fhear Ionaid an Rí;;;;;;;;;x
