#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8000.a;We were so young and innocent.;Nous étions si jeunes et innocents.;;;;;;;;;;;;x
VIETmisc.8001.desc;I idly sit at court one day when I see one of my young servants staring across the hall at one of my maids for far too long. She notices and looks at him, confused. He immediately jerks his head away, embarrassed, awkwardly avoiding her gaze. It's old news that he finds her attractive but hasn't worked up the courage to tell her, and she is too oblivious to know any better.;Un jour, je suis assis à la court, sans rien faire, quand je vois un de mes jeunes domestiques regarder depuis trop longtemps l'une de mes servantes de l'autre côté du couloir. Elle le remarque et le regarde, confuse. Il détourna aussitôt la tête, embarrassé, évitant maladroitement son regard. C'est une vieille nouvelle qu'il la trouve attirante, mais n'a pas eu le courage de le lui dire, et elle est trop insensible pour en savoir davantage.;;;;;;;;;;x;x
VIETmisc.8001.a;He will find courage soon, or she a brain. It'll work out.;Il va bientôt trouver du courage, ou elle aura un cerveau. Ça va marcher.;;;;;;;;;;;;x
VIETmisc.8001.b;Silly boy and girl. Fanciful, stupid, fleeting feelings.;Stupides garçon et fille. Des sentiments fantaisistes, stupides et fugaces.;;;;;;;;;;;;x
VIETmisc.8001.c;Ah, youth!;Ah, jeunesse !;;;;;;;;;;;;x
VIETmisc.8001.d;I sympathize with him. People are scary.;Je compatis avec lui. Les gens sont effrayants.;;;;;;;;;;;;x
VIETmisc.8001.b.tooltip;It's not like I was in love with anyone that way or anything like that.;Ce n'est pas comme si j'étais amoureux de quelqu'un de ce genre ou de quelque chose comme ça.;;;;;;;;;;x;x
VIETmisc.8002.desc;I don't know why, but I am feeling quite happy and inspired today.;Je ne sais pas pourquoi, mais je me sens plutôt heureux et inspiré aujourd'hui.;;;;;;;;;;x;x
VIETmisc.8002.a;It's a good feeling!;C'est un bon sentiment !;;;;;;;;;;;;x
VIETmisc.8003.desc;I saw a crab in the mud the other day.;J'ai vu un crabe dans la boue l'autre jour.;;;;;;;;;;x;x
