#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_emperor_female_christian;Empress-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
temple_king_female_catholic;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_king_female_orthodox;Queen-Bishop;Roi évêque;König-Bischof;;Rey-obispo;;;;;;;;;x
temple_duke_female_catholic;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_duke_female_orthodox;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
temple_count_female_catholic;Princess-Bishop;Prince évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
count_title_ruler_consort_english;Earl;Comte;Graf;;Conde;;;;;;;;;x
king_title_ruler_consort_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x
king_title_ruler_consort_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
king_title_ruler_consort_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x
baron_title_ruler_consort_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
count_title_ruler_consort_arabic;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x
duke_title_ruler_consort_arabic;Emir;Émir;Emir;;Emir;;;;;;;;;x
duke_title_ruler_consort_arabic_female;Emira;Émira;Emirin;;Emira;;;;;;;;;x
king_title_ruler_consort_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
king_title_ruler_consort_arabic_female;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
baron_title_ruler_consort_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
count_title_ruler_consort_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x
duke_title_ruler_consort_turkish;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x
king_title_ruler_consort_turkish;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
emperor_title_ruler_consort_turkish;Padishah;Padishah;Padishah;;Emperador Padishah;;;;;;;;;x
baron_title_ruler_consort_iranian;Muqtab;Muqtab;Muqtab;;Muqtab iraní;;;;;;;;;x
count_title_ruler_consort_iranian;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
duke_title_ruler_consort_iranian;Emir;Émir;Emir;;Emir;;;;;;;;;x
king_title_ruler_consort_iranian;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
emperor_title_ruler_consort_iranian;Shahanshah;Shahanshah;Shahanshah;;Rey de reyes;;;;;;;;;x
duke_title_ruler_consort_mongol_female;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_title_ruler_consort_pagan_group;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
duke_title_ruler_consort_norse_pagan;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
count_title_ruler_consort_pagan_group;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
baron_title_ruler_consort_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_title_ruler_consort_norse_pagan;Lord;Seigneur;Fürst;;Señor;;;;;;;;;x
temple_emperor_christian;Emperor-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
### PB Culture
# PB Crusades
# PB Historical
### Other Stuff
CB_NAME_RETAKE_THE_COAST;Retake the coast;;;;Retomar la costa;;;;;;;;;x
WAR_NAME_RETAKE_THE_COAST;$ORDER$$FIRST_ADJ$ War to Retake the Coast;;;;$ORDER$ guerra $FIRST_ADJ$ para retomar la costa;;;;;;;;;x
retake_the_coast_desc;§Y$CLAIMANT$§! can declare war to retake the Anatolian coast.;;;;§Y$CLAIMANT$§! puede declarar la guerra para retomar la costa de Anatolia.;;;;;;;;;x
