#New Hellenic Events;;;;;;;;;;;;;;x
VIET_nyx_devotee;Blessed by Nox;Béni par Nox;;;;;;;;;;x;x
VIET_nyx_devotee_desc;There are those who say that this person, whether they like it or not, has received the blessing of the deity Nox, also known as Nyx to the Greeks.;Il y a ceux qui disent que cette personne, que cela plaise ou non, a reçu la bénédiction de la divinité Nox, également connue sous le nom de Nyx auprès des Grecs.;;;;;;;;;;x;x
VIET_aphrodites_dream_blessing;Blessed by Venus;Béni par Vénus;;;;;;;;;;x;x
VIET_aphrodites_dream_blessing_desc;Venus of the Myrtle, Venus the Changer of Hearts, Venus the Heavenly - she who is the goddess of beauty and love has graced this person with her blessing in a dream.;Vénus du Myrtle, Vénus la Changeuse de Cœur, Vénus la Céleste - elle qui est la déesse de la beauté et de l'amour a honoré cette personne de sa bénédiction dans un rêve.;;;;;;;;;;x;x
VIET_epona_statue;Epona Statue;Statue d'Epona;;;;;;;;;;x;x
VIET_epona_statue_desc;One of the towns in this province recently dedicated a new statue to the Gallo-Roman deity Epona, the goddess of horses, donkeys, and fertility.;Une des villes de cette province a récemment dédié une nouvelle statue à la divinité gallo-romaine Epona, déesse des chevaux, des ânes et de la fertilité.;;;;;;;;;;x;x
VIET_greek_mythology_idle_thoughts;Idle Thoughts about Hellenic Myths;Idées sur les mythes helléniques;;;;;;;;;;x;x
VIET_greek_mythology_idle_thoughts_desc;This character has been thinking about the Hellenic myths, though not in a particularly deep manner.;Ce personnage a pensé aux mythes helléniques, mais pas de manière particulièrement profonde.;;;;;;;;;;x;x
VIET_ceres_hanging;Hanging for Ceres;Suspendu pour Cérès;;;;;;;;;;x;x
VIET_ceres_hanging_desc;Recently, a known farmer in this province attempted to use magical charms to curse the crops of his neighbor. Such an affront to the various deities, Ceres among them, meant that he had to be executed by hanging in the name of Ceres. Nevertheless, the fact that there are locals using dark magics, offending gods and mortals alike, is of great concern. There will be unrest for some time as the people living here are growing suspicious of one another.;Récemment, un agriculteur connu dans cette province a tenté d'utiliser des charmes magiques pour maudire les récoltes de son voisin. Un tel affront aux diverses divinités, dont Cérès, impliquait qu'il devait être exécuté par pendaison au nom de Cérès. Néanmoins, le fait qu'il y ait des locaux utilisant la magie noire, offensant les dieux comme les mortels, est très préoccupant. Il y aura des troubles pendant un certain temps à mesure que les personnes vivant ici se méfieront les unes des autres.;;;;;;;;;;x;x
VIET_glaucus_herb;Glaucus Herb;Herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_desc;Some superstitious locals believe they have discovered the herb known as 'dog's tooth' in various parts of this province. According to legend, this was the same herb that the fisherman Glaucus ate to become immortal.;Certains habitants superstitieux pensent avoir découvert l'herbe appelée «chien dent» dans diverses parties de la province. Selon la légende, il s'agirait de la même herbe que le pêcheur Glaucus a mangé pour devenir immortel.;;;;;;;;;;x;x
VIET_glaucus_herb_good;Tried the Herb of Glaucus;A essayé l'herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_good_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Fortunately, it seems that the herb did have some beneficial effects.;Ce personnage était assez stupide pour essayer une herbe que les paysans superstitieux pensaient être la même "chien dent" que celle qui a donné l'immortalité au légendaire pêcheur Glaucus. Heureusement, il semble que l'herbe ait eu certains effets bénéfiques.;;;;;;;;;;x;x
VIET_glaucus_herb_bad;Tried the Herb of Glaucus;A essayé l'herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_bad_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Unfortunately, it seems that the herb had some negative effects.;Ce personnage était assez stupide pour essayer une herbe que les paysans superstitieux pensaient être la même "chien dent" que celle qui a donné l'immortalité au légendaire pêcheur Glaucus. Malheureusement, il semble que l'herbe ait eu des effets négatifs.;;;;;;;;;;x;x
VIET_flora_statue;Statue of Flora;Statue de Flora;;;;;;;;;;x;x
VIET_flora_statue_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. Such a statue is surely a blessing.;Ce personnage a récemment acheté une statue de la déesse Flora pour décorer sa demeure. C'est assez beau ! Le savoir-faire est excellent. Une telle statue est sûrement une bénédiction.;;;;;;;;;;x;x
VIET_flora_statue_lustful;Statue of Flora (for Nefarious Purposes);Statue de Flora (à des Fins Répréhensibles);;;;;;;;;;x;x
VIET_flora_statue_lustful_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. It seems this character, however, had baser, debauched reasons for purchasing such a statue of a nude young woman.;Ce personnage a récemment acheté une statue de la déesse Flora pour décorer leur demeure. C'est assez beau ! Le savoir-faire est excellent. Il semble cependant que ce personnage ait eu des raisons plus basses et débauchées d'acheter une telle statue d'une jeune femme nue.;;;;;;;;;;x;x
hellenic.530.desc;The greatest of the ancient Hellenic city states were Athens and Sparta, yet in comparing and contrasting them, one can easily see how they were very different. Today, you've come across two courtiers arguing about which one was better. Seeing you nearby, they ask for your input. Was it the mighty, warrior Spartans who were better? Or the crafty, philosophy-loving Athenians?;Les plus grands des cités helléniques anciennes ont été Athènes et Sparte. Cependant, en les comparant et en les opposant, on peut facilement voir à quel point elles étaient très différents. Aujourd'hui, vous avez rencontré deux courtisans qui se disputaient pour savoir lequel était la meilleure. En vous voyant à proximité, ils vous demandent votre avis. Était-ce les puissants guerriers Spartiates qui étaient meilleurs ? Ou les Athéniens rusés, épris de philosophie ?;;;;;;;;;;x;x
hellenic.530.a;Athens of course! An admirable, cultured people.;Athènes bien sur ! Un peuple admirable et cultivé.;;;;;;;;;;;;x
hellenic.530.b;Sparta, no doubt. Their armies were to be feared!;Sparte, sans doute. Leurs armées étaient à craindre !;;;;;;;;;;;;x
hellenic.530.c;They were both flawed and pathetic, for they had great hubris.;Ils étaient tous les deux défectueux et pathétiques, car ils avaient un grand orgueil.;;;;;;;;;;;;x
hellenic.530.d;Actually I have to go with Thebes.;En fait, je penche plutôt pour Thèbes.;;;;;;;;;;;;x
hellenic.531.desc;There are a number of deities who are not popularly worshipped, but most of them are minor compared to the mightiest of the gods. Yet some are quite powerful. For instance you have been thinking about Nox, the goddess who is Night itself, is feared even by Jupiter. Perhaps it might do to show this underappreciated deity some devotion.;Il existe un certain nombre de divinités qui ne font pas l'objet d'adoration populaire, mais la plupart d'entre elles sont mineures par rapport au plus puissant des dieux. Pourtant, certains sont assez puissants. Par exemple, vous pensiez à Nox, la déesse qui est la Nuit elle-même, est craint même par Jupiter. Peut-être serait-il utile de montrer un peu de dévotion à cette divinité sous-estimée.;;;;;;;;;;x;x
hellenic.531.a;Some prayers will do.;Certaines prières feront l'affaire.;;;;;;;;;;;;x
hellenic.531.b;I’ll dedicate a statue and praise her with ancient poetry.;Je vais dédier une statue et la louer avec une poésie ancienne.;;;;;;;;;;;;x
hellenic.531.c;I'm just being superstitious. Enough!;Je suis juste superstitieux. Assez !;;;;;;;;;;;;x
VIET_nyx_poetry_praise;\n\nO Nox!\nEver shall this house throughout the circling periods of the year hold thee high in honour and in worship.\nBlack bulls of chosen beauty shall pay thee sacrifice.\nO goddess!\nVulcanus’ fire shall eat the lustral entrails, where-o'er the new milk streams.;\n\nO Nox ! \nToutes les demeures qui se succèdent au cours de l'année vous tiennent haut en honneur et en adoration. \nLes taureaux noirs de la beauté choisie vous feront des sacrifices.\nO déesse ! \nLe feu de Vulcain dévorera le lustral les entrailles, où coule le nouveau lait.;;;;;;;;;;;;x
hellenic.532.desc;Today you felt an unusual amount of lust, so alarming that you had to consult with the diviners as surely this was not a natural occurrence. They concluded that one of the so-called Erotes, lesser gods who were Venus’ sons and attendants, must have pranked you for some reason. You were given some spells to recite. Hopefully, they will repel the Erotes and their mischief.;Aujourd'hui, vous avez ressenti une quantité inhabituelle de luxure, si alarmante que vous avez dû consulter les devins, car ce n'était sûrement pas un événement naturel. Ils ont conclu qu’un des soi-disant Erotes, les dieux mineurs qui étaient les fils et les serviteurs de Vénus, devait vous avoir farce pour une raison quelconque. On vous a donné des sorts à réciter. Espérons qu'ils repousseront les Erotes et leurs méfaits.;;;;;;;;;;x;x
hellenic.532.a;Let these spells work!;Laissez ces sorts fonctionner !;;;;;;;;;;;;x
hellenic.532.b;On the other hand, I like feeling lustful.;Par contre, j'aime me sentir lubrique.;;;;;;;;;;;;x
hellenic.532.c;Wait, couldn't I just appeal to Venus herself?;Attendez, je ne pourrais pas faire appel à Vénus elle-même ?;;;;;;;;;;;;x
hellenic.533.tooltip;Surely she will be able to help me. I will pray to her and make offerings.;Elle pourra sûrement m'aider. Je vais la prier et faire des offrandes.;;;;;;;;;;x;x
hellenic.533.desc;Later that night, in your dreams, Venus appears before you. She is graceful, elegant, and beautiful beyond compare even as she apologizes to you about the Erotes. “Those sons of mine should not have been such a nuisance to you,” she says. “After all, I have no quarrel with you. Yet. Now, take this small token as appreciation for your wisdom in praying to me for help. You clearly know who is in charge.”\n\nWhen you wake up, you feel normal again, yet strangely, more confident and blessed. ;Plus tard dans la nuit, dans vos rêves, Vénus apparaît devant vous. Elle est gracieuse, élégante et d'une beauté incomparable alors même qu'elle vous présente ses excuses pour les Erotes. «Ces fils n’auraient pas dû être une telle nuisance pour vous», dit-elle. «Après tout, je n'ai aucune querelle avec vous. Pas encore. Maintenant, prenez ce petit gage comme appréciation de votre sagesse en me demandant de l’aide. Vous savez clairement qui est le responsable. "\n\nLorsque vous vous réveillez, vous vous sentez à nouveau normal, mais étrangement, plus confiant et béni.;;;;;;;;;;;;x
hellenic.533.a;What a mysterious dream!;Quel rêve mystérieux !;;;;;;;;;;;;x
hellenic.534.desc;You attend a minor religious ceremony when the priest performing the public prayer accidentally forgot to mention a couple of the prayer's beneficiaries. Professionals usually don't make such mistakes, but per Roman custom and belief, this cannot be ignored. Though it is almost done, the entire ritual must be redone if it is to be effective. Are you willing to sit through all that again?;Vous assistez à une cérémonie religieuse mineure lorsque le prêtre qui a exécuté la prière publique a oublié par inadvertance de mentionner quelques bénéficiaires de la prière. Les professionnels ne font généralement pas de telles erreurs, mais, selon la coutume et les croyances romaines, cela ne peut être ignoré. Bien que ce soit presque terminé, tout le rituel doit être refait pour être efficace. Êtes-vous prêt à assister à tout cela ?;;;;;;;;;;x;x
hellenic.534.a;We all make mistakes - restart the ritual.;Nous faisons tous des erreurs - recommencez le rituel.;;;;;;;;;;;;x
hellenic.534.b;If the priest messes up again I'll punish them!;Si le prêtre déconne à nouveau, je vais le punir !;;;;;;;;;;x;x
hellenic.534.c;I don't want to sit through this again.;Je ne veux pas assister de nouveau à cela.;;;;;;;;;;x;x
hellenic.534.d;Does it matter? It's just words.;Est-ce que ça importe ? Ce ne sont que des mots.;;;;;;;;;;x;x
