#Flavor events;;;;;;;;;;;;;;x
EVTDESC1000109021;While talking with you one day, a servant asks you why we need to have Jews at your court. “Surely,” he says, “You are aware of the danger of these terrible people? We shouldn’t be keeping them here.”;"Un jour, un serviteur vous demande pourquoi nous avons besoin d'avoir des Juifs à votre cour. ""Vous êtes conscients du danger de ces terribles gens ? On ne devrait pas les garder ici.""";;;;;;;;;;x;;
EVTOPTA1000109021;We need educated people, no matter what.;Nous avons besoin de gens instruits, quoi qu'il arrive.;;;;;;;;;;x;;
EVTOPTB1000109021;I don’t like them either, but we need them for now.;Je ne les aime pas non plus, mais on en a besoin pour l'instant.;;;;;;;;;;x;;
EVTOPTC1000109021;Don’t disrespect any of my subjects, even if they are Jews.;Ne manquez pas de respect à aucun de mes sujets, même s'ils sont juifs.;;;;;;;;;;x;;
EVTDESC1000109022;One of my Jewish courtiers is well-known for his great knowledge concerning spiritual matters. Today, out of boredom, we decided to begin a religious debate. So far, it’s been interesting debating against a Jew. As of now, things are starting to get really heated...;Un de mes courtisans juifs est connu pour sa grande connaissance des questions spirituelles. Aujourd'hui, par ennui, nous avons décidé d'entamer un débat religieux. Jusqu'à présent, ça a été un débat intéressant contre un Juif. À partir de maintenant, les choses commencent à s'échauffer ...;;;;;;;;;;x;;
EVTOPTA1000109022;But you see, in [Root.Religion.GetScriptureName], it says that...;Mais vous voyez, dans [Root.Religion.GetScriptureName], il est écrit que ...;;;;;;;;;;x;;
EVTDESC1000109023;While we disagreed on many points, our dicussion was nevertheless very enlightening. In fact, we were so engrossed in our debate that by the time we finished, it was already sunrise!;Bien que nous ayons été en désaccord sur de nombreux points, notre discussion a néanmoins été très éclairante. En fait, nous étions tellement absorbés par notre débat qu'au moment où nous avons terminé, le soleil était déjà levé !;;;;;;;;;;x;;
EVTOPTA1000109023;It was most enjoyable.;C'était très agréable.;;;;;;;;;;x;;
EVTDESC1000109024;I should never have this kind of debate again. Our disagreements were too many, and I really felt frustrated with the man.;Je ne devrais plus jamais avoir ce genre de débat. Nos désaccords étaient trop nombreux, et je me sentais vraiment frustré avec cet homme.;;;;;;;;;;x;;
EVTOPTA1000109024;Enough of this.;Assez de tout ça.;;;;;;;;;;x;;
EVTTOOLTIP1000109023;Debate ends well;Le débat se termine bien;;;;;;;;;;x;;
EVTTOOLTIP1000109024;Debate ends badly;Le débat se termine mal;;;;;;;;;;x;;
EVTDESC1000109025;It’s such a nice day outside, but even as I bask in the garden’s sunlight, inside my heart I feel sorrow. Perhaps I should sing the song my mother taught me years ago...;C'est une si belle journée à l'extérieur, mais même si je me prélasse dans le soleil du jardin, à l'intérieur de mon cœur, je ressens de la peine. Je devrais peut-être chanter la chanson que ma mère m'a apprise il y a des années ...;;;;;;;;;;x;;
EVTOPTA1000109025;Oh Jerusalem...;Oh Jérusalem ...;;;;;;;;;;x;;
EVTDESC1000109026;Today, while walking in the courtyard, you find one of your Jewish courtiers singing a haunting, ancient Jewish song. Even though you don’t understand it, you feel the sadness, the melancholy, the nostalgia, the sehnsucht of the lyrics. You watch her sing for a while, and after she finishes, you decide to approach her.;Aujourd'hui, en marchant dans la cour, vous trouvez un de vos courtisans juifs qui chante une chanson juive ancienne et obsédante. Même si vous ne le comprenez pas, vous ressentez la tristesse, la mélancolie, la nostalgie, l'aspiration des paroles. Vous la regardez chanter un moment, et une fois qu'elle a fini, vous décidez de l'approcher.;;;;;;;;;;x;;
EVTOPTA1000109026;Very soothing and soulful indeed!;Très apaisant et émouvant en effet !;;;;;;;;;;x;;
EVTOPTB1000109026;It sounds terrible, actually.;Ça a l'air terrible, en fait.;;;;;;;;;;x;;
EVTOPTC1000109026;Actually, I should not be deceived by the music of the Jews.;En fait, je ne devrais pas être trompé par la musique des Juifs.;;;;;;;;;;x;;
EVTOPTD1000109026;Wait, I do understand your language. The song is sad, indeed...;Attendez, je comprends votre langage. La chanson est triste, en effet ...;;;;;;;;;;x;;
EVTDESC1000109027;While talking with my liege today, the topic of our conversation suddenly switched to finances. Perhaps this is a perfect opportunity to make my request!;En parlant avec mon seigneur aujourd'hui, le sujet de notre conversation a soudainement basculé sur les finances. C'est peut-être l'occasion rêvée de faire ma demande !;;;;;;;;;;x;;
EVTOPTA1000109027;Hopefully my liege is in a good mood...;J'espère que mon seigneur est de bonne humeur ...;;;;;;;;;;x;;
