#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_CELTIC_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];Conquête du titre de [Title.GetBaseName];Die Eroberung von [Title.GetBaseName];;Conquista del [Title.GetBaseName];;;;;;;;;x
#WAR_NAME_CELTIC_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquête de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x
#CB_NAME_SCOTTISH_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];Conquête du titre de [Title.GetBaseName];Die Eroberung von [Title.GetBaseName];;Conquista del [Title.GetBaseName];;;;;;;;;x
#WAR_NAME_SCOTTISH_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquête de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x
#CB_NAME_ENGLISH_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];Conquête du titre de [Title.GetBaseName];Die Eroberung von [Title.GetBaseName];;Conquista del [Title.GetBaseName];;;;;;;;;x
#WAR_NAME_ENGLISH_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquête de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x
#b_jersey;St. Helier;St. Helier;St. Helier;;St. Helier;;;;;;;;;x
#b_kildare;Tara;Tara;Tara;;Tara;;;;;;;;;x
EVTDESC930000001;You live in a changing world. The world outside the Celtic West sees you as a heathen barbarian. Rome and England seek to extend their unfluence over your land. You are faced with a difficult choice: will you abandon tradition to reform the church, or will you stand definatly against the winds of change?;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000001;The Church is fundamentally out of touch with Rome and the wider Catholic world. I must work towards reform;Roi;König;;Rey;;;;;;;;;x
EVTOPTB930000001;Our traditional ways are best. The influence of Rome should be avoided;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000002;You have been chosen as High King of Ireland. However the throne is not secure. The lesser Kings of Ireland may reject you and try to take the title for themselves;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000002;I am the true High King!;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000003;The High King is dead. His heir sits the thone, but his legitimacy is derived from the will of the lesser Kings. Will you ackowledge the new king, or do you have your own ambitions for the thone?;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000003;The rightful king sits the throne;Roi;König;;Rey;;;;;;;;;x
EVTOPTB930000003;The throne should be mine;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000004;All the kings of Ireland have bowed to you. You are the true High King;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000004;OK;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000007;In Medieval Wales and Ireland only individual power is respected. The lords that pledged alliegence to the former King may not do the same for you;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000007;Your vassals will decide;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000005;Your King is dead. His heir now sits the throne, but you are not obliged to bend the knee to him. Will you remain loyal?;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000005;I am loyal to the King;Roi;König;;Rey;;;;;;;;;x
EVTOPTB930000005;I will bow to no King;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000006;The old king's vassals have made their choices. The realm is stable;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000006;At last;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000008;You no longer command the respect that a King of Wales should. You are stripped of your title;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000008;I am unworthy;Roi;König;;Rey;;;;;;;;;x
EVTDESC930000010;No foreigner will ever be accepted as High King. You are stripped of your title;Roi;König;;Rey;;;;;;;;;x
EVTOPTA930000010;Damn these superstitious barbarians;Roi;König;;Rey;;;;;;;;;x
