#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brm_minor_revolt;Minor revolt;Minor revolt;Minor revolt;;Minor revolt;;;;;;;;;x
brm_serious_revolt;Serious revolt;Serious revolt;Serious revolt;;Serious revolt;;;;;;;;;x
brm_massive_revolt;Massive revolt;Massive revolt;Massive revolt;;Massive revolt;;;;;;;;;x
brm_revolt_suppressed;Revolt suppressed;Revolt suppressed;Revolt suppressed;;Revolt suppressed;;;;;;;;;x
brm_reduced_tax;Reduced tax;Reduced tax;Reduced tax;;Reduced tax;;;;;;;;;x
brm_rebel_offer_rejected;Rebels offer rejected;Rebels offer rejected;Rebels offer rejected;;Rebels offer rejected;;;;;;;;;x
brm_isolated_province;Isolated province;Isolated province;Isolated province;;Isolated province;;;;;;;;;x
brm_recent_revolt;Recent Revolt;Révolte récente;Kürzliche Revolte;;Revuelta reciente;;;;;;;;;x
EVTDESCbetter_rebels.0;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the peasants have taken to arms.;Une révolte a éclaté à [Root.GetName] ! En colère contre mon 'règne tyrannique', les paysans ont pris les armes.;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über meine 'Gewaltherrschaft' und haben daher zu den Waffen gegriffen.;;¡Ha estallado una revuelta en [Root.GetName]! Furiosos por mi 'gobierno opresor', los campesinos han tomado las armas.;;;;;;;;;x
EVTOPTAbetter_rebels.0;How dare they oppose me!;Comment osent-ils s’opposer à moi !;Wie können sie es wagen, sich gegen mich zu stellen!;;¿Cómo osan oponerse a mí?;;;;;;;;;x
EVTDESCbetter_rebels.1;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledName], the peasants have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well...;Une révolte a éclaté à [From.GetName] ! En colère contre le règne tyrannique de [From.County.Holder.GetTitledName], les paysans ont pris les armes. Ils détruisent tout sans discernement et risquent donc de s’en prendre à mes propriétés...;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über die Gewaltherrschaft von [From.County.Holder.GetTitledName] und haben daher zu den Waffen gegriffen. Ihre wahllose Zerstörungswut wird leider auch meine Besitztümer treffen ...;;¡Ha estallado una revuelta en [From.GetName]! Furiosos por el gobierno opresor de [From.County.Holder.GetTitledName], los campesinos han tomado las armas. Por desgracia su destrucción indiscriminada también afectará a mis posesiones...;;;;;;;;;x
EVTOPTAbetter_rebels.1;If the count doesn't act, I better...;Si le comte n’intervient pas, je le ferai...;Wenn der Graf nicht reagiert, sollte ich besser ...;;Si el conde no actúa, será mejor que yo...;;;;;;;;;x
EVTDESCbetter_rebels.2;The peasant army ravageing the province of [Root.GetName] is burning down buildings!;L’armée de paysans qui ravage la province de [Root.GetName] incendie les édifices !;Die Bauernarmee, die gerade die Provinz [Root.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [Root.GetName] está quemando edificios!;;;;;;;;;x
EVTOPTAbetter_rebels.2;Is there anything they won't destroy?;Y a-t-il quelque chose qu’ils comptent épargner ?;Gibt es irgendwas, das sie nicht zerstören würden?;;¿Dejarán algo sin destruir?;;;;;;;;;x
EVTOPTBbetter_rebels.2;Bad news, but I am glad it didn't happen to my holdings...;Mauvaise nouvelle, mais je suis content(e) que mes propriétés ne soient pas concernées...;Schlechte Nachrichten, aber das betrifft meine Besitztümer nicht ....;;Malas noticias, pero me alegro de que no le pasara a mis posesiones...;;;;;;;;;x
EVTDESCbetter_rebels.3;The peasant army ravageing the province of [From.GetName] is burning down my buildings!;L’armée de paysans qui ravage la province de [From.GetName] incendie mes édifices !;Die Bauernarmee, die gerade die Provinz von [From.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [From.GetName] está quemando edificios!;;;;;;;;;x
EVTDESCbetter_rebels.4;I have been attacked by the peasants rebels in [Root.Location.GetName]!;Les paysans rebelles de [Root.Location.GetName] s’en sont pris à moi !;Die Bauernrebellen haben mich in [Root.Location.GetName] angegriffen!;;¡Los campesinos rebeldes me han atacado en [Root.Location.GetName]!;;;;;;;;;x
EVTOPTAbetter_rebels.4;They killed me?!;Ils m’ont tué(e) ?!;Sie haben mich getötet?!;;¿Me han matado?;;;;;;;;;x
