#CODE;ENGLISH;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150000;;;;;;;;;;;;;;x
EVTOPTA1000150000;;;;;;;;;;;;;;x
EVTOPTB1000150000;;;;;;;;;;;;;;x
EVTTOOLTIP1000150000;;;;;;;;;;;;;;x
EVTDESC1000150001;Though I am her master, I can feel my heart flutter whenever I see [From.GetFirstName]. Does my heart belong to her?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA1000150001;Yes, it does;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150001;She's nothing but my bed warmer.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150002;;;;;;;;;;;;;;x
EVTOPTA1000150002;;;;;;;;;;;;;;x
EVTOPTB1000150002;;;;;;;;;;;;;;x
EVTDESC1000150003;I was stunned when my concubine asked if I might ever consider marrying her.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150003;As a matter of fact...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150003;Your place is not at my side.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150004;Being with my beloved concubine is such bliss, I wish that everyone could share it.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA1000150004;It's such a stress relief.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB1000150004;It makes me feel so healthy.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC1000150004;It makes me feel so virile.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1000150005;It is one thing that I have to share [Spouse.GetFirstName] at all, but he has no right to hold that woman higher in worth than his own wife!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150005;Demand he put her away.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPA1000150005;[Spouse.GetFirstName] decides whether to put his beloved concubine away.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150005;I'll just have to get my hands dirty...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPB1000150005;[Root.GetFirstName] plots to kill the beloved concubine.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTC1000150005;I hope he gets over her...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150006;My wife approached me today, asking if I might set aside my lover. She told me she would be... appreciative.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150006;Yes, yes, of course I shall, dear.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPA1000150006;My wife is quite pleased.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150006;I'll never give up the woman I love.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPB1000150006;My wife is quite cross with me;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150007;;;;;;;;;;;;;;x
EVTOPTA1000150007;;;;;;;;;;;;;;x
EVTDESC1000150008;My beloved [From.GetFirstName], dead at the hands of my jealous wife. My blood boils with thoughts of vengeance...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x 
EVTOPTA1000150008;You'll never see the light of day again!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150008;Her killer will share her fate!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTC1000150008;But there is nothing I can do...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150009;My lover narrowly escaped death at the hands of my treacherous spouse!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150009;She won't be plotting from within a jail cell.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150009;Let me show you how you kill someone...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTC1000150009;Now, now, don't you try that again.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPC1000150009;Wife is pleased to get away with it.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTD1000150009;Dreadful! Absolutely dreadful!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150010;My wife is complaining that I prefer a concubine over her.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150010A;No, no, not true at all.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150010B;Let me make amends;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIP1000150010B;My wife becomes more dear to me.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150010C;My deepest apologies, goblin.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150011;Though it had long escaped my notice, there is an inner beauty in my wife that captivates me.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150011A;Am I falling in love?;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150012;;;;;;;;;;;;;;x
EVTOPTA1000150012;;;;;;;;;;;;;;x
EVTOPTB1000150012;;;;;;;;;;;;;;x
EVTDESC1000150013;[From.GetFirstName] has escaped!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150013A;Drat!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150014;My concubine made an escape attempt, but failed.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150014A;I cannot abide my cruelty any longer, you may go.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150014B;Well, how fortunate!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150014C;The axe will give her the release she desires.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150015;My husband's heir is the child of a concubine. Should I act to ensure my own son's inheritance?;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150015;It is unseemly that a trueborn son goes without.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIPA1000150015;Husband is asked to give land to son.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150015;My son will surely have some inheritance...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150017;My wife is asking that I give some land to our son.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150016;;;;;;;;;;;;;;x
EVTOPTA1000150016;;;;;;;;;;;;;;x
EVTOPTB1000150016;;;;;;;;;;;;;;x
EVTTOOLTIP1000150016;;;;;;;;;;;;;;x
EVTOPTA1000150017;It is only fair.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150017;Be patient, boy!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150018;;;;;;;;;;;;;;x
EVTOPTA1000150018;;;;;;;;;;;;;;x
EVTDESC1000150019;;;;;;;;;;;;;;x
EVTOPTA1000150019;;;;;;;;;;;;;;x
EVTDESC1000150020;;;;;;;;;;;;;;x
EVTOPTA1000150020;;;;;;;;;;;;;;x
EVTDESC1000150021;;;;;;;;;;;;;;x
EVTOPTA1000150021;;;;;;;;;;;;;;x
EVTTOOLTIP1000150024;;;;;;;;;;;;;;x
EVTDESC1000150022;I had to give chase in order to whip my husband's useless concubine, [From.GetFirstName].;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150022;What are you smiling about, rat?;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150023;My wife has gone missing, and I fear the worst. No one seems to know what happened to her.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150023;But I have my suspicions...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150024;My concubine, [From.GetFirstName], was caught plotting my wife's murder!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150024;Off to the dungeons with you.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTB1000150024;That will cost you your head...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTC1000150024;Well, I can't say she didn't deserve to die.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTD1000150024;How awful!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150025;I got to watch with satisfaction as my husband had his 'beloved' concubine sent away from court.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150025A;Now, as for his reward...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150026;My husband dismissed my request to exile his concubine without hesitation.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150026A;I certainly hope you're happy with her, cad!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150027;All I had wanted was for my husband to pay more attention to me. He only looked at me long enough to insult me...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150027A;You callous bastard!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150028;With my husband gone, I am no longer so angry.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150028A;Good riddance!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150029;With my husband gone, we can no longer have our fun.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150029A;A pity, really.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150030;I have killed that pesky concubine. I only hope that I can get away with it.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150030A;Now I must wait.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150031;Not only did I fail to kill that bothersome concubine, the entire court knows what I attempted!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150031A;I am at my husband's mercy...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150032;Even though I was caught red-handed, my husband has done nothing to punish me!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150032A;What fortune!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150033;My husband refused to give our son any land...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150033;That miser!;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTDESC1000150034;;;;;;;;;;;;;;x
EVTOPTA1000150034;;;;;;;;;;;;;;x
EVTOPTB1000150034;;;;;;;;;;;;;;x
EVTDESC1000150035;One of the courtiers, noticing the strain of my marriage, has offered his comfort...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150035A;Let's see how much my husband likes sharing.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTOPTA1000150035B;Licentiousness won't fix anything.;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
EVTTOOLTIP1000150022;;;;;;;;;;;;;;x
EVTTOOLTIP1000150023;;;;;;;;;;;;;;x
sleep_on_the_couch;Scorned Wife;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
desc_sleep_on_the_couch;Hell hath no fury...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
show_appreciation;Appreciative Wife;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
desc_show_appreciation;There are benefits to a happy wife...;FRENCH;GERMAN;;ESPAÑOL;;;;;;;;;x
