#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cta.1.desc;This war, this opportunity to prove my mettle in combat, has opened my eyes to my true potential as a warrior. My personal combat skills are improving...;;;;;;;;;;;;;x
cta.1.opt.1;May [Root.Religion.GetRandomGodName] guide my heart, hand, and steel.;;;;;;;;;;;;;x
cta.1.opt.1.CTT;§Y[Root.GetTitledFirstName]§! begins advancement of [Root.GetHerHis] personal combat skills...\n;;;;;;;;;;;;;x
cta.2.desc;I've learned many lessons from this battle. Aside from application of the theoretical tactics my mentors taught me as a boy, I've learned to deftly isolate an opponent in the thick of the front, bring all my focus and concentration to bear upon him, and then, within but a few rounds of melee, swiftly execute him. I'm proud of my clear progression into a greater warrior.;;;;;;;;;;;;;x
cta.2.opt.1;Still, I've more lessons to learn.;;;;;;;;;;;;;x
cta.2.opt.1.CTT;§Y[Root.GetTitledFirstName]§! continues advancement of [Root.GetHerHis] personal combat skills...\n;;;;;;;;;;;;;x
cta.3.desc;I will remember this battle in its finest detail until the end of my days. [Root.Religion.GetRandomGodName] guided my sword into the hearts of a countless number of my foes, raising cheers and battle-cries from my surrounding men as I cut a path through the enemy. My mastery of personal combat has come a long way. Apparently, I am not the only one to think so.;;;;;;;;;;;;;x
cta.3.opt.1;I'm finally a warrior.;;;;;;;;;;;;;x
cta.3.opt.2;I'm now recognized as a trained fighter.;;;;;;;;;;;;;x
cta.3.opt.3;I'm now reknowned as skilled fighter.;;;;;;;;;;;;;x
cta.3.opt.4;I now command the respect of an elite warrior.;;;;;;;;;;;;;x
cta.13.desc;My combat victory against [FromFrom.GetTitledFirstName] was an insightful challenge to my own tactics. [FromFrom.GetSheHeCap] moved differently than I've come to expect and demonstrated a new, effective combat style to me. At no point was my victory certain, but I learned from [FromFrom.GetObjectPronoun] and finally defeated [FromFrom.GetObjectPronoun]. Certainly, I'm now a finer warrior.;;;;;;;;;;;;;x
cta.13.opt.1;I'm recognized as a warrior in my own right now.;;;;;;;;;;;;;x
cta.13.opt.2;I'm now recognized as a trained fighter.;;;;;;;;;;;;;x
cta.13.opt.3;I'm now reknowned as skilled fighter.;;;;;;;;;;;;;x
cta.13.opt.4;I now command the respect of an elite warrior.;;;;;;;;;;;;;x
cta.110.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] with the CTA ambition [From.GetAmbition] (Martial: [From.GetMartial]).;;;;;;;;;;;;;x
cta.111.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] (Martial: [From.GetMartial]).;;;;;;;;;;;;;x
cta.112.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] and earned XP (Ambition: [From.GetAmbition]).;;;;;;;;;;;;;x
cta.113.desc;My [GetFromRelation], [From.GetBestName], was victorious in a duel against [FromFrom.GetBestName] but did not earn any XP (Ambition: [From.GetAmbition]).;;;;;;;;;;;;;x
cta.114.desc;My [GetFromRelation], [From.GetBestName], leveled-up [From.GetHerHis] combat trait (Ambition: [From.GetAmbition]).;;;;;;;;;;;;;x
cta.114.opt.1;Hmm... now [From.GetSheHe]'s a poor fighter.;;;;;;;;;;;;;x
cta.114.opt.2;Now [From.GetSheHe]'s a trained fighter.;;;;;;;;;;;;;x
cta.114.opt.3;Now [From.GetSheHe]'s a skilled fighter.;;;;;;;;;;;;;x
cta.114.opt.4;Now [From.GetSheHe]'s a formidable fighter!;;;;;;;;;;;;;x
obj_cta_0_title;Develop Personal Combat Skills;;;;;;;;;;;;;x
obj_cta_0_desc;[This.GetTitledFirstName] has no education in the art of personal combat and wants to change that through combat experience.;;;;;;;;;;;;;x
obj_cta_1_title;Become a Trained Fighter;;;;;;;;;;;;;x
obj_cta_1_desc;[This.GetTitledFirstName] has a meager education in the art of personal combat and wants to change that through combat experience.;;;;;;;;;;;;;x
obj_cta_2_title;Become a Skilled Fighter;;;;;;;;;;;;;x
obj_cta_2_desc;While [This.GetTitledFirstName] is already well-trained in personal combat, [This.GetSheHe]'d like to take [This.GetHerHis] skills to the next level through experience in the field.;;;;;;;;;;;;;x
obj_cta_3_title;Become a Formidable Fighter;;;;;;;;;;;;;x
obj_cta_3_desc;While many already consider [This.GetTitledFirstName] to be one of the more skilled fighters in the realm, [This.GetSheHe] desires true mastery of [This.GetHerHis] art, and no better way to attain such heights exists than through experience in the field.;;;;;;;;;;;;;x
