#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
enable_torture;Enable Torture;Enable Torture;Enable Torture;;Enable Torture;;;;;;;;;x
enable_torture_desc;Enables decisions for enabling certain methods of torture. A way to prevent cluster on your decisions screen.;Enables decisions for enabling certain methods of torture. A way to prevent cluster on your decisions screen.;Enables decisions for enabling certain methods of torture. A way to prevent cluster on your decisions screen.;;Enables decisions for enabling certain methods of torture. A way to prevent cluster on your decisions screen.;;;;;;;;;x
disable_torture;Disable Torture;Disable Torture;Disable Torture;;Disable Torture;;;;;;;;;x
disable_torture_desc;Disables decisions for torture. Use this if you feel you are done with torture for now and you do not want a cluster of decisions.;Disables decisions for torture. Use this if you feel you are done with torture for now and you do not want a cluster of decisions.;Disables decisions for torture. Use this if you feel you are done with torture for now and you do not want a cluster of decisions.;;Disables decisions for torture. Use this if you feel you are done with torture for now and you do not want a cluster of decisions.;;;;;;;;;x
enable_castrate;Enable Castrate;Enable Castrate;Enable Castrate;;Enable Castrate;;;;;;;;;x
enable_castrate_desc;Enables the non-Byzantine version of the castrate decisions.;Enables the non-Byzantine version of the castrate decisions.;Enables the non-Byzantine version of the castrate decisions.;;Enables the non-Byzantine version of the castrate decisions.;;;;;;;;;x
disable_castrate;Disable Castrate;Disable Castrate;Disable Castrate;;Disable Castrate;;;;;;;;;x
disable_castrate_desc;Disables castrate decisions. Used to prevent decision cluster.;Disables castrate decisions. Used to prevent decision cluster.;Disables castrate decisions. Used to prevent decision cluster.;;Disables castrate decisions. Used to prevent decision cluster.;;;;;;;;;x
enable_blind;Enable Blind;Enable Blind;Enable Blind;;Enable Blind;;;;;;;;;x
enable_blind_desc;Enables the non-Byzantine version of the blinding decisions.;Enables the non-Byzantine version of the blinding decisions.;Enables the non-Byzantine version of the blinding decisions.;;Enables the non-Byzantine version of the blinding decisions.;;;;;;;;;x
disable_blind;Disable Blind;Disable Blind;Disable Blind;;Disable Blind;;;;;;;;;x
disable_blind_desc;Disables blinding decisions. Used to prevent decision cluster.;Disables blinding decisions. Used to prevent decision cluster.;Disables blinding decisions. Used to prevent decision cluster.;;Disables blinding decisions. Used to prevent decision cluster.;;;;;;;;;x
enable_deface;Enable Deface;Enable Deface;Enable Deface;;Enable Deface;;;;;;;;;x
enable_deface_desc;Enables defacing, which will add the Ugly trait to prisoners upon usage. Works in the exact same manner as blinding and castrating decisions.;Enables defacing, which will add the Ugly trait to prisoners upon usage. Works in the exact same manner as blinding and castrating decisions.;Enables defacing, which will add the Ugly trait to prisoners upon usage. Works in the exact same manner as blinding and castrating decisions.;;Enables defacing, which will add the Ugly trait to prisoners upon usage. Works in the exact same manner as blinding and castrating decisions.;;;;;;;;;x
disable_deface;Disable Deface;Disable Deface;Disable Deface;;Disable Deface;;;;;;;;;x
disable_deface_desc;Disables defacing. Used to prevent decision clustering.;Disables defacing. Used to prevent decision clustering.;Disables defacing. Used to prevent decision clustering.;;Disables defacing. Used to prevent decision clustering.;;;;;;;;;x
enable_hunchback;Enable Hunchback;Enable Hunchback;Enable Hunchback;;Enable Hunchback;;;;;;;;;x
enable_hunchback_desc;Enables hunchback decisions. This will give prisoners the Hunchback trait upon use.;Enables hunchback decisions. This will give prisoners the Hunchback trait upon use.;Enables hunchback decisions. This will give prisoners the Hunchback trait upon use.;;Enables hunchback decisions. This will give prisoners the Hunchback trait upon use.;;;;;;;;;x
disable_hunchback;Disable Hunchback;Disable Hunchback;Disable Hunchback;;Disable Hunchback;;;;;;;;;x
disable_hunchback_desc;Disables hunchback decisions.;Disables hunchback decisions.;Disables hunchback decisions.;;Disables hunchback decisions.;;;;;;;;;x
enable_weaken;Enable Weaken;Enable Weaken;Enable Weaken;;Enable Weaken;;;;;;;;;x
enable_weaken_desc;Enables weakening decisions. Adds the Weak trait upon use.;Enables weakening decisions. Adds the Weak trait upon use.;Enables weakening decisions. Adds the Weak trait upon use.;;Enables weakening decisions. Adds the Weak trait upon use.;;;;;;;;;x
disable_weaken;Disable Weaken;Disable Weaken;Disable Weaken;;Disable Weaken;;;;;;;;;x
disable_weaken_desc;Disables weakening.;Disables weakening.;Disables weakening.;;Disables weakening.;;;;;;;;;x
enable_maim;Enable Maim;Enable Maim;Enable Maim;;Enable Maim;;;;;;;;;x
enable_maim_desc;Enables maiming. Gives the Maimed trait to prisoner upon use.;Enables maiming. Gives the Maimed trait to prisoner upon use.;Enables maiming. Gives the Maimed trait to prisoner upon use.;;Enables maiming. Gives the Maimed trait to prisoner upon use.;;;;;;;;;x
disable_maim;Disable Maim;Disable Maim;Disable Maim;;Disable Maim;;;;;;;;;x
disable_maim_desc;Disables maiming decisions.;Disables maiming decisions.;Disables maiming decisions.;;Disables maiming decisions.;;;;;;;;;x
