#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCtorture.1;Your prisoner has been defaced and released. Good luck to them and their spouse or potential spouses.;Your prisoner has been defaced and released. Good luck to them and their spouse or potential spouses.;Your prisoner has been defaced and released. Good luck to them and their spouse or potential spouses.;;Your prisoner has been defaced and released. Good luck to them and their spouse or potential spouses.;;;;;;;;;x
EVTOPTAtorture.1;That'll teach them for calling me mum ugly.;That'll teach them for calling me mum ugly.;That'll teach them for calling me mum ugly.;;That'll teach them for calling me mum ugly.;;;;;;;;;x
EVTTOOLTIPtorture.2;[Root.GetTitledFirstName] is defaced.;[Root.GetTitledFirstName] is defaced.;[Root.GetTitledFirstName] is defaced.;;[Root.GetTitledFirstName] is defaced.;;;;;;;;;x
EVTDESCtorture.2;Your abomination of a jailor enters into your cell. Today he seems rather gay with joy as he unveils an arsonel of instruments. You ask what they're for and he gives a grunt of an answer as a response. You interpret that you're going to be made a hideous whelp...;Your abomination of a jailor enters into your cell. Today he seems rather gay with joy as he unveils an arsonel of instruments. You ask what they're for and he gives a grunt of an answer as a response. You interpret that you're going to be made a hideous whelp...;Your abomination of a jailor enters into your cell. Today he seems rather gay with joy as he unveils an arsonel of instruments. You ask what they're for and he gives a grunt of an answer as a response. You interpret that you're going to be made a hideous whelp...;;Your abomination of a jailor enters into your cell. Today, he seems rather gay with joy as he unveils an arsonel of instruments. You ask what they're for and he gives a grunt of an answer as a response. You interpret that you're going to be made a hideous whelp...;;;;;;;;;x
EVTOPTAtorture.2;N-NOT THE FACE!;N-NOT THE FACE!;N-NOT THE FACE!;;N-NOT THE FACE!;;;;;;;;;x
EVTDESCtorture.3;Your prisoner has been beaten and deformed into a hunchback and released. Their jailor informs you that they look quite horrid.;Your prisoner has been beaten and deformed into a hunchback and released. Their jailor informs you that they look quite horrid.;Your prisoner has been beaten and deformed into a hunchback and released. Their jailor informs you that they look quite horrid.;;Your prisoner has been beaten and deformed into a hunchback and released. Their jailor informs you that they look quite horrid.;;;;;;;;;x
EVTOPTAtorture.3;I'm sure he can find a position in the church as a bell-ringer or somethng.;I'm sure he can find a position in the church as a bell-ringer or somethng.;I'm sure he can find a position in the church as a bell-ringer or somethng.;;I'm sure he can find a position in the church as a bell-ringer or somethng.;;;;;;;;;x
EVTTOOLTIPtorture.4;[Root.GetTitledFirstName] is now a hunchback.;[Root.GetTitledFirstName] is now a hunchback.;[Root.GetTitledFirstName] is now a hunchback.;;[Root.GetTitledFirstName] is now a hunchback.;;;;;;;;;x
EVTDESCtorture.4;Upon waking up, you find yourself strapped to a torture rack. Your face glances around, laying eyes on your jailor and the object in his hand: a club. Oh crap. You know what is about to happen now...;Upon waking up, you find yourself strapped to a torture rack. Your face glances around, laying eyes on your jailor and the object in his hand: a club. Oh crap. You know what is about to happen now...;Upon waking up, you find yourself strapped to a torture rack. Your face glances around, laying eyes on your jailor and the object in his hand: a club. Oh crap. You know what is about to happen now...;;"Upon waking up, you find yourself strapped to a torture rack. Your face glances around,"" laying eyes on your jailor and the object in his hand: a club. Oh crap. You know what is about to happen now...";;;;;;;;;x
EVTOPTAtorture.4;It appears that I'm all... bent out of shape.;It appears that I'm all... bent out of shape.;It appears that I'm all... bent out of shape.;;It appears that I'm all... bent out of shape.;;;;;;;;;x
EVTDESCtorture.5;Your prisoner has been starved and whipped into a weakling before release. They couldn't even push their gate open after it was unlocked!;Your prisoner has been starved and whipped into a weakling before release. They couldn't even push their gate open after it was unlocked!;Your prisoner has been starved and whipped into a weakling before release. They couldn't even push their gate open after it was unlocked!;;Your prisoner has been starved and whipped into a weakling before release. They couldn't even push their gate open after it was unlocked!;;;;;;;;;x
EVTOPTAtorture.5;Do they even lift?;Do they even lift?;Do they even lift?;;Do they even lift?;;;;;;;;;x
EVTTOOLTIPtorture.6;[Root.GetTitledFirstName] is starved into a wretched mongrel.;[Root.GetTitledFirstName] is starved into a wretched mongrel.;[Root.GetTitledFirstName] is starved into a wretched mongrel.;;[Root.GetTitledFirstName] is starved into a wretched mongrel.;;;;;;;;;x
EVTDESCtorture.6;You're a skeleton of a person at this point when your jailor enters into your cell. You sniff that delicious chicken drumstick in his hand as he rips into it, muttering between bites, "Oi. Get out o' here." You ask if you can have the leg and he promptly slaps you across the face. Ouch.;"You're a skeleton of a person at this point when your jailor enters into your cell. You sniff that delicious chicken drumstick in his hand as he rips into it "",muttering between bites,Oi. Get out o' here. You ask if you can have the leg and he promptly slaps you across the face. Ouch.";"You're a skeleton of a person at this point when your jailor enters into your cell. You sniff that delicious chicken drumstick in his hand as he rips into it,muttering between bites,"" """"Oi. Get out o' here."""" You ask if you can have the leg and he promptly slaps you across the face. Ouch.";;"You're a skeleton of a person at this point when your jailor enters into your cell. You sniff that delicious chicken drumstick in his hand as he rips into it, muttering between bites, "Oi. Get out o' here." You ask if you can have the leg and he promptly slaps you across the face. Ouch.;;;;;;;;;x
EVTOPTAtorture.6;At least I had chicken... wait, I don't...;At least I had chicken... wait, I don't...;At least I had chicken... wait, I don't...;;At least I had chicken... wait, I don't...;;;;;;;;;x
EVTDESCtorture.7;Your prisoner has been maimed and released. Their jailor seems to have taken a sick pleasure in this task.;Your prisoner has been maimed and released. Their jailor seems to have taken a sick pleasure in this task.;Your prisoner has been maimed and released. Their jailor seems to have taken a sick pleasure in this task.;;Your prisoner has been maimed and released. Their jailor seems to have taken a sick pleasure in this task.;;;;;;;;;x
EVTOPTAtorture.7;Why do I keep using the same jailor for all my prisoners...;Why do I keep using the same jailor for all my prisoners...;Why do I keep using the same jailor for all my prisoners...;;Why do I keep using the same jailor for all my prisoners...;;;;;;;;;x
EVTTOOLTIPtorture.8;[Root.GetTitledFirstName] is maimed.;[Root.GetTitledFirstName] is maimed.;[Root.GetTitledFirstName] is maimed.;;[Root.GetTitledFirstName] is maimed.;;;;;;;;;x
EVTDESCtorture.8;You hear growls and roars outside your cell. Before you even know what is happening, bears and wolves are released into your cell!;You hear growls and roars outside your cell. Before you even know what is happening, bears and wolves are released into your cell!;You hear growls and roars outside your cell. Before you even know what is happening, bears and wolves are released into your cell!;;"You hear growls and roars outside your cell. Before you even know what is happening,"" bears and wolves are released into your cell!";;;;;;;;;x
EVTOPTAtorture.8;OKAY I GET IT, I'M A CRIMINAL, PLEASE BLIND ME NOW INSTEAD OF THIS.;OKAY I GET IT, I'M A CRIMINAL, PLEASE BLIND ME NOW INSTEAD OF THIS.;OKAY I GET IT, I'M A CRIMINAL, PLEASE BLIND ME NOW INSTEAD OF THIS.;;OKAY I GET IT, I'M A CRIMINAL, PLEASE BLIND ME NOW INSTEAD OF THIS.;;;;;;;;;x
vassal_deface_decision;Deface [Root.GetTitledFirstName];Deface [Root.GetTitledFirstName];Deface [Root.GetTitledFirstName];;Deface [Root.GetTitledFirstName];;;;;;;;;x
vassal_deface_decision_desc;One way of teaching your lesson to the imprisoned is to ruin their appearance. This will seriously mar their public reputation.;One way of teaching your lesson to the imprisoned is to ruin their appearance. This will seriously mar their public reputation.;One way of teaching your lesson to the imprisoned is to ruin their appearance. This will seriously mar their public reputation.;;One way of teaching your lesson to the imprisoned is to ruin their appearance. This will seriously mar their public reputation.;;;;;;;;;x
vassal_hunchback_decision;Break [Root.GetTitledFirstName]'s back;Break [Root.GetTitledFirstName]'s back;Break [Root.GetTitledFirstName]'s back;;Break [Root.GetTitledFirstName]'s back;;;;;;;;;x
vassal_hunchback_decision_desc;You could always crumple [Root.GetTitledFirstName]'s back until they are reduced to nothing more than a wretched mongrel of a person.;You could always crumple [Root.GetTitledFirstName]'s back until they are reduced to nothing more than a wretched mongrel of a person.;You could always crumple [Root.GetTitledFirstName]'s back until they are reduced to nothing more than a wretched mongrel of a person.;;You could always crumple [Root.GetTitledFirstName]'s back until they are reduced to nothing more than a wretched mongrel of a person.;;;;;;;;;x
vassal_weaken_decision;Deprive [Root.GetTitledFirstName] of basic needs;Deprive [Root.GetTitledFirstName] of basic needs;Deprive [Root.GetTitledFirstName] of basic needs;;Deprive [Root.GetTitledFirstName] of basic needs;;;;;;;;;x
