opinion_forbade_fem_marshal_pos;Forbade female marshals;;;;;;;;;;;;;;x
opinion_forbade_fem_marshal_neg;Forbade female marshals;;;;;;;;;;;;;x
opinion_allowed_fem_marshal_pos;Allowed female marshals;;;;;;;;;;;;;x
opinion_allowed_fem_marshal_neg;Allowed female marshals;;;;;;;;;;;;;x
fem_marshal_0;Forbidden;;;;;;;;;;;;;x
fem_marshal_1;Allowed;;;;;;;;;;;;;x
fem_marshal;Female Marshals;;;;;;;;;;;;;x
fem_marshal_desc;The policy of the state toward female marshals and commanders;;;;;;;;;;;;;x
fem_marshal_0_desc;Women are forbidden to be marshals and commanders.;;;;;;;;;;;;;x
fem_marshal_1_desc;Women with exceptional martial ability and training are allowed to be marshals and commanders.;;;;;;;;;;;;;x
fem_marshal_2;Accepted;;;;;;;;;;;;;x
fem_marshal_3;Approved;;;;;;;;;;;;;x
fem_marshal_2_desc;Women with above average martial ability and training are allowed to be marshals and commanders;;;;;;;;;;;;;x
fem_marshal_3_desc;Women are allowed to be marshals and commanders;;;;;;;;;;;;;x
opinion_allowed_more_fem_marshal_pos;Allowed more women to be marshals and commanders;;;;;;;;;;;;;x
opinion_allowed_more_fem_marshal_neg;Allowed more women to be marshals and commanders;;;;;;;;;;;;;x
opinion_allowed_fewer_fem_marshal_pos;Allowed more women to be marshals and commanders;;;;;;;;;;;;;x
opinion_allowed_fewer_fem_marshal_neg;Allowed more women to be marshals and commanders;;;;;;;;;;;;;x
female_marshals_forbidden;Female Marshals are Forbidden;;;;;;;;;;;;;x
female_marshals_forbidden_desc;Under the current crown laws, women are forbidden from serving as marshals or army commanders;;;;;;;;;;;;;x
female_marshals_allowed;Female Marshals are Allowed;;;;;;;;;;;;;x
female_marshals_allowed_desc;Under the current crown laws, women of exceptional ability are grudgingly allowed to serve as marshal or army commander;;;;;;;;;;;;;x
female_marshals_accepted;Female Marshals are Accepted;;;;;;;;;;;;;x
female_marshals_accepted_desc;Under the current crown laws, women of above average ability are allowed to serve as marshal or army commander;;;;;;;;;;;;;x
female_marshals_approved;Female Marshals are Approved;;;;;;;;;;;;;x
female_marshals_approved_desc;Under the current crown laws, women may serve as marshal or army commander;;;;;;;;;;;;;x
EVTDESCfemale_marshals.0;Under the crown laws affecting the [Root.TopLiege.PrimaryTitle.GetFullName], women are forbidden from serving as marshals or army commanders;;;;;;;;;;;;;x
EVTOPTAfemale_marshals.0;It is the law.;;;;;;;;;;;;;x
EVTDESCfemale_marshals.1;Under the crown laws affecting the [Root.TopLiege.PrimaryTitle.GetFullName], women of exceptional ability are grudgingly allowed to serve as marshal or army commander;;;;;;;;;;;;;x
EVTOPTAfemale_marshals.1;It is the law.;;;;;;;;;;;;;x
EVTDESCfemale_marshals.2;Under the crown laws affecting the [Root.TopLiege.PrimaryTitle.GetFullName], women of above average ability are allowed to serve as marshal or army commander;;;;;;;;;;;;;x
EVTOPTAfemale_marshals.2;It is the law.;;;;;;;;;;;;;x
EVTDESCfemale_marshals.3;Under the crown laws affecting the [Root.TopLiege.PrimaryTitle.GetFullName], women are permitted to serve as marshal or army commander;;;;;;;;;;;;;x
EVTOPTAfemale_marshals.3;It is the law.;;;;;;;;;;;;;x
