#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_asoiaf_slavepit_1;Tiny Slave Camp;Très petit camp d'esclaves;;;;;;;;;;;;x
ca_asoiaf_slavepit_2;Small Slave Camp;Petit camp d'esclaves;;;;;;;;;;;;x
ca_asoiaf_slavepit_3;Average Slave Camp;Camp d'esclaves;;;;;;;;;;;;x
ca_asoiaf_slavepit_4;Large Slave Camp;Grand camp d'esclaves;;;;;;;;;;;;x
ca_asoiaf_slavepit_5;Huge Slave Camp;Immense camp d'esclaves;;;;;;;;;;;;x
ct_asoiaf_slavepit_1;Tiny Slave Camp;Très petit camp d'esclaves;;;;;;;;;;;;x
ct_asoiaf_slavepit_2;Small Slave Camp;Petit camp d'esclaves;;;;;;;;;;;;x
ct_asoiaf_slavepit_3;Average Slave Camp;Camp d'esclaves;;;;;;;;;;;;x
ct_asoiaf_slavepit_4;Large Slave Camp;Grand camp d'esclaves;;;;;;;;;;;;x
ct_asoiaf_slavepit_5;Huge Slave Camp;Immense camp d'esclaves;;;;;;;;;;;;x
tp_asoiaf_slavepit_1;Tiny Slave Camp;Très petit camp d'esclaves;;;;;;;;;;;;x
tp_asoiaf_slavepit_2;Small Slave Camp;Petit camp d'esclaves;;;;;;;;;;;;x
tp_asoiaf_slavepit_3;Average Slave Camp;Camp d'esclaves;;;;;;;;;;;;x
tp_asoiaf_slavepit_4;Large Slave Camp;Grand camp d'esclaves;;;;;;;;;;;;x
tp_asoiaf_slavepit_5;Huge Slave Camp;Immense camp d'esclaves;;;;;;;;;;;;x
fp_asoiaf_slavepit_1;Tiny Slave Camp;Très petit camp d'esclaves;;;;;;;;;;;;x
fp_asoiaf_slavepit_2;Small Slave Camp;Petit camp d'esclaves;;;;;;;;;;;;x
fp_asoiaf_slavepit_3;Average Slave Camp;Camp d'esclaves;;;;;;;;;;;;x
fp_asoiaf_slavepit_4;Large Slave Camp;Grand camp d'esclaves;;;;;;;;;;;;x
fp_asoiaf_slavepit_5;Huge Slave Camp;Immense camp d'esclaves;;;;;;;;;;;;x
slave_modifier_1;Marginal Slave Labor;Travail servile marginal;;;;;;;;;;;;x
slave_modifier_1_desc;There are only a handful of slaves in this province, but enough to supplement the efforts of free laborers.;Il y a seulement une poignée d'esclaves dans cette province, mais assez pour compléter les efforts des travailleurs libres.;;;;;;;;;;;;x
slave_modifier_2;Limited Slave Labor;Travail servile limité;;;;;;;;;;;;x
slave_modifier_2_desc;While still vastly outnumbered by free workers, slaves still provide a noticeable portion of this province's labor force.;Bien que que leur nombre soit largement inférieur à celui des travailleurs libres, les esclaves fournissent une portion notable de la force de travail de cette province. ;;;;;;;;;;;;x
slave_modifier_3;Moderate Slave Labor;Travail servile modéré;;;;;;;;;;;;x
slave_modifier_3_desc;This province has many slave camps, which provide a large enough labor force to form a viable alternative to free servants.;Cette province a de nombreux camps d'esclaves, qui fournissent une part importante de la force de travail, offrant une alternative viable aux travailleurs libres.;;;;;;;;;;;;x
slave_modifier_4;Extensive Slave Labor;Travail servile important;;;;;;;;;;;;x
slave_modifier_4_desc;This province has a vast number of slave camps, and the majority of labor is preformed by slaves.;Cette province a un très grand nombre de camps d'esclaves, et la majorité du travail est l'œuvre des esclaves.;;;;;;;;;;;;x
slave_modifier_5;Slave Economy;Ecomonie esclavagiste;;;;;;;;;;;;x
slave_modifier_5_desc;Tens of thousands of slaves dwell in this province, and provide the bedrock of its economy. Nearly all important labor is preformed by slaves.;Des dizaines de milliers d'esclaves vivent dans cette province, ils représentent la base de son économie. Tous les travaux importants sont effectués par des esclaves. ;;;;;;;;;;;;x
CB_NAME_SLAVE_RAID;Slave Raid on [Title.GetName];Razzia esclavagiste sur [Title.GetName];;;;;;;;;;;;x
WAR_NAME_SLAVE_RAID;$ORDER$$FIRST_ADJ$ Slave Raid on $SECOND$;$ORDER$$FIRST_ADJ$ razzia esclavagiste sur $OTHER_TITLE$;;;;;;;;;;;;x
slave_raid;Slave Raid;Razzia esclavagiste;;;;;;;;;;;;x
slave_raid_desc;Launch a raid on the province of §Y$TITLE$§!, sacking its cities and taking its people as slaves.;Lancer un raid sur la province de [Title.GetName], pour saccager ses cités et asservir ses habitants. ;;;;;;;;;;;;x
CB_NAME_SLAVE_REVOLT;Slave Revolt in [Title.GetBaseName];Révolte d'esclaves à [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_SLAVE_REVOLT;$ORDER$[Title.GetAdjective] Slave Revolt;$ORDER$ révolte d'esclaves [Title.GetAdjective].;;;;;;;;;;;;x
slave_revolt;Slave Revolt;Révolte d'esclaves;;;;;;;;;;;;x
slave_revolt_desc;Break your chains and rise up against the cruel rulers of [Title.GetName].;Brisez vos chaînes et révoltez-vous contre les cruels dirigeants de [Title.GetName].;;;;;;;;;;;;x
SLAVE_REVOLT;[Root.Kingdom.GetAdjective] Slave Revolt;Révolte d'esclaves [Root.Kingdom.GetAdjective];;;;;;;;;;;;x
CB_NAME_EMANCIPATION;Emancipation of [Title.GetBaseName];Emancipation de [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_EMANCIPATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War of Emancipation;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerre d'Emancipation;;;;;;;;;;;;x
war_of_emancipation;War of Emancipation;Guerre d'émancipation;;;;;;;;;;;;x
war_of_emancipation_desc;The people of §Y$TITLE$§! practice the despicable custom of slavery. We must set their slaves free!;Les habitants de [Title.GetBaseName] continuent de pratiquer l'esclavage, cette abomination ! Nous devons libérer leurs esclaves ! ;;;;;;;;;;;;x
CB_NAME_LIBERATION;Liberation of [Title.GetBaseName];Libération de [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_LIBERATION;$CLAIMANT$'s$ORDER$ Liberation of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerre de Libération;;;;;;;;;;;;x
war_of_liberation;War of Liberation;Guerre de libération;;;;;;;;;;;;x
war_of_liberation_desc;The people of §Y$TITLE$§! practice the despicable custom of slavery. We must conquer their lands and free every slave at the sword.;Les habitants de [Title.GetBaseName] continuent de pratiquer l'esclavage, cette abomination ! Nous devons conquérir leurs terres et libérer leurs esclaves ! ;;;;;;;;;;;;x
CB_NAME_ENSLAVEMENT;Enslavement of [Title.GetBaseName];Emancipation de [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_ENSLAVEMENT;$ORDER$$FIRST_ADJ$ War to Enslave $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerre d'Emancipation;;;;;;;;;;;;x
war_of_enslavement;War of Enslavement;Guerre d'émancipation;;;;;;;;;;;;x
war_of_enslavement_desc;§Y$TITLE$§!'s recent defeat and forced abolition of slavery isa threat to our way of life and economy. We must invade and reestablish slavery!;Les habitants de [Title.GetBaseName] continuent de pratiquer l'esclavage, cette abomination ! Nous devons libérer leurs esclaves ! ;;;;;;;;;;;;x
ADVENTURE_LIBERATOR;[Root.GetBestName]'s Liberation Army;Armée de libération de [Root.GetBestName];;;;;;;;;;;;x
TOOLTIPPOW;[Root.GetFirstName] is a prisoner of war.;[Root.GetFirstName] est un prisonnier de guerre.;;;;;;;;;;;;x
LOSESLAVEFROM;[From.GetBestName] will no longer be your slave.\n;[From.GetBestName] ne sera plus votre esclave.\n;;;;;;;;;;;;x
EVTTOOLTIPPUTUPFORSALE;will be put up for sale\n;sera mis en vente\n;;;;;;;;;;;;x
title_slave;Slave;Esclave;;;;;;;;;;;;x
opinion_my_owner;My Master;Mon maître;;;;;;;;;;;;x
opinion_my_slave;My Slave;Mon esclave;;;;;;;;;;;;x
opinion_enslaved_me;Enslaved Me;M'a asservi;;;;;;;;;;;;x
opinion_beat_slaves_intimidation;Afraid of Punishment;A peur d'une punition;;;;;;;;;;;;x
opinion_beat_slaves_resentful;Resents Cruelty;Ressentiments contre cruauté;;;;;;;;;;;;x
slave;Slave;Esclave;;;;;;;;;;;;x
