LENTTITLE;Lent;;;;;;;;;;;;;x;
EVTDESClent.0;The holy season of Lent is upon us, and all pious Christians, save the infirm and those on a journey, should observe the fast for the next forty days, abstaining from meat and having but a single, simple meal in the evening, save only on the Sabbath.;;;;;;;;;;;;;x;
EVTOPTAlent.0;Lent has started.;;;;;;;;;;;;;x;
EVTDESClent.1;Even as Pilate released Barabbas before the first Easter, you contemplate releasing your prisoners...;;;;;;;;;;;;;x;
EVTOPTAlent.1;Yes, set them free.;;;;;;;;;;;;;x;
EVTOPTBlent.1;No, they are where they belong.;;;;;;;;;;;;;x;
EVTDESClent.2;Jesus taught the importance of charity and good deeds, which are especially important during the holy season of Lent. There are many poor in [Root.Location.GetName] who could be helped if you but parted with some of your treasury.;;;;;;;;;;;;;x;
EVTOPTAlent.2;Yes, make it so. Distribute alms to the poor.;;;;;;;;;;;;;x;
EVTOPTBlent.2;No, I would not disturb their fast by giving them means to buy food...;;;;;;;;;;;;;x;
EVTDESClent.3;Now is the time for prayers and observing the Stations of the Cross.;;;;;;;;;;;;;x;
EVTOPTAlent.3;Yes, I will thus draw nearer to God.;;;;;;;;;;;;;x;
EVTOPTBlent.3;No, I do not have the time to spare.;;;;;;;;;;;;;x;
EVTDESClent.4;The meatless diet you have been observing during Lent has weakened you to the point of illness. As the ill are exempted from fasting, there would be no shame or loss of piety if you abandoned the fast and made up for the lost days at a later time. If you continue, however, there could be serious repercussions to your health...;;;;;;;;;;;;;x;
EVTOPTAlent.4;Yes, I need time to recover from this...;;;;;;;;;;;;;x;
EVTOPTBlent.4;No, I feel fine!;;;;;;;;;;;;;x;
EVTDESClent.5;Your decision to continue fasting despite your illness has proven a costly one. You have become infirm with weakness due to lack of food and water, and left with no choice but to interrupt the fast.z;Votre dÈcision de continuer ÅEje˚ner malgrÅEla maladie a eu une consÈquence tragique. Le manque de nourriture et d'eau vous a rendu infirme et vous n'avez d'autre choix que de cesser le je˚ne.;Eure Entscheidung, trotz Eurer Krankheit mit dem Fasten fortzufahren, kommt Euch teuer zu stehen. Ihr seid gebrechlich geworden aufgrund der Ermangelung von Essen und Wasser, und hat Euch keine Wahl gelassen, als das Fasten zu unterbrechen.;;La decisiÛn de continuar con el ayuno a pesar de tu enfermedad te ha salido cara. Has entrado en estado de debilidad debido a la falta de agua y alimentos, y no te ha quedado otra opciÛn que interrumpir el ayuno.;;;;;;;;;x;
EVTOPTAlent.5;Perhaps next year...;;;;;;;;;;;;;x;
EVTDESClent.6;The fast you have observed during Lent has taught you the value of moderation in all things, and the dangers of indulgence and excess. You feel closer to God.;;;;;;;;;;;;;x;
