# Regular Control Policy ;;;;;;;;;;;;;x
centralization;Centralization;;;;;;;;;;;;;x
centralization_desc;The realm's centralization determines how much authority the ruler has in the affairs of its vassals as well as the maximum amount of levies and taxes. Centralizing the realm is a prerequisite for most reforms.;;;;;;;;;;;;;x
centralization_0;Decentralized;;;;;;;;;;;;;x
centralization_0_option;None;;;;;;;;;;;;;x
centralization_0_desc;The chaos of the past has caused such decentralisation on the administration of the realm that the only thing holding the realm together is distrust of outsiders and the chains of command.;;;;;;;;;;;;;x
centralization_1;Slightly Centralized;;;;;;;;;;;;;x
centralization_1_option;Minor;;;;;;;;;;;;;x
centralization_1_desc;With the strengthening of administrative prerogatives, the mustering of men and money from vassals is slightly more efficient. The realm may now avoid splitting upon succession, although powerful vassals expect to exert significant influence on the process.;;;;;;;;;;;;;x
centralization_2;Moderately Centralized;;;;;;;;;;;;;x
centralization_2_option;Moderate;;;;;;;;;;;;;x
centralization_2_desc;With a moderate amount of control established, the overlord is now able to effectively muster men and money from its vassals. Legal administration of the realm becomes possible, paving the way for stable successions. The overlord can also exercise balanced sovereignty over landed titles, revoking them if necessary.;;;;;;;;;;;;;x
centralization_3;Highly Centralized;;;;;;;;;;;;;x
centralization_3_option;High;;;;;;;;;;;;;x
centralization_3_desc;At this level of control, the overlord now reserves the right to demand its vassal cease most of their wars against each other as well as forcing more men and money out of them. Succession may be arranged within the ruling dynasty independantly from the influence of powerful vassals.;;;;;;;;;;;;;x
centralization_4;Maximum Centralization;;;;;;;;;;;;;x
centralization_4_option;Max;;;;;;;;;;;;;x
centralization_4_desc;With this level of control, the overlord now enforces the sole right to war over its rightful vassals, as well as squeezing even more men and money from them. The overlord can impose absolute sovereignty over landed titles, revoking them at whim.;;;;;;;;;;;;;x
# Tribal Control Policy ;;;;;;;;;;;;;x
clanic_centralization;Control on Clans;;;;;;;;;;;;;x
