#CODE;ENGLISH;;;;;;;;;;;;;x
EVTDESClux_trait_events.1;First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.;J’ai commencé par perdre mes sourcils et mes cils, puis mon nez s’est déformé. Je fais peur aux gens, à tel point que je dois me cacher le visage pour ne pas provoquer l’hystérie autour de moi.;Erst verlor ich Augenbrauen und Wimpern, dann verformte sich meine Nase. Die Menschen fürchten mich, und ich muss mein Gesicht verbergen, um bei ihnen keine Hysterie zu erzeugen.;;Primero perdí las cejas y las pestañas, luego se deformó mi nariz. La gente me teme y oculto mi cara para no asustar a los demás.;;;;;;;;;x
EVTOPTAlux_trait_events.1;My face! My beautiful face!;Mon visage ! Mon beau visage !;Mein Gesicht! Mein schönes Gesicht!;;¡Mi cara! ¡Mi bonita cara!;;;;;;;;;x
EVTDESClux_trait_events.2;A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.;Il y a peu, de drôles de boutons rougeâtres sont apparus sur mes paumes et sur la plante de mes pieds accompagnés de fièvre et de maux de tête. Certains boutons se sont transformés en affreux abcès qui me démangent.;Vor kurzem erschien ein seltsamer, rötlicher Ausschlag auf meinen Handflächen und Fußsohlen, zusammen mit Fieber und Kopfschmerzen. An manchen Stellen des Ausschlags erschienen hässliche und juckende Abszesse.;;Hace poco me salió un sarpullido en las palmas de las manos y las plantas de los pies, acompañado de fiebre y dolor de cabeza. En algunas zonas han salido feos abscesos que me pican.;;;;;;;;;x
EVTOPTAlux_trait_events.2;What is wrong with me?;Que m’arrive-t-il ?;Was ist los mit mir?;;¿Qué va mal en mí?;;;;;;;;;x
EVTDESClux_trait_events.3;[From.GetTitledFirstName]'s ill-advised activity has resulted in [From.GetHerHim] being struck in the head.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.3;[From.GetSheHeCap] will not stir from his bed.;;;;;;;;;;;;;x
EVTDESClux_trait_events.4;I am speaking in tongues, screaming obscenities at random times, most often when the priest preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;Je souffre de crises de démence. Tout à coup, je me mets à hurler des obscénités, généralement lorsque le prêtre est en train de prêcher. Et parfois, je m’allonge par terre en me tordant de douleur. Je me souviens rarement de ces crises et les gens me croient possédé(e).;Ich spreche in fremden Zungen, schreie willkürlich Obszönitäten, meistens, wenn der Priester predigt, und manchmal winde ich mich auf dem Boden in scheinbaren Schmerzen. Ich erinnere mich selten an diese Vorfälle, und die Menschen halten mich für vom Bösen besessen.;;Hablo en lenguas desconocidas, grito obscenidades a veces, especialmente cuando el cura predica, y caigo al suelo retorciéndome de dolor. Apenas recuerdo estas cosas y la gente cree que estoy poseso.;;;;;;;;;x
EVTOPTAlux_trait_events.4;Begone, foul demon!;Va-t-en, abominable démon !;Hinfort mit dir, finsterer Dämon!;;¡Vete, demonio asqueroso!;;;;;;;;;x
EVTDESClux_trait_events.5;Perhaps the glass is fuller than I believed it to be.;La coupe est pleine, et peut-être encore plus que je ne le croyais...;Vielleicht ist das Glas voller, als ich dachte.;;Quizá el vaso está más lleno de lo que creía.;;;;;;;;;x
EVTOPTAlux_trait_events.5;...as long as it does not overflow;... Tant qu’elle ne déborde pas.;… so lange es nicht überfließt;;... mientras no se derrame;;;;;;;;;x
EVTDESClux_trait_events.17;My wound has healed without a scar.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.17;Is this the work of seid?;;;;;;;;;;;;;x
EVTDESClux_trait_events.18;My ruined limb is whole again.;;;;;;;;;;;;;x
EVTDESClux_trait_events.19;No, I'm not shouting at you, this is my normal speaking voice.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.19;I am just loud.;;;;;;;;;;;;;x
EVTDESClux_trait_events.20;Time enough to do it tomorrow, or maybe the next day. Don't worry about it.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.20;I am just a procrastinator, I guess.;;;;;;;;;;;;;x
EVTDESClux_trait_events.21;I always need something to do, and to always be doing something.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.21;I am restless.;;;;;;;;;;;;;x
EVTDESClux_trait_events.22;I try to make provision for any contingency.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.22;I am a careful planner.;;;;;;;;;;;;;x
EVTDESClux_trait_events.23;It's mine, you can't have it!;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.23;I am selfish.;;;;;;;;;;;;;x
EVTDESClux_trait_events.24;You can count on me to continue on my path, come hell or high water.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.24;I am constant.;;;;;;;;;;;;;x
EVTDESClux_trait_events.25;One minute I'm eager to do something, then next I couldn't care less about it.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.25;I am moody.;;;;;;;;;;;;;x
EVTDESClux_trait_events.26;My precise turns of phrase and witty repartee would put Cicero and Demosthenes to shame.;;;;;;;;;;;;;x
EVTOPTAlux_trait_events.26;I am eloquent.;;;;;;;;;;;;;x
EVTDESClux_trait_events.27;My speeches have been known to put insomniacs to sleep.;;;;;;;;;;;;;x
