fashion;Fashionable;A la mode;;;Elegante;;;;;;;;;x
fashion_desc;This character really knows how to dress, always drawing attention to themself!;Ce personnage sait vraiment s'habiller ! Attirant toujours l’attention sur lui.;;;Este personaje sabe como vestirse adecuadamente y siempre es el centro de las miradas;;;;;;;;;x
EVTDESCmisc_traits.1;You seem to be very interested in the garments the courtiers are wearing. Yet... not in the usual lustful way. You are actually interested in the fabrics themselves, not just what’s underneath them!;Vous semblez être très intéressé(e) par les vêtements que portent les courtisans. Mais... pas de la façon lubrique habituelle. Vous êtes en réalité plus intéressé(e) par les tissus eux-mêmes que par ce qui se cache dessous !;;;Pareces muy interesado en las vestimentas de los cortesanos, en sus colores y los diferentes tipos de telas;;;;;;;;;x
EVTOPTAmisc_traits.1;This is interesting...;C'est intéressant...;;;Esto es interesante;;;;;;;;;x
EVTOOLTIPmisc_traits.1;I wonder what [Root.Guardian.GetBestName] will think about this...;Je me demande ce que [Root.Guardian.GetBestName] va penser de ceci...;;;Me gustaría saber que piensa [Root.Guardian.GetBestName] de todo eso;;;;;;;;;x
EVTDESCmisc_traits.2;[From.GetBestName] seems to be very interested in the garments some of the courtiers are wearing. Yet... not in the usual lustful way. [From.GetBestName] is also interested in the fabrics themselves, not just what’s underneath them!;[From.GetBestName] semble très intéressé(e) par les vêtements que portent les courtisans. Mais pas... d'une façon perverse. [From.GetBestName] est en réalité plus intéressé(e) par les tissus eux-mêmes que par ce qui se cache dessous ! ;;;[From.GetBestName] parece muy interesado en las vestimentas cortesanas, en sus colores y en sus tejidos.;;;;;;;;;x
EVTOPTAmisc_traits.2;It's harmless...;C'est inoffensif...;;;No le hará daño;;;;;;;;;x
EVTOPTBmisc_traits.2;Stop it! Concentrate on the more important things in life!;Assez ! Il y a des choses plus importantes dans la vie !;;;Que pare. Hay cosas en la vida mucho más importantes;;;;;;;;;x
EVTDESCmisc_traits.3;[From.GetBestName] does not mind that I'm playing with the dresses.;[From.GetBestName] se moque que je joue avec les robes.;;;[From.GetBestName] no se molesta porque juegue con vestidos.;;;;;;;;;x
EVTDESCmisc_traits.4;[From.GetBestName] does not mind that I'm playing with the dresses.;[From.GetBestName] n'apprécie guère que je joue avec les robes.;;;A [From.GetBestName] no le gusta que juegue con vestidos;;;;;;;;;x
EVTOOLTIPmisc_traits.3;[From.GetBestName] starts dressing with more flair.;[From.GetBestName] commence à s'habiller avec plus de goût.;;;[From.GetBestName] parece que enpieza a vestirse de manera más elegante;;;;;;;;;x
EVTOOLTIPmisc_traits.4;[From.GetBestName] doesn't seem that affected...;[From.GetBestName] ne semble pas tellement affecté(e)...;;;[From.GetBestName] no parece afectado;;;;;;;;;x
EVTDESCmisc_traits.5;When you talk, other children your age stop and listen. You decide to try and speak in that tone to the adults as well...;Lorsque vous parlez, les enfants de votre âge arrêtent tout pour vous écouter. Vous décidez d’essayer ce même ton avec les adultes...;;;Cuando hablas en serio los otros niños se callan y te escuchan, así que has decidido hablar así a todo el mundo;;;;;;;;;x
EVTDESCmisc_traits.6;[From.GetBestName] adopts a very authoritative tone of voice with everyone, including [From.GetHerHis] elders and you.;[From.GetBestName] adopte un ton très autoritaire avec n'importe qui, y compris ses aînés et vous-même.;;;[From.GetBestName] ha empezado a hablar de manera autoritaria a todo el mundo, incluidos sus mayores y por supuesto a ti;;;;;;;;;x
EVTOPTAmisc_traits.6;Good to see [From.GetHerHim] act like the noble [From.GetSheHe] is.;Une bonne chose, [From.GetBestName] se conduit comme le(a) noble qu'[From.GetSheHe] est et pas comme la racaille du commun.;;;Está bien que [From.GetBestName] se comporte como el noble que es y no como la gente común;;;;;;;;;x
EVTOOLTIPmisc_traits.7;[From.GetBestName] will become more authoritative.;[From.GetBestName] va devenir plus autoritaire.;;;[From.GetBestName] será más autoritativo;;;;;;;;;x
EVTOPTBmisc_traits.6;Better not use that tone with me KID!;Il vaudrait mieux ne pas utiliser ce ton-là avec moi, petit(e) !;;;¡No uses ese tono conmigo!;;;;;;;;;x
EVTOOLTIPmisc_traits.8;You slap [From.GetBestName].;Vous giflez [From.GetBestName].;;;Abofeteas a [From.GetBestName].;;;;;;;;;x
EVTDESCmisc_traits.7;[From.GetBestName] encourages me to be more authoritative.;[From.GetBestName] m'encourage à être plus autoritaire.;;;[From.GetBestName] dice que siempre tengo que mostrar mi autoridad;;;;;;;;;x
EVTDESCmisc_traits.8;[From.GetBestName] slaps me and tells me not to talk to my elders and superiors in that tone.;[From.GetBestName] m'a donné une gifle et m'a dit de ne plus parler ainsi à mes aînés et supérieurs.;;;[From.GetBestName] me abofeteo y me dice que no use ese tono con mis mayores o superiores;;;;;;;;;x
#authoritative;Authoritative;Autoritaire;;;Autoritativo;;;;;;;;;x
#authoritative_desc;When this character speaks, they speak with a natural authoritative tone;Lorsque ce personnage parle, il s'exprime avec un ton naturellement autoritaire;;;Cuando este personaje habla siempre lo hace con un tono natural de autoridad;;;;;;;;;x
EVTDESCmisc_traits.9;You have great fun provoking people with rude remarks.;Vous avez grand plaisir à provoquer les gens avec des remarques grossières.;;;;;;;;;;;;x
EVTDESCmisc_traits.10;[From.GetBestName] is very rude to people in your court...;[From.GetBestName] est très grossier(e) avec les gens de votre cour...;;;;;;;;;;;;x
EVTOPTAmisc_traits.10;You find it amusing and do nothing to discourage it.;Vous trouvez cela amusant et ne faites rien pour le(a) décourager.;;;;;;;;;;;;x
EVTOOLTIPmisc_traits.11;[From.GetBestName] makes a habit of it, and become a very rude person.;[From.GetBestName] en fait une habitude et devient une personne très grossière.;;;;;;;;;;;;x
EVTOPTBmisc_traits.10;Scold [From.GetTitledFirstName] for [From.GetHerHis] behavior, [From.GetSheHe] is embarrassing you!;Gronder [From.GetBestName] pour son comportement, [From.GetSheHe] vous fait honte ! ;;;;;;;;;;;;x
EVTOOLTIPmisc_traits.12;[From.GetBestName] might not like you scolding [From.GetHerHim], and might not even listen...;[From.GetBestName] pourrait ne pas aimer être grondé(e) et pourrait même ne pas vous écouter... ;;;;;;;;;;;;x
EVTDESCmisc_traits.11;[From.GetBestName] doesn't mind you being rude to other people.;[From.GetBestName] ne fait aucune objection à ce que vous soyez grossier avec les autres personnes. ;;;;;;;;;;;;x
EVTDESCmisc_traits.12;[From.GetBestName] scolds you for embarrassing [From.GetHerHim]!;[From.GetBestName] vous reproche de l'avoir mis(e) dans l'embarras !;;;;;;;;;;;;x
#familyperson;Family Person;Attaché(e) à la famille;;;;;;;;;;;;x
#familyperson_desc;This character will do more than most for their kinsmen.;Ce personnage fera tout ce qu'il peut pour sa parenté.;;;;;;;;;;;;x
EVTDESCmisc_traits.13;While playing with the other children you seem to favor those who are the closest of relations.;Lorsque vous jouez avec d'autres enfants, vous semblez favoriser ceux qui sont proches de vous par le sang.;;;;;;;;;;;;x
