keep_it;Your Banner has been raised here, thus this county will not be distributed. ;Your Banner has been raised here. This county will not be distributed.;Dein Banner wurde hier gehisst.;;Your Banner has been raised here. This county will not be distributed.;;;;;;;;;x
vassalize_all;Distribute All Holdings;Distribute All Holdings;Verteilt alle Besitzungen.;;Distribute All Holdings;;;;;;;;;x
vassalize_all_desc;"Grants all baronies, cities, bishoprics, and counties to newly created vassals. You must ""Raise Your Banner"" on at least one province to use this.";"Grants all baronies, cities, bishoprics, and counties to newly created vassals. You must ""Raise Your Banner"" on at least one province to use this.";Verteilt alle Besitzungen (Baronien, Bistümer und Städte) an neu erstellte Vasallen. Dazu muss der Spielen in mindestens einer Provinz sein Banner gehisst haben.;;"Grants all baronies, cities, bishoprics, and counties to newly created vassals. You must ""Raise Your Banner"" on at least one province to use this.";;;;;;;;;x
vassalize_all_tooltip;Hand out all holdings.;Hand out all holdings.;Alle Besitzungen verteilen;;Hand out all holdings.;;;;;;;;;x
flag_province;Raise Your Banner;Raise Your Banner;Banner hissen;;Raise Your Banner;;;;;;;;;x
flag_province_desc;Prevents the primary holding in your current ruler's location from being distributed.;Prevents the primary holding in your current ruler's location from being distributed.;Schließt die Hauptbesitzung dieser Provinz von der Verteilung aus.;;Prevents the primary holding in your current ruler's location from being distributed.;;;;;;;;;x
flag_province_tooltip;Raise Your Banner;Raise Your Banner;Banner hissen;;Raise Your Banner;;;;;;;;;x
unflag_province;Lower Your Banner;Lower Your Banner;Banner einholen;;Lower Your Banner;;;;;;;;;x
unflag_province_desc;Allows the primary holding here to be distributed.;Allows the primary holding here to be distributed.;Die Hauptbesitzung dieser Provinz wird ebenfalls verteilt.;;Allows the primary holding here to be distributed.;;;;;;;;;x
unflag_province_tooltip;Lower your banner;Lower your banner;Banner einholen;;Lower your banner;;;;;;;;;x
flag_province_marshal;Marshal Raises Banner;Marshal Raises Banner;Der Marschall hisst das Banner;;Marshal Raises Banner;;;;;;;;;x
flag_province_marshal_desc;Have the Marshal raise your banner at his location. Prevents the primary holding there from being distributed.;Have the Marshal raise your banner at his location. Prevents the primary holding there from being distributed.;Lässt den Marschall das Banner hissen und die Hauptbesitzung von der Verteilung ausschließen;;Have the Marshal raise your banner at his location. Prevents the primary holding there from being distributed.;;;;;;;;;x
