escaped_siege;Escaped from a siege;Réchappé d'un siège;;;;;;;;;;;;;x
left_at_siege;Kept in the Castle;Enfermé dans le château;;;;;;;;;;;;;x
left_to_rot;Left to rot in prison;Laissé pourrir en prison;;;;;;;;;;;;;x
death_escape;Died attempting a daring escape;Mort en tentant de s'évader;;;;;;;;;;;;;x
left_behind;Left behind at siege;Laissé pour compte lors du siège;;;;;;;;;;;;;x
stalwart_defender;Stalwart Defender;Fidèle Défenseur;;;;;;;;;;;;;x
modifier_hidden;Hidden in countryside;Caché dans la campagne;;;;;;;;;;;;;x
joined_war_against_me;Joined War Against Me;A rejoint une guerre contre moi;;;;;;;;;;;;;x
stolen_banner;Captured Banner;Bannière capturée;;;;;;;;;;;;;x
liberated;Liberated from occupation;Libéré de l'occupation;;;;;;;;;;;;;x
EVTDESCSIEGECAPTURE;[Root.GetBestName] was captured by [From.GetBestName] while trying to flee the castle!;[Root.GetBestName] a été capturé(e) par [From.GetBestName] durant sa tentative d'évasion !;[Root.GetBestName] wurde in der Schlacht von [From.GetBestName] gefangengenommen!;;¡[Root.GetBestName] fue capturado en combate por [From.GetBestName]!;;;;;;;;;x;x
EVTDESCCAPTUREENEMYSIEGE;[From.GetBestName] was captured after the siege and is now my prisoner!;[From.GetBestName] a été capturé(e) après le siège. C’est désormais mon(ma) prisonnier(ière) !;[From.GetBestName] wurde in der Schlacht gefangengenommen und ist nun mein Gefangener!;;¡[From.GetBestName] fue capturado en combate y ahora es mi prisionero!;;;;;;;;;x;x
EVTDESCbattlewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter à la liste de mes exploits.;;;;;;;;x;;;;;x
EVTDESCsiegewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter à la liste de mes exploits.;;;;;;;;x;;;;;x
EVTDESCsiegeescape01;[Root.GetBestName]! The castle could fall any day now, we must make preparations...;[Root.GetBestName] ! Le château pourrait tomber d'un jour à l'autre, nous devons nous y préparer… ;;;;;;;;;;;;;x
EVTOPTAsiegeescape1;Flee the castle via secret underground tunnel...;S'échapper du château grâce à un tunnel secret…;;;;;;;;;;;;;x
EVTOPTAsiegeescape2;place;place;;;;;;;;;;;;;x
EVTDESCsiegewin01;[Root.PrimaryTitle.GetFOA], we've rounded up everybody we could find. What should we do with them?;[Root.PrimaryTitle.GetFOA], nous avons regroupé toutes les personnes que nous avons trouvé. Que devons-nous faire avec eux ? ;;;;;;;;;;;;;x
EVTOPTAsiegewin1;Clap their leader in irons and leave the rest here.;Mettez le chef aux fers et laissez les autres ici.;;;;;;;;;;;;;x
EVTOPTAsiegewin2;Imprison the entire family.;Saisissez-vous de lui et de toute sa famille.;;;;;;;;;;;;;x
EVTOPTAsiegewin3;These people are useless, leave them be.;Ces gens nous sont inutiles, laissez-les partir.;;;;;;;;;;;;;x
EVTOPTAsiegewin4;Their leader is no where to be found, [Root.PrimaryTitle.GetFOA].  Shall we ask their family along with us?;Nous n'arrivons pas à le trouver, [Root.PrimaryTitle.GetFOA]. Devons-nous demander à sa famille de venir avec nous?;;;;;;;;;;;;;x
EVTOPTAsiegewin5;Let them all go, I'm feeling merciful today.;Laissez-les partir, je me sens d'humeur miséricordieuse aujourd'hui.;;;;;;;;;;;;;x
EVTDESCsiegeprestige;[Root.PrimaryTitle.GetFOA], the keep has fallen!;La tour est tombée, messire !;;;;;;;;;;;;;x
EVTTOOLTIPenemynothere;If the enemy is not defending, this does nothing.;Si l'ennemi ne se défend pas, cela ne vaut rien.;;;;;;;;;;;;;x
EVTOPTAsiegewinprestige;My name will live for ever!;Mon nom vivra pour l'éternité !;;;;;;;;;;;;;x
EVTOPTAsiegewinbanner;Another banner to hang proudly in my hall.;Une autre bannière à accrocher fièrement dans ma grande salle.;;;;;;;;;;;;;x
