sovereignty_title_law;Crown Sovereignty on Hereditary Titles;;;;;;;;;;;;;x
sovereignty_title_law_desc;Laws governing the right of a ruler to interfere in the ownership and succession of hereditary titles.;;;;;;;;;;;;;x
sovereignty_title_law_0;Limited Sovereignty;;;;;;;;;;;;;x
sovereignty_title_law_0_desc;The ruler is not under any circumstances allowed to interfere in the ownership and succession of hereditary titles.;;;;;;;;;;;;;x
sovereignty_title_law_0_option;Limited;;;;;;;;;;;;;x
sovereignty_title_law_1;Balanced Sovereignty;;;;;;;;;;;;;x
sovereignty_title_law_1_desc;The ruler is allowed to legally seize hereditary titles from traitors and unlawful subjects. Vassal title inheritance is regulated to disallow a title to pass to another realm. Assertion of the ruler's sovereignty on titles also enables fabricating brand new claims on foreign titles.;;;;;;;;;;;;;x
sovereignty_title_law_1_option;Balanced;;;;;;;;;;;;;x
sovereignty_title_law_2;Absolute Sovereignty;;;;;;;;;;;;;x
sovereignty_title_law_2_desc;The ruler is allowed to legally seize any hereditary titles independantly of circumstances. Vassal title inheritance is regulated to disallow a title to pass to another realm. Enhanced sovereignty on titles also enables fabricating brand new claims on foreign titles with great efficiency.;;;;;;;;;;;;;x
sovereignty_title_law_2_option;Absolute;;;;;;;;;;;;;x
ze_administration_laws;Administration;Administration;;;;;;;;;;;;;x
ze_administration_laws_desc;These laws govern how society controls and organizes ownership of property and wealth.;;;;;;;;;;;;;x
ze_administration_laws_0;Informal Administration;;;;;;;;;;;;;x
ze_administration_laws_0_option;Informal;;;;;;;;;;;;;x
ze_administration_laws_0_desc;Society holds together based on unwritten customs and fluid patronage networks. Rulers rely on personal charisma and the loyalty of one's clients to impose authority. It is the way most of the barbarian world works, and it means that the ruler depends greatly on the loyalty of [Player.GetHerHis] more powerful vassals.;;;;;;;;;;;;;x
ze_administration_laws_1;Legal Administration;;;;;;;;;;;;;x
ze_administration_laws_1_desc;Society is ruled by a system of written laws, jurisprudence and rulings implemented by local rulers as well as envoys of the central authority. Legal predictability makes it possible for lords to keep the inheritance together to facilitate their dynasty's long-term increase in power and wealth. In this system, there is a tendency for vassals to grow more and more powerful with time if not kept in check.;;;;;;;;;;;;;x
ze_administration_laws_1_option;Legal;;;;;;;;;;;;;x
ze_administration_laws_2;Imperial Administration;;;;;;;;;;;;;x
ze_administration_laws_2_option;Imperial;;;;;;;;;;;;;x
ze_administration_laws_2_desc;This system of administration relies on a class of unlanded state servants, with a hierarchy of magistrates and functionaries running daily business in the name of the emperor. It allows for a power structure that hands less power to permanently landed vassals.;;;;;;;;;;;;;x
