province;red;green;blue;x;x
1;42;3;128;Vestisland;x
2;84;6;1;Austisland;x
3;170;12;67;Kujalleq;x
4;2;15;195;Ittoqqortoormiit;x
5;126;9;129;Tír Chonaill;x
6;168;12;2;Tír Eoghain;x
7;0;15;130;Ulaid;x
8;84;21;131;Airgíalla;x
9;126;24;4;Bréifne;x
10;168;27;132;Connacht;x
11;126;39;134;Tuadh-Mhumhain;x
12;168;42;7;Deas-Mhumhain;x
13;0;45;135;Urumhain;x
14;84;36;6;Osraige;x
15;0;30;5;Cell Darach;x
16;42;33;133;Dubhlinn;x
17;42;48;8;Laigin;x
18;126;99;144;Faereyar;x
19;168;102;17;Hjaltland;x
20;42;108;18;Orkneyjar;x
21;84;111;146;Suðrland;x
22;168;117;147;Ros;x
23;0;105;145;Innse Gall;x
24;0;120;20;Moireibh;x
25;0;135;150;Airer Goídel;x
26;168;132;22;Athfhotla;x
27;42;123;148;Buchan;x
28;126;129;149;Gobharaidh;x
29;42;138;23;Fìobha;x
30;84;126;21;Srath Èireann;x
31;84;141;151;Srath Chluaidh;x
32;126;144;24;Labhdaidh;x
33;42;153;153;Dunbar;x
34;126;114;19;Rosbroig;x
35;0;150;25;Gall-Ghàidhealaibh;x
36;168;147;152;A' Charraig;x
37;168;162;27;Mann;x
38;126;159;154;Rheged;x
39;84;156;26;Northanhymbra;x
40;42;168;28;Dun Holm;x
41;0;165;155;Westmereland;x
42;126;174;29;Loncæster;x
43;168;177;157;Deva Victrix;x
44;84;171;156;Jórvík;x
45;42;183;158;Lincylene;x
46;84;186;31;Ligeraceaster;x
47;126;189;159;Deoraby;x
48;42;198;33;Viroconium;x
49;0;180;30;Tegeingl;x
50;168;192;32;Gwynedd;x
51;0;195;160;Ternyllwg;x
52;126;54;9;Deheubarth;x
53;168;57;137;Glywysing;x
54;0;60;10;Guent;x
55;84;51;136;Vadum Exercitus;x
56;42;63;138;Glevum;x
57;0;90;15;Weorgoranceaster;x
58;84;201;161;Weirwic;x
59;84;66;11;Oxenaforda;x
60;126;204;34;Hamburh;x
61;168;207;162;Bedasforda;x
62;0;210;35;Norðfolc;x
63;42;0;163;Suþfolc;x
64;84;3;36;Eastseaxna;x
65;84;96;16;Londinium;x
66;168;72;12;Suþrige;x
67;126;6;164;Cantium;x
68;0;75;140;Suþseaxna;x
69;42;78;13;Wintanceaster;x
70;126;69;139;Wiltunscire;x
71;126;84;14;Durnovaria;x
72;84;81;141;Aquae Sulis;x
73;168;87;142;Dumnonia;x
74;42;93;143;Finisterrae;x
75;126;96;179;Leon;x
76;168;99;52;Kernev;x
77;0;102;180;Darioritum;x
78;84;93;51;Penteur;x
79;42;90;178;Condate;x
80;42;105;53;Naoned;x
81;84;108;181;Andegavia;x
82;126;111;54;Maine;x
83;168;114;182;Vendôme;x
84;0;87;50;Avranchin;x
85;168;84;177;Eburovicorum;x
86;84;78;176;Rouen;x
87;42;75;48;Ou;x
88;126;81;49;Vexin;x
89;84;123;56;Paris;x
90;42;120;183;Chartres;x
91;126;201;69;Auréliens;x
92;0;117;55;Blois;x
93;168;204;197;Avarigogne;x
94;0;207;70;Touraine;x
95;42;210;198;Pictavium;x
96;84;0;71;Thouars;x
97;126;3;199;Santonum;x
98;168;6;72;Novioritum;x
99;126;18;74;Engoulaeme;x
100;42;9;8;Peiregòrd;x
101;0;9;200;La Marcha;x
102;84;15;201;Lemosin;x
103;84;12;136;Arvernia;x
104;42;12;73;Borbonés;x
105;84;198;196;Nevers;x
106;84;183;66;Autissiodorum;x
107;42;195;68;Dijon;x
108;0;177;65;Tricassium;x
109;42;180;193;Senones;x
110;168;129;57;Durocortorum;x
111;126;126;184;Vermandois;x
112;0;72;175;Ambianum;x
113;0;12;165;Gesoriacum;x
114;84;18;166;Artois;x
115;168;9;37;Guisnes;x
116;42;15;38;Ieper;x
117;168;69;47;Henegouwen;x
118;126;66;174;Gent;x
119;126;21;39;Brugge;x
120;168;24;167;Nehalennia;x
121;84;63;46;Breda;x
122;84;138;186;Brachabant;x
123;42;135;58;Leodicum;x
124;0;132;185;Lucilinburhuc;x
125;168;174;192;Verdun;x
126;43;126;18;Bar;x
127;126;186;194;Saintois;x
128;84;168;191;Lothringen;x
129;0;192;195;Borgundholm;x
130;0;81;20;Cabyllona;x
131;0;36;140;Mâcon;x
132;168;33;12;Segusholm;x
133;168;18;137;Gabalum;x
134;0;21;10;Nemausus;x
135;126;30;139;Albenate;x
136;84;27;11;Avennio;x
137;168;48;142;Furnus Calcarius;x
138;42;24;138;Provincia;x
139;0;51;15;Nicaea;x
140;84;210;6;Narbo Martius;x
141;126;15;9;Roergue;x
142;168;3;7;Tolosa;x
143;0;6;135;Aginnum;x
144;168;21;202;Burdigala;x
145;0;24;75;Gers;x
146;42;27;203;Akize;x
147;126;198;4;Bearno;x
148;168;201;132;Ausciorum;x
149;0;204;5;Fois;x
150;126;0;134;Carcasum;x
151;42;207;133;Ruscino;x
152;0;189;130;Emporiae;x
153;168;186;2;Barcino;x
154;126;183;129;Ilerda;x
155;42;192;3;Urgellensis;x
156;84;195;131;Iaca;x
157;84;180;1;Caesaraugusta;x
158;168;96;87;Turboleta;x
159;126;93;214;Tarraco;x
160;84;90;86;Saguntum;x
161;42;87;213;Valentia;x
162;0;99;215;Bilbilis;x
163;84;30;76;Nafarroa;x
164;126;33;204;Bizkaia;x
165;42;177;128;Naiara;x
166;0;174;0;Numantia;x
167;42;102;88;Deigratia;x
168;84;105;216;Segobriga;x
169;126;108;89;Al-Mansha;x
170;168;111;217;Ad-Aras;x
171;0;84;85;Dianum;x
172;168;81;212;Carthago Nova;x
173;84;138;141;Maiorica;x
174;42;135;13;Minorica;x
175;126;78;84;Urci;x
176;0;114;90;Gharnatah;x
177;42;162;98;Qal'at Rabah;x
178;84;165;226;Toletum;x
179;126;168;99;Vallisoletum;x
180;168;171;227;Caput Castellae;x
181;168;36;77;Cantabria;x
182;0;39;205;Asturica Augusta;x
183;168;141;222;Asturica;x
184;0;144;95;Legio;x
185;42;147;223;Ocellodurum;x
186;84;150;96;Helmantica;x
187;126;153;224;Pontetagus;x
188;168;156;97;Ambrosia;x
189;0;159;225;Cáceres;x
190;168;126;92;Emerita Augusta;x
191;126;123;219;Aracena;x
192;42;117;218;Qurtubah;x
193;84;120;91;Ishbiliyya;x
194;84;75;211;Malaka;x
195;42;72;83;Carteia;x
196;0;69;210;Cadiz;x
197;168;66;82;Lebla;x
198;126;63;209;Harun;x
199;84;60;81;Shilb;x
200;0;129;220;Martulah;x
201;42;132;93;Ebora Kon;x
202;42;57;208;Keition;x
203;0;54;80;Ulyssippo;x
204;168;51;207;Conimbriga;x
205;84;135;221;Castellum Candidum;x
206;126;138;94;Brigantina;x
207;126;48;79;Portus Cale;x
208;84;45;206;Campus Stellae;x
209;42;42;78;Carunium;x
210;126;45;14;Gratianopolis;x
211;84;42;141;Lugdunum;x
212;84;72;146;Sapaudia;x
213;168;78;147;Genava;x
214;126;75;19;Octodurum;x
215;168;93;22;Brenodorum;x
216;84;87;21;Vindonissa;x
217;168;189;67;Sundgau;x
218;42;165;63;Nordgau;x
219;126;171;64;Metz;x
220;168;159;62;Rheinpfalz;x
221;126;141;59;Trier;x
222;0;57;45;Jülich;x
223;42;60;173;Loon;x
224;0;27;40;Holtland;x
225;42;30;168;Fryslân;x
226;84;33;41;Trecht;x
227;168;39;42;Fraschlönj;x
228;126;36;169;Gelre;x
229;168;54;172;Cleve;x
230;0;42;170;Freesland;x
231;42;45;43;Aldenburg;x
232;84;48;171;Ossenbrügge;x
233;126;51;44;Horsteberg;x
234;168;144;187;Köln;x
235;126;156;189;Mainz;x
236;0;3;225;Chauken;x
237;168;138;157;Kiellu;x
238;0;147;60;Gutingi;x
239;42;150;188;Rödgen;x
240;0;126;155;Toringi;x
241;168;123;27;Uburzis;x
242;84;153;61;Bergheim;x
243;126;120;154;Wiruto;x
244;84;117;26;Ulm;x
245;0;162;190;Umwalltberg;x
246;42;114;153;Furistoberg;x
247;0;111;25;Breisachgau;x
248;0;96;150;Suittes;x
249;126;105;24;Rinegge;x
250;168;108;152;Suebi;x
251;0;93;185;Kambodunon;x
252;168;12;207;Innbrucca;x
253;84;102;151;Rhaeti;x
254;42;99;23;Graubünden;x
255;0;66;145;Mediolanum;x
256;168;63;17;Ticinum;x
257;126;60;144;Genua;x
258;84;57;16;Montisferrati;x
259;42;54;143;Salutium;x
260;42;69;18;Eporedia;x
261;126;102;59;Brixia;x
262;0;108;60;Cremona;x
263;42;111;188;Parma;x
264;126;117;189;Lucca;x
265;84;129;191;Pisa;x
266;42;141;193;Piombino;x
267;168;120;62;Corsica;x
268;128;84;79;Gallura;x
269;170;87;207;Turris Libyssonis;x
