nomad;Nomad;;;;;;;;;;;x
nomad_desc;This character is a member of a nomad society.;;;;;;;;;;;x
nomad_laws;Lifestyle;;;;;;;;;;;x
nomad_laws_desc;This law represents the lifestyle practised by the inhabitants of the realm;;;;;;;;;;;x
nomad_0;Nomadic;;;;;;;;;;;x
nomad_0_desc;Nomadic;;;;;;;;;;;x
nomad_1;Settled;;;;;;;;;;;x
nomad_1_desc;Settled;;;;;;;;;;;x
nomad_authority1;Nomad Respect (I);;;;;;;;;;;;;x
nomad_authority1_desc;Our ruler instils respect on it's nomad tribes; who in turn pay him tribute and submit to his authority.;;;;;;;;;;;;;x
nomad_authority2;Nomad Respect (II);;;;;;;;;;;;;x
nomad_authority2_desc;Our ruler instils respect on it's nomad tribes; who in turn pay him tribute and submit to his authority.;;;;;;;;;;;;;x
nomad_authority3;Nomad Respect (III);;;;;;;;;;;;;x
nomad_authority3_desc;Our ruler instils respect on it's nomad tribes; who in turn pay him tribute and submit to his authority.;;;;;;;;;;;;;x
nomad_authority4;Nomad Respect (IV);;;;;;;;;;;;;x
nomad_authority4_desc;Our ruler instils respect on it's nomad tribes; who in turn pay him tribute and submit to his authority.;;;;;;;;;;;;;x
toggle_nomad_decisions;Toggle Nomad decisions;;;;;;;;;;;x
toggle_nomad_decisions_desc;Enable or disable nomad decisions;;;;;;;;;;;x
call_horde;Call the hordes;;;;;;;;;;;x
call_horde_desc;As a nomad, you can spend your wealth or authority in summoning hordes of warriors from your tribes. The size of the hordes you can call upon depends on the size of your realm. Be careful though; the bigger the horde, the more you'll have to wait until you can call another one.;;;;;;;;;;;x
ca_nomad_camp_0;Small Nomad Camp;;;;;;;;;;;x
ca_nomad_camp_1;Average Nomad Camp;;;;;;;;;;;x
ca_nomad_camp_2;Medium Nomad Camp;;;;;;;;;;;x
ca_nomad_camp_3;Large Nomad Camp;;;;;;;;;;;x
ca_nomad_camp_4;Giant Nomad Camp;;;;;;;;;;;x
ca_nomad_camp_dummy;Placeholder;;;;;;;;;;;x
called_horde;Called the hordes;;;;;;;;;;;x
tp_nomad_levy_eliminator;No levies;;;;;;;;;;;x
ct_nomad_levy_eliminator;No levies;;;;;;;;;;;x
nomad_province;Nomad Province;;;;;;;;;;;x
nomad_province_desc;Nomads can't raise levies from any of their provinces;;;;;;;;;;;x
EVTDESCNOMAD2;You gather your messengers and prepare to send a summon to all the tribes...;;;;;;;;;;;x
