ai_repay_loan;Repay Loan;;;;;;;;;;;;;x
ai_take_loan;Take Loan;;;;;;;;;;;;;x
ai_estates_income;Estate Income;;;;;;;;;;;;;x
faction_succ_ultimogeniture_ultimatum_timer;Ultimogeniture Ultimatum Sent;;;;;;;;;;;;;x
faction_succ_tanistry_ultimatum_timer;Tanistry Ultimatum Sent;;;;;;;;;;;;;x
muslim_paper_makers;Center of Paper Production;;;;;;;;;;;;;x
opinion_recent_plot;Recent Plot;;;;;;;;;;;;;x
title_ruler_consort;Consort;;;;;;;;;;;;;x
regency_ai;Regency;;;;;;;;;;;;;x
regency;Regency;;;;;;;;;;;;;x
assign_mission_target;Assigned Mission;;;;;;;;;;;;;x
succ_turkish_succession;Open;;;;;;;;;;;;;x
EVTDESC88015;hashshashin_order_events Line 485, Column 2;;;;;;;;;;;;;x
EVTDESC88008;hashshashin_order_events Line 492, Column 3;;;;;;;;;;;;;x
EVTOPTA88008;hashshashin_order_events Line 452, Column 2;;;;;;;;;;;;;x
EVTDESC88006;hashshashin_order_events Line 459, Column 3;;;;;;;;;;;;;x
EVTOPTA88006;hashshashin_order_events Line 366, Column 2;;;;;;;;;;;;;x
EVTDESC88005;hashshashin_order_events Line 272, Column 2;;;;;;;;;;;;;x
EVTDESC110044;maintenance_events Line 272, Column 2;;;;;;;;;;;;;x
EVTTOOLTIP105055;muslim_honorary_titles_events Line 3469, Column 6;;;;;;;;;;;;;x
EVTTOOLTIP105007;muslim_honorary_titles_events Line 371, Column 5;;;;;;;;;;;;;x
EVTTOOLTIP89022;polygamy_events Line 1044, Column 38;;;;;;;;;;;;;x
EVTTOOLTIP89025;polygamy_events Line 1027, Column 40;;;;;;;;;;;;;x
EVTTOOLTIP89024;polygamy_events Line 1020, Column 40;;;;;;;;;;;;;x
#EVTTOOLTIP89022;polygamy_events Line 766, Column 38;;;;;;;;;;;;;x
#EVTTOOLTIP89025;polygamy_events Line 749, Column 40;;;;;;;;;;;;;x
#EVTTOOLTIP89024;polygamy_events Line 742, Column 40;;;;;;;;;;;;;x
EVTTOOLTIP89009;polygamy_events Line 380, Column 45;;;;;;;;;;;;;x
EVTTOOLTIP89008;polygamy_events Line 342, Column 44;;;;;;;;;;;;;x
EVTDESC39254;religious_events Line 1959, Column 2;;;;;;;;;;;;;x
EVTOPTA39254;religious_events Line 1966, Column 3;;;;;;;;;;;;;x
EVTOPTB39252;religious_events Line 1897, Column 3;;;;;;;;;;;;;x
EVTDESC69008;rumours_events Line 583, Column 2;;;;;;;;;;;;;x
EVTOPTB69008;rumours_events Line 619, Column 3;;;;;;;;;;;;;x
EVTOPTA69008;rumours_events Line 615, Column 3;;;;;;;;;;;;;x
EVTOPTC3602;How about I try it out... on YOU!;;;;;;;;;;;;;x
EVTOPTD3602;I'm going to give it a good workout... on YOU!;;;;;;;;;;;;;x
ai_betrothal;;;;;;;;;;;;;;x
assign_druid;;;;;;;;;;;;;;x
assign_bard;;;;;;;;;;;;;;x
