#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IMPRISON_INTERACTION_1;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;Cette option augmentera votre tyrannie de §R10§! pour un courtisan ou §R20§! pour un vassal.;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;Tous les titres de [Recipient.GetPossPronoun] seront confisqués, ce qui augmentera votre tyrannie de §R20§!.;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;;All [Recipient.GetPossPronoun] titles will be confiscated, which will increase your tyranny by §R20§!.;;;;;;;;;x
EXECUTE_IMPRISONED_INTERACTION_1;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;Cette option augmentera votre tyrannie de §R5§! pour un courtisan ou de §R10§! pour un vassal.;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;;;;;;;;x
opinion_refused_convert;Refused to Convert;Refuser de se convertir.;Bekehrung Verweigert;;Refused to Convert;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown laws in the §Y$CROWN_TITLE$§!, our vassals cannot object.;Grâce aux lois de la couronne de §Y$CROWN_TITLE$§!, vos vasaux ne peuvent refuser.;Dank der Krone-Gesetze in §Y$CROWN_TITLE$ §!, können unsere Vasallen nicht protestieren.;;Thanks to the crown laws in the §Y$CROWN_TITLE$§!, our vassals cannot object.;;;;;;;;;x
player_no_ambition;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Lack of Ambition;;;;;;;;;x
player_no_ambition_desc;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Lack of Ambition;;;;;;;;;x
opinion_no_ambition;You should pick an ambition for your ruler.;Vous devriez choisir une ambition pour votre souverain.;Sie sollten einen Ehrgeiz für Ihren Herrscher wählen.;;You should pick an ambition for your ruler.;;;;;;;;;x
holy_war_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. Deus Vult!;Le(La) §Y$CLAIMANT$§! peut utiliser ce casus belli pour s’emparer de tous les titres que possède l’infidèle §Y$TARGET$§! au sein du(de la) §Y$TITLE$§! de jure. Les dieux le veulent ainsi !;§Y$CLAIMANT$§! kann diesen Kriegsgrund zur Konfiszierung aller Titel benutzen, die das ungläubige Ziel, §Y$TARGET$§!, unter dem de jure-Titel §Y$TITLE$§! bekleidet. Deus Vult!;;§Y$CLAIMANT$§! puede usar este Casus Belli para apoderarse de todos los títulos que posee el infiel, §Y$TARGET$§!, dentro del §Y$TITLE$§! de iure. ¡Deus Vult!;;;;;;;;;x
TECH_DEM_INC_K_E;§G+0.5§! demesne size for Kings & Emperors;§G+0.5§! surface de terres pour les rois et empereurs;§G+0.5§! Größe des Grundbesitzes für Könige und Kaiser;;§G+0.5§! tamaño de señoríos para Reyes y Emperadores;;;;;;;;;x
TECH_DEM_INC_D;§G+0.5§! demesne size for High Lords;§G+0.5§! surface de terres pour les grand lords;§G+0.5§! Größe des Grundbesitzes für Herzöge;;§G+0.5§! tamaño de señoríos para Duques;;;;;;;;;x
TECH_DEM_INC_C;§G+0.5§! demesne size for Lords;§G+0.5§! surface de terres pour les lords;§G+0.5§! Größe des Grundbesitzes für Grafen;;§G+0.5§! tamaño de señoríos para Condes;;;;;;;;;x
TECH_DEM_INC_B;§G+0.5§! demesne size for Sers;§G+0.5§! surface de terres pour les chevaliers fieffés;§G+0.5§! Größe des Grundbesitzes für Barone;;§G+0.5§! tamaño de señoríos para Barones;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$ENEMY$§! has joined §Y$WHO$§! in the §Y$WAR$§!;§Y$ENEMY$! a rejoint §Y$WHO$! dans la §Y$WAR$! !;§Y$ENEMY$§! schließt sich §Y$WHO$§! im §Y$WAR$§! an;;§Y$ENEMY$§! Se ha unido a §Y$WHO$§! en la §Y$WAR$§!;;;;;;;;;x
CB_NAME_TRIBAL_INVASION;Invasion of [Title.GetName];Invasion de [Title.GetName];Invasion von [Title.GetName];;Invasion of [Title.GetName];;;;;;;;;x
WAR_NAME_TRIBAL_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ invasion $FIRST_ADJ$ du(de la) $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;$ORDER$Invasión $FIRST_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_1;This will increase their opinion of you by §G50§!.;L’opinion qu’ils ont de vous augmentera de §G50§!.;Dadurch erhöht sich ihre Meinung über Sie um §G50§!.;;This will increase their opinion of you by §G50§!.;;;;;;;;;x
HAS_LANDED_TITLE;Holds the title of $TITLE$;Tient le titre de $TITLE$ ;Ist $RULERTITLE$ von $TITLE$;;Es $RULERTITLE$ de $TITLE$;;;;;;;;;x
PADISHAH;Great Sultan;Grand Sultan;Großsultan;;Great Sultan;;;;;;;;;x
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;Ne me présentez plus jamais pareilles pétitions !;Bringen Sie solche Bitten niemals wieder vor!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;;;;;x
GOD_HASHEM;Hashem;Hashem;Hashem;;Hashem;;;;;;;;;x
GOD_ADONAI;Adonai;Adonai;Adonai;;Adonai;;;;;;;;;x
ISNT_CLOSE_RELATIVE;Not a close relative of;N’est pas apparenté(e) à;Kein naher Verwandter von;;Not a close relative of;;;;;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§!.;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen.;;§Y$CLAIMANT$§! puede intentar destituir a §Y$TARGET$§!.;;;;;;;;;x
feast_0;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_0_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
succ_turkish_succession;Open;Ouvert;Offen;;Open;;;;;;;;;x
succ_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y33%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du souverain sont répartis entre ses enfants, l’aîné héritant du titre principal. Si le souverain n’a pas d’enfants, la loi basée sur la primogéniture s’applique. Vous ne subissez aucune pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un domaine §Y33%§! plus grand. La loi basée sur le gavelkind est très appréciée de tous, sauf de l’aîné des enfants.;Die Titel des Herrschers werden unter seinen Kindern verteilt, wobei das älteste Kind den Primärtitel erhält. Hat der Herrscher keine Kinder, die seine Nachfolge antreten können, gilt das Ältestenrecht. Ihr erleidet durch landlose Söhne keine Prestigeverluste, und Eure Domäne kann um §Y33%§! größer sein. Außer beim ältesten Kind ist Gavelkind ein bei jedermann sehr beliebtes Gesetz.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y33%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;;;;;;;;;x
civil_war;Civil War;Guerre civile;Bürgerkrieg;Civil War;Civil War;;;;;;;;;x
job_spiritual_judaism_group;Chief Rabbi;Grand Rabbin;Groß-Rabbi;;Chief Rabbi;;;;;;;;;x
wrong_religion_group_capital;Heathen Capital;Capitale païenne;Heiden Hochburg;Heathen Capital;Heathen Capital;Heathen Capital;;;;;;;;x
wrong_religion_group_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;;;;;;;;x
wrong_religion_capital;Heretic Capital;Capitale hérétique;Ketzer Hauptstadt;Heretic Capital;Heretic Capital;Heretic Capital;;;;;;;;x
wrong_religion_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;;;;;;;;;x
tall;Huge;Grand ;Groß;Tall;Tall;;;;;;;;;x
tall_desc;This character is of freakishly tall and impressive stature.;Ce personnage est d’une stature aussi impressionnante qu’inhabituelle ;Dieser Charakter ist von ungewöhnlich hoher und eindrucksvoller Statur.;This character is of unusually tall and impressive stature.;This character is of unusually tall and impressive stature.;;;;;;;;;x
crusade_war;Crusade;Guerre de la Foi;Kreuzzug;Crusade;Crusade;;;;;;;;;x
crusade_war_desc;Defending against a Crusade allows us to call on more troops from our vassals.;Se défendre contre une guerre de la Foi permet de lever d’avantage de troupes chez nos vassaux;Defending against a Crusade allows us to call on more troops from our vassals.;Gegen einen Kreuzzug zu verteidigen erlaubt uns mehr Truppen von unseren Vasallen aufzurufen.;Defending against a Crusade allows us to call on more troops from our vassals.;;;;;;;;;x
vassal_ruler;Local Levies;Levées locales;Lokale Aushebungen;Local Levies;Local Levies;;;;;;;;;x
vassal_ruler_desc;Our relatively low rank gives us better control over our local vassals, who will supply us with more troops.;Notre rang relativement modeste nous octroie un meilleur contrôle sur nos vassaux locaux, qui vont nous fournir plus de troupes. ;Unser relativ niedriger Stand gibt uns eine bessere Kontrolle über unsere lokalen Vasallen, die uns mit mehr Truppen versorgen werden.;Our relatively low rank gives us better control over our local vassals, who will supply us with more troops.;Our relatively low rank gives us better control over our local vassals, who will supply us with more troops.;;;;;;;;;x
defensive_war_desc;As we are fighting a defensive war, our vassals are obligated to provide us with more troops than they otherwise would.;Comme nous nous battons dans une guerre défensive, nos vassaux sont obligés de nous fournir d'avantage de troupes qu'à l'accoutumé. ;Da wir mit einem Verteidigungskrieg kämpfen, werden unsere Vasallen verpflichtet, uns mit mehr Truppen zu versorgen, als sie sonst würden.;As we are fighting a defensive war, our vassals are obligated to provide us with more troops than they otherwise would.;As we are fighting a defensive war, our vassals are obligated to provide us with more troops than they otherwise would.;;;;;;;;;x
opinion_outraged;Outraged;Outragé;Empört;Outraged;Outraged;;;;;;;;;x
ct_city_levies;City Levies;Levées citadines;Stadt Aushebungen;City Levies;City Levies;;;;;;;;;x
tp_papal_levies;Papal Levies;Levées papales;Päpstliche Aushebungen;Papal Levies;Papal Levies;;;;;;;;;x
ca_order_house;Order House;Maison de l'Ordre;Ordnungshaus;Order House;Order House;;;;;;;;;x
opinion_won_holy_war;Won Holy War;Guerre sainte gagnée;Gewonnener Heiliger Krieg;Won Holy War;Won Holy War;;;;;;;;;x
opinion_job_security_concerns;Council Job Change;Changement de poste au conseil;Ratsjob-Änderung;Council Job Change;Council Job Change;;;;;;;;;x
opinion_martial_ties;Married Close Relative;Marié avec un parent proche;Naher Verwandter geheiratet.;Married Close Relative;Married Close Relative;;;;;;;;;x
not_dejure_liege;Not De Jure Liege;Pas suzerain de jure;Kein De Jure Lehnsherr;Not De Jure Liege;Not De Jure Liege;;;;;;;;;x
not_dejure_liege_desc;This character resents being ruled by a liege who has no natural rights to their land.;Ce personnage en veut à son suzerain qui n'a aucun droits naturels sur ces terres.;Dieser Charakter nimmt übel, durch eine Lehnsherr beherrscht zu werden, der kein natürliches Rechte auf sein Land hat.;This character resents being ruled by a liege who has no natural rights to their land.;This character resents being ruled by a liege who has no natural rights to their land.;;;;;;;;;x
underhanded_rogue;Gruff Diplomat;Diplomate brusque;Schroffer Diplomat;;Gruff Diplomat;;;;;;;;;x
underhanded_rogue_desc;The Gruff Diplomat is a rough but decently effective diplomat.;Le diplomate brusque est un diplomate grossier mais néanmoins efficace.;Der Schroffe Diplomat ist ein rauer, aber sehr wirksamer Diplomat.;;The Gruff Diplomat is a rough but decently effective diplomat.;;;;;;;;;x
controls_antipope;Controls the Anti-Pope;Contrôle de l'Anti-Pape;Kontrolliert den Gegenpapst;Controls the Anti-Pope;Controls the Anti-Pope;;;;;;;;;x
desc_controls_antipope;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;Ce personnage entend prendre des décisions sur les affaires de l'Eglise bien qu'il soit un souverain temporel. Cette attitude peut être considérée comme à la limite de l'orthodoxie. ;Dieser Charakter nimmt sich heraus, um über die Angelegenheiten der Kirche zu entscheiden, trotz, seiner zeitlichen Herschaft. Diese Einstellung könnte als ketzerische Grenzlinie angesehen werden.;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;;;;;;;;;x
nick_the_bloody;the Bloody;le Sanglant;der Blutige;the Bloody;the Bloody;;;;;;;;;x
dishonorable1;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Dishonorable;;;;;;;;;x
dishonorable1_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;;;;;;;;;x
dishonorable2;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Dishonorable;;;;;;;;;x
