#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
byzantine;Hellenic;;;;;;;;;x
hellenistic;Héllen;;;;;;;;;x
greek;Rhomaion;;;;;;;;;x
indohellenic;Yavana;;;;;;;;;x
gandharan;Gandha;;;;;;;;;x
tocharian;Tókharos;;;;;;;;;x
sinohellenic;Eschatos;;;;;;;;;x
viethellenic;Epanderes;;;;;;;;;x
serindian;Gandha;;;;;;;;;x
latin;Latin;;;;;;;;;x
roman;Romanus;;;;;;;;;x
frankish;Franc;;;;;;;;;x
norman;Nourmaund;;;;;;;;;x
dacian;Getae;;;;;;;;;x
italian;Italiano;;;;;;;;;x
occitan;Occitan;;;;;;;;;x
catalan;Catalan;;;;;;;;;x
romanian;Vlach;;;;;;;;;x
romanobrython;Britannus;;;;;;;;;x
galloroman;Gallus;;;;;;;;;x
romanogothic;Gothicus;;;;;;;;;x
iranian;Iranian;;;;;;;;;x
persian;Pârsa;;;;;;;;;x
parthian;Pahlavi;;;;;;;;;x
sarmatian;Sarmaron;;;;;;;;;x
saka;Saka;;;;;;;;;x
alan;Alan;;;;;;;;;x
kurdish;Kurd;;;;;;;;;x
arabic;Semitic;;;;;;;;;x
bedouin_arabic;Badawi;;;;;;;;;x
levantine_arabic;Ashuri;;;;;;;;;x
andalusian_arabic;al-Andalusi;;;;;;;;;x
egyptian_arabic;Misri;;;;;;;;;x
maghreb_arabic;Maghribi;;;;;;;;;x
sabaean;as-Saba'i;;;;;;;;;x
jewish;Yehudim;;;;;;;;;x
syroaramean;'Aramáyé;;;;;;;;;x
nabatean;Nabati;;;;;;;;;x
phoenician;Kana'ane;;;;;;;;;x
saqaliba;Saqaliba;;;;;;;;;x
berberic;Berberic;;;;;;;;;x
berber;Amazigh;;;;;;;;;x
guanchinet;Guanchinet;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;x
armenian;Hay;;;;;;;;;x
georgian;K'art'veli;;;;;;;;;x
aghbanian;Aguank;;;;;;;;;x
north_germanic;North Germanic;;;;;;;;;x
norwegian;Norsk;;;;;;;;;x
swedish;Svíar;;;;;;;;;x
danish;Dansk;;;;;;;;;x
geat;Gautar;;;;;;;;;x
varangian;Væringjar;;;;;;;;;x
norsegael;Gall-Ghaeil;;;;;;;;;x
icelandic;Ystimaður;;;;;;;;;x
central_germanic;Central Germanic;;;;;;;;;x
german;Deutsch;;;;;;;;;x
teutonic;Þiudiskaz;;;;;;;;;x
vandal;Vandal;;;;;;;;;x
visigothic;Vesi;;;;;;;;;x
burgundian;Borgundar;;;;;;;;;x
lombard;Langobardus;;;;;;;;;x
suevic;Swebaz;;;;;;;;;x
ostrogothic;Ostrogothi;;;;;;;;;x
bavarian;Bajowarijoz;;;;;;;;;x
west_germanic;West Germanic;;;;;;;;;x
saxon;Seaxe;;;;;;;;;x
frisian;Frysk;;;;;;;;;x
dutch;Diets;;;;;;;;;x
celtic;Celtic;;;;;;;;;x
brython;Brython;;;;;;;;;x
scottish;Albannaich;;;;;;;;;x
irish;Gaeilge;;;;;;;;;x
welsh;Cymraeg;;;;;;;;;x
pictish;Pictus;;;;;;;;;x
breton;Brezhoneg;;;;;;;;;x
lusitanian;Lusitana;;;;;;;;;x
galatian;Galates;;;;;;;;;x
sarmatobrython;Marcaid;;;;;;;;;x
altaic;Altaic;;;;;;;;;x
turkish;Türk;;;;;;;;;x
avar;Awar;;;;;;;;;x
cuman;Kuman;;;;;;;;;x
bulgar;Bulgar;;;;;;;;;x
uyghur;Uyghur;;;;;;;;;x
hunnic;Hun;;;;;;;;;x
khazar;Kuzarim;;;;;;;;;x
pecheneg;Peçenek;;;;;;;;;x
xiongnu;Xiongnu;;;;;;;;;x
bantu;Bantu;;;;;;;;;x
amaravi;Amaravi;;;;;;;;;x
hutu;Umuhutu;;;;;;;;;x
fipa;Fipa;;;;;;;;;x
makonde;Makonde;;;;;;;;;x
muganda;Muganda;;;;;;;;;x
shona;Gokomere;;;;;;;;;x
swahili;Mswahili;;;;;;;;;x
zulu;umZulu;;;;;;;;;x
nilo_saharan;Nilo-Saharan;;;;;;;;;x
nubian;Nouba;;;;;;;;;x
sao;Sao;;;;;;;;;x
fur;Fòòr;;;;;;;;;x
luo;Jaluo;;;;;;;;;x
congo_nigerian;Congo-Nigerian;;;;;;;;;x
akan;Akan;;;;;;;;;x
serer;Soninke;;;;;;;;;x
mandinka;Mandinka;;;;;;;;;x
fula;Pullo;;;;;;;;;x
ethiopic;Ethiopic;;;;;;;;;x
ethiopian;Yë-'Ityoppya;;;;;;;;;x
macrobian;Makrobios;;;;;;;;;x
azande;Azande;;;;;;;;;x
zande;Zande;;;;;;;;;x
east_slavic;East Slavic;;;;;;;;;x
russian;Russkij;;;;;;;;x
west_slavic;West Slavic;;;;;;;;;x
polish;Polak;;;;;;;;;x
bohemian;Cech;;;;;;;;;x
pommeranian;Pomorec;;;;;;;;;x
slovakian;Slovák;;;;;;;;;x
sorbian;Sorb;;;;;;;;;x
polabian;Polab;;;;;;;;;x
south_slavic;Balkan;;;;;;;;;x
serbian;Srbin;;;;;;;;;x
bulgarian;Bulgarin;;;;;;;;;x
slovene;Slovenec;;;;;;;;;x
croatian;Ilir;;;;;;;;;x
bosnian;Bosanac;;;;;;;;;x
finno_ugric;Finno-Ugric;;;;;;;;;x
finnish;Suomalainen;;;;;;;;;x
komi;Komi;;;;;;;;;x
hungarian;Magyar;;;;;;;;;x
lappish;Sámi;;;;;;;;;x
nenets;Nenets;;;;;;;;;x
baltic;Baltic;;;;;;;;;x
lithuanian;Lietuviškas;;;;;;;;;x
lettigallish;Latgali;;;;;;;;;x
prussian;Prusiskan;;;;;;;;;x
iberian;Iberian;;;;;;;;;x
basque;Euskal;;;;;;;;;x
indoaryan;Indo-Aryan;;;;;;;;;x
bengali;Bangali;;;;;;;;;x
hindavi;Hindavi;;;;;;;;;x
maghada;Maghada;;;;;;;;;x
marathi;Maratha;;;;;;;;;x
saurashtra;Saurashtra;;;;;;;;;x
sinhala;Sinhala;;;;;;;;;x
dravidian;Dravidian;;;;;;;;;x
tamilar;Tamilar;;;;;;;;;x
tuluva;Tuluva;;;;;;;;;x
telugu;Telungu;;;;;;;;;x
kannada;Kannadiga;;;;;;;;;x
chinese;Sinitic;;;;;;;;;x
han;Han;;;;;;;;;x
bodpa;Bodpa;;;;;;;;;x
zhao;Zhao;;;;;;;;;x
mesoamerican;Mesoamerican;;;;;;;;;x
nahuatl;Nahuatlacatl;;;;;;;;;x
inuit;Inuit;;;;;;;;;x
tuniq;Tuniq;;;;;;;;;x
austronesian;Austronesian;;;;;;;;;x
dienviet;Ðiên Viêt;;;;;;;;;x
javanese;Jawa;;;;;;;;;x
