ca_strongold_up_0;Stronghold Expansion;;;;;;;;;;;;;x
ca_strongold_up_1;Stronghold Secondary Walls;;;;;;;;;;;;;x
ca_strongold_up_2;Stronghold Secondary Gatehouse;;;;;;;;;;;;;x
ca_strongold_up_3;Stronghold Secondary Portcullis;;;;;;;;;;;;;x
ca_strongold_up_4;Stronghold Secondary Moat;;;;;;;;;;;;;x
ca_strongold_up_5;Stronghold Secondary Arrow Slits;;;;;;;;;;;;;x
ca_strongold_up_6;Stronghold Secondary Barbicans;;;;;;;;;;;;;x
ca_strongold_up_7;Stronghold Secondary Ballista Towers;;;;;;;;;;;;;x
ca_strongold_up_dummy;placeholder;;;;;;;;;;;;;x
ca_citadel_1;Citadel;;;;;;;;;;;;;x
ca_citadel_2;Improved Citadel Walls;;;;;;;;;;;;;x
ca_citadel_3;Improved Citadel Towers;;;;;;;;;;;;;x
ca_citadel_4;renowned Citadel Walls;;;;;;;;;;;;;x
ca_citadel_5;renowned Citadel Tower;;;;;;;;;;;;;x
ca_citadel_6;Epic Citadel;;;;;;;;;;;;;x
ca_citadel_7;Legendary Citadel;;;;;;;;;;;;;x
ca_citadel_dummy;placeholder;;;;;;;;;;;;;x
ca_militia_spear_1;Primitive Spear Militia Initiative;;;;;;;;;;;;;x
ca_militia_spear_2;Minimal Spear Militia Training Fields;;;;;;;;;;;;;x
ca_militia_spear_3;Spear Militia Training Fields;;;;;;;;;;;;;x
ca_militia_spear_4;Minor Spear Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_spear_5;Spear Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_spear_6;Minor Spear Militia Garrison;;;;;;;;;;;;;x
ca_militia_spear_7;Spear Militia Garrison;;;;;;;;;;;;;x
ca_militia_bow_1;Primitive Bow Militia Initiative;;;;;;;;;;;;;x
ca_militia_bow_2;Minimal Bow Militia Training Fields;;;;;;;;;;;;;x
ca_militia_bow_3;Bow Militia Training Fields;;;;;;;;;;;;;x
ca_militia_bow_4;Minor Bow Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_bow_5;Bow Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_bow_6;Minor Bow Militia Garrison;;;;;;;;;;;;;x
ca_militia_bow_7;Bow Militia Garrison;;;;;;;;;;;;;x
ca_militia_bow_dummy;placeholder;;;;;;;;;;;;;x
ca_militia_foot_1;Primitive Foot Militia Initiative;;;;;;;;;;;;;x
ca_militia_foot_2;Minimal Foot Militia Training Fields;;;;;;;;;;;;;x
ca_militia_foot_3;Foot Militia Training Fields;;;;;;;;;;;;;x
ca_militia_foot_4;Minor Foot Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_foot_5;Foot Militia Mustering Grounds;;;;;;;;;;;;;x
ca_militia_foot_6;Minor Foot Militia Garrison;;;;;;;;;;;;;x
ca_militia_foot_7;Foot Militia Garrison;;;;;;;;;;;;;x
ca_militia_foot_dummy;placeholder;;;;;;;;;;;;;x
ca_mrc_1;Minimal Mercenary Contracts;;;;;;;;;;;;;x
ca_mrc_2;Limited Mercenary Contracts;;;;;;;;;;;;;x
ca_mrc_3;Mercenary Contracts;;;;;;;;;;;;;x
ca_mrc_4;Expanded Mercenary Contracts;;;;;;;;;;;;;x
ca_mrc_5;Efficient Mercenary Contracts;;;;;;;;;;;;;x
ca_mrc_6;Mercenary Chapter Integration;;;;;;;;;;;;;x
ca_mrc_7;Mercenary Company Integration;;;;;;;;;;;;;x
ca_mrc_dummy;placeholder;;;;;;;;;;;;;x
ca_foraux_1;Minimal Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_2;Limited Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_3;Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_4;Expanded Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_5;Efficient Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_6;Superior Foreign Auxilliary Recruitment;;;;;;;;;;;;;x
ca_foraux_7;Foreign Auxilliary Integration;;;;;;;;;;;;;x
ca_foraux_dummy;placeholder;;;;;;;;;;;;;x
