#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jester;Court Jester;Bouffon;Hofnarr;;Bufón de la corte;;;;;;;;;x
swans;Keeper of the Swans;Gardien des cygnes;Schwanenhüter ;;Cuidador de cisnes;;;;;;;;;x
horsemaster;Master of Horse;Maître de cavalerie;Stallmeister;;Maestro de cuadras;;;;;;;;;x
huntsman;Master of the Hunt;Maître de chasse;Jägermeister;;Maestro de caza;;;;;;;;;x
almoner;High Almoner;Grand aumônier;Großalmosenier;;Limosnero mayor;;;;;;;;;x
cupbearer;Cupbearer;Échanson;Mundschenk;;Copero;;;;;;;;;x
seneschal;Seneschal;Sénéchal;Seneschall;;Senescal;;;;;;;;;x
regent;Regent;Régent;Regent;;Regente;;;;;;;;;x
knight;Knight;;;;;;;;;;;;;x
title_guard;Personal Guard;;;;;;;;;;;;;x
title_guard_desc;This title is to be appointed to loyal knights -- sworn to protect the liege with their own lives.;;;;;;;;;;;;;x
guard;Personal Guard;;;;;;;;;;;;;x
guard_desc;This character is entrusted to follow and protect his Lord from any threats or physical danger.;;;;;;;;;;;;;x
title_primate;Primate;;;;;;;;;;;;;x
title_primate_desc;A Primate is the head of the Cardinals and Bishops in a specific area. The Primate is nominated by Pope himself and granted the head office in the area's  local Church by the ruler, making him a person of significant influence, respect and power.;;;;;;;;;;;;;x
title_standard_-_bearer;Standard Bearer;;;;;;;;;;;;;x
title_standard_-_bearer_desc;The Standard Bearer holds the Personal Standard of his Lord during battles and state ceremonies.;;;;;;;;;;;;;x
title_steward;Steward;;;;;;;;;;;;;x
title_steward_desc;The Steward is a personal servant of his Lord. The title is in most of cases purely honorary.;;;;;;;;;;;;;x
title_keeper_of_the_great_seal;Keeper of the Great Seal;;;;;;;;;;;;;x
title_keeper_of_the_great_seal_desc;The Keeper of the Great Seal is one of the most honourable offices. His duty is to keep the Great Seal, which allows his Lord to sign official documents.;;;;;;;;;;;;;x
title_armour_bearer;Armour Bearer;;;;;;;;;;;;;x
title_armour_bearer_desc;The title should go to a loyal personal servant who has had a martial education.;;;;;;;;;;;;;x
