#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event Modifiers;;;;;;;;;;;;;;
nm_peasant_resistance;Peasant Resistance;;;;;;;;;;;;;x
nm_peasant_resistance_desc;Due to high taxes or some other slight on the small-holders, the peasantry are up in arms against your rule.;;;;;;;;;;;;;x
nm_possessed_odin;Son of Odin;;;;;;;;;;;;;x
nm_possessed_odin_desc;This character believes he is the son of Odin!;;;;;;;;;;;;;x
nm_possessed_odin_recognised;Son of Odin;;;;;;;;;;;;;x
nm_possessed_odin_recognised_desc;This character believes he is the son of Odin! And so does others!;;;;;;;;;;;;;x
nm_possessed_loke;Son of Loke;;;;;;;;;;;;;x
nm_possessed_loke_desc;This character believes he is the son of Loke! ;;;;;;;;;;;;;x
nm_possessed_loke_recognised;Son of Loke;;;;;;;;;;;;;x
nm_possessed_loke_recognised_desc;This character believes he is the son of Loke!  And so do others!;;;;;;;;;;;;;x
nm_possessed_freya;Daughter of Freya;;;;;;;;;;;;;x
nm_possessed_freya_desc;This character believes she is the daughter of Freya! ;;;;;;;;;;;;;x
nm_possessed_freya_recognised;Daughter of Freya;;;;;;;;;;;;;x
nm_possessed_freya_recognised_desc;This character believes she is the daughter of Freya!  And so do others!;;;;;;;;;;;;;x
nm_one_eyed;One-Eyed;;;;;;;;;;;;;x
nm_one_eyed_desc;This character tore of his own eye.;;;;;;;;;;;;;x
#PeasantEvents;;;;;;;;;;;;;;
EVTDESC300000;The free farmers in [Root.GetName] demand that I relinquish some of my control!;;;;;;;;;;;;;x
EVTOPTA300000;Hmm... they may have a point.;;;;;;;;;;;;;x
EVTOPTB300000;HA HA HA HA HA... Oh, you are serious? No.;;;;;;;;;;;;;x
EVTDESC301000;The free farmers in [Root.GetName] are resisting what they claim to be draconian taxes!;;;;;;;;;;;;;x
EVTOPTA301000;Filthy peasants.;;;;;;;;;;;;;x
EVTDESC301001;The free farmers in [Root.GetName] are resisting our foreign rule!;;;;;;;;;;;;;x
EVTOPTA301001;Filthy peasants.;;;;;;;;;;;;;x
EVTDESC301002;One of our bailiffs was attacked while traveling in [Root.GetName] by peasants!;;;;;;;;;;;;;x
EVTOPTA301002;Punish the peasants!;;;;;;;;;;;;;x
EVTOPTB301002;Perhaps a small tax-return is in order...;;;;;;;;;;;;;x
EVTOPTC301002;I never liked that guy, either.;;;;;;;;;;;;;x
EVTDESC302000;The peasant small-holders in [Root.GetName] have returned to their farms, for now.;;;;;;;;;;;;;x
EVTOPTA302000;Some peace at last!;;;;;;;;;;;;;x
EVTDESC303000;You have lost the respect of the people, and a challenger has risen against you!;;;;;;;;;;;;;x
EVTOPTA303000;His head will decorate my hall!;;;;;;;;;;;;;x
EVTDESC301003;Your liege cares not that you were beat up by farmers!;;;;;;;;;;;;;x
EVTOPTA301003;That ergi!;;;;;;;;;;;;;x
EVTDESC301004;A challenger has risen against you, gaining support because of your attempts to centralize power around the crown!;;;;;;;;;;;;;x
EVTOPTA301004;Remove his support by decentralizing!;;;;;;;;;;;;;x
EVTOPTB301004;Remove his support BY REMOVING HIS HEAD! TO WAR!;;;;;;;;;;;;;x
#RandomEvents;;;;;;;;;;;;;;
EVTDESC340000;My chief is weak! I bet I could take him in a fight!;;;;;;;;;;;;;x
EVTOPTA340000;I'll challenge him!;;;;;;;;;;;;;x
EVTOPTB340000;Nah. On second thought, I got better things to do...;;;;;;;;;;;;;x
EVTTOOLTIP340001;Send out the challenge!;;;;;;;;;;;;;x
EVTDESC340001;One of your subjects challenge you to a duel!;;;;;;;;;;;;;x
EVTOPTA340001;I accept!;;;;;;;;;;;;;x
EVTOPTB340001;I back down!;;;;;;;;;;;;;x
EVTOPTC340001;Convince him otherwise;;;;;;;;;;;;;x
EVTTOOLTIP340002;Agree to the duel;;;;;;;;;;;;;x
EVTTOOLTIP340003;Back out of the duel;;;;;;;;;;;;;x
EVTTOOLTIP340004;Convince him this is unnecessary;;;;;;;;;;;;;x
EVTDESC340002;Your liege have agreed to the duel.;;;;;;;;;;;;;x
EVTOPTA340002;Get ready to rumble!;;;;;;;;;;;;;x
EVTDESC340003;Your liege have denied to duel.;;;;;;;;;;;;;x
EVTOPTA340003;What a sniveling coward...;;;;;;;;;;;;;x
EVTDESC340004;Your liege made a very persuasive case on why this whole challenge was just unnecessary...;;;;;;;;;;;;;x
EVTOPTA340004;Huh.;;;;;;;;;;;;;x
EVTTOOLTIP340005;You wounded your liege!;;;;;;;;;;;;;x
EVTTOOLTIP340006;You maimed your liege!;;;;;;;;;;;;;x
EVTTOOLTIP340007;You killed your liege!;;;;;;;;;;;;;x
EVTTOOLTIP340008;Your liege won!;;;;;;;;;;;;;x
EVTTOOLTIP340009;You won!;;;;;;;;;;;;;x
EVTDESC340005;You lost the duel, and was wounded in the process!;;;;;;;;;;;;;x
EVTOPTA340005;Ouch;;;;;;;;;;;;;x
EVTDESC340006;You lost the duel, and was maimed in the process!;;;;;;;;;;;;;x
EVTOPTA340006;Ouch;;;;;;;;;;;;;x
EVTDESC340007;You lost the duel, and was killed in the process!;;;;;;;;;;;;;x
EVTOPTA340007;Farewell cruel world!;;;;;;;;;;;;;x
EVTDESC340008;You won the duel!;;;;;;;;;;;;;x
EVTOPTA340008;Victory is mine!;;;;;;;;;;;;;x
EVTDESC340009;You lost the duel!;;;;;;;;;;;;;x
EVTOPTA340009;Next time I'll get him!;;;;;;;;;;;;;x
EVTDESC340010;Your pagan husband has gone too far! He has enslaved some poor monks!;;;;;;;;;;;;;x
EVTOPTA340010;Tell him he'll sleep on the couch if they are not released!;;;;;;;;;;;;;x
EVTOPTB340010;Monks, schmonks.;;;;;;;;;;;;;x
EVTTOOLTIP340011;Tell him to release the monks!;;;;;;;;;;;;;x
EVTDESC340011;Your christian wife (Odin knows why you married her) says that if you do not immediately release all monks in your captivity, you'll have to sleep on the couch!;;;;;;;;;;;;;x
EVTOPTA340011;The couch? Looks like the monks are free...;;;;;;;;;;;;;x
EVTOPTB340011;I need those monks for... reasons.;;;;;;;;;;;;;x
EVTDESC340012;Your wife has proved utterly incompetent in running the household!;;;;;;;;;;;;;x
EVTOPTA340012;Oh well, nothing I can do...;;;;;;;;;;;;;x
EVTOPTB340012;I'll get a new wife! ;;;;;;;;;;;;;x
EVTOPTC340012;Beat some sense into her!;;;;;;;;;;;;;x
EVTOPTD340012;I guess I'll take over her duties...;;;;;;;;;;;;;x
EVTTOOLTIP340013;Your wife gets the message;;;;;;;;;;;;;x
EVTTOOLTIP340014;You beat your wife;;;;;;;;;;;;;x
EVTDESC340013;Your spouse have divorced you!;;;;;;;;;;;;;x
EVTOPTA340013;Why dear? Why?!;;;;;;;;;;;;;x
EVTDESC340014;Your husband have hit you!;;;;;;;;;;;;;x
EVTOPTA340014;Time for a divorce!;;;;;;;;;;;;;x
EVTOPTB340014;But... I love him!;;;;;;;;;;;;;x
EVTDESC340015;Seeing you run the household personally have caused people to talk behind your back...;;;;;;;;;;;;;x
EVTOPTA340015;Damn!;;;;;;;;;;;;;x
EVTOPTB340015;Time to teach them why I am the chief!;;;;;;;;;;;;;x
EVTDESC340016;The people of [Root.GetName] have returned to their old ways!;;;;;;;;;;;;;x
EVTOPTA340016;Hail Odin!;;;;;;;;;;;;;x
EVTDESC340017;You were woken up in the early hours in the morning with disastrous news! A thrall had escaped!;;;;;;;;;;;;;x
EVTOPTA340017;Oh well...;;;;;;;;;;;;;x
EVTOPTB340017;I will have his head on a spike!;;;;;;;;;;;;;x
EVTOPTC340017;Cover it up.;;;;;;;;;;;;;x
EVTDESC340018;There's been talk among the people that you are too cowardly to go on viking...;;;;;;;;;;;;;x
EVTOPTA340018;I don't care about talk!;;;;;;;;;;;;;x
EVTOPTB340018;They think me a coward? Time to pillage!;;;;;;;;;;;;;x
EVTDESC340019;After I returned from the viking, I have heard talk that my dear spouse have been having a lot of fun with my courtiers, servants, hird, thralls, random passers by...;;;;;;;;;;;;;x
EVTOPTA340019;I'm sure there is nothing to the rumours.;;;;;;;;;;;;;x
EVTOPTB340019;What? But... only I can do that!;;;;;;;;;;;;;x
EVTOPTC340019;Time for a divorce!;;;;;;;;;;;;;x
EVTOPTD340019;So?;;;;;;;;;;;;;x
#Possessed!;;;;;;;;;;;;;;
EVTDESC340020;It all became clear this morning. I am the son Odin, the Allfather and creator of man!;;;;;;;;;;;;;x
EVTOPTA340020;Hail me!;;;;;;;;;;;;;x
EVTDESC340021;A Godi dared to challenge me today, claiming that no son of Odin should have two eyes! Which I have!;;;;;;;;;;;;;x
EVTOPTA340021;NOT ANYMORE!;;;;;;;;;;;;;x
EVTOPTB340021;He... might have a point...;;;;;;;;;;;;;x
EVTDESC340022;Your husband believes that he is the son of Odin, the Allfather!;;;;;;;;;;;;;x
EVTOPTA340022;Perhaps... perhaps he is?;;;;;;;;;;;;;x
EVTOPTB340022;This is what Christians call blasphemy!;;;;;;;;;;;;;x
EVTDESC340023;Your wife said she thinks you are the son of Odin, the Allfather!;;;;;;;;;;;;;x
EVTOPTA340023;Of course!;;;;;;;;;;;;;x
EVTTOOLTIP340024;Inform your wife of your decision.;;;;;;;;;;;;;x
EVTDESC340024;Your wife came to you and said that you should stop thinking you are the son of Odin!;;;;;;;;;;;;;x
EVTOPTA340024;Begone wife!;;;;;;;;;;;;;x
EVTOPTB340024;Perhaps... Perhaps she is right?;;;;;;;;;;;;;x
EVTDESC340025;As you walked through the farm, you didn't find Hugin and Munin any where! I was certain dad, Odin the Allfather, gave me some!;;;;;;;;;;;;;x
