#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Laws;;;;;;;;;;;;;;
nm_temple_control;Godi Respect;;;;;;;;;;;;;x
nm_temple_control_desc;Godi Respect controls the proportion of their men and how much tribute that Godis provide to their lord.;;;;;;;;;;;;;x
nm_temple_control_0;No Respect;;;;;;;;;;;;;x
nm_temple_control_0_option;None;;;;;;;;;;;;;x
nm_temple_control_0_desc;The individual Godis do not respect their lord and provide no tribute or men.;;;;;;;;;;;;;x
nm_temple_control_1;Some Respect;;;;;;;;;;;;;x
nm_temple_control_1_option;Some;;;;;;;;;;;;;x
nm_temple_control_1_desc;The individual Godis have some respect for their chief and provide a paltry tribute and some men.;;;;;;;;;;;;;x
nm_temple_control_2;Very Respected;;;;;;;;;;;;;x
nm_temple_control_2_option;Very;;;;;;;;;;;;;x
nm_temple_control_2_desc;The individual Godis respect their lord and provide decent tribute and men.;;;;;;;;;;;;;x
nm_temple_control_3;Great Respect;;;;;;;;;;;;;x
nm_temple_control_3_option;Great;;;;;;;;;;;;;x
nm_temple_control_3_desc;The individual Godis have enormous respect for their lord and provide great tribute and a large number of men.;;;;;;;;;;;;;x
nm_castle_control;Vassal Respect;;;;;;;;;;;;;x
nm_castle_control_desc;Vassal Respect controls the proportion of their hird and how much tribute that vassal lords provide to their lord.;;;;;;;;;;;;;x
nm_castle_control_0;No Respect;;;;;;;;;;;;;x
nm_castle_control_0_option;None;;;;;;;;;;;;;x
nm_castle_control_0_desc;The individual Høvdings and Jarls do not respect their liege and provide no tribute or men.;;;;;;;;;;;;;x
nm_castle_control_1;Some Respect;;;;;;;;;;;;;x
nm_castle_control_1_option;Some;;;;;;;;;;;;;x
nm_castle_control_1_desc;The individual Høvdings and Jarls have some respect for their chief and provide a paltry tribute and some men.;;;;;;;;;;;;;x
nm_castle_control_2;Very Respected;;;;;;;;;;;;;x
nm_castle_control_2_option;Very;;;;;;;;;;;;;x
nm_castle_control_2_desc;The individual Høvdings and Jarls respect their liege and provide decent tribute and men.;;;;;;;;;;;;;x
nm_castle_control_3;Great Respect;;;;;;;;;;;;;x
nm_castle_control_3_option;Great;;;;;;;;;;;;;x
nm_castle_control_3_desc;The individual Høvdings and Jarls have enormous respect for their liege and provide great tribute and a large number of men.;;;;;;;;;;;;;x
nm_city_control;Town Respect;;;;;;;;;;;;;x
nm_city_control_desc;Town Respect controls the proportion of their guard and how much tax that towns provide to their lord.;;;;;;;;;;;;;x
nm_city_control_0;No Respect;;;;;;;;;;;;;x
nm_city_control_0_option;None;;;;;;;;;;;;;x
nm_city_control_0_desc;The individual Towns and Cities do not respect their lord and provide no tax nor men.;;;;;;;;;;;;;x
nm_city_control_1;Some Respect;;;;;;;;;;;;;x
nm_city_control_1_option;Some;;;;;;;;;;;;;x
nm_city_control_1_desc;The individual Towns and Cities have some respect for their chief and provide a paltry tax and some men.;;;;;;;;;;;;;x
nm_city_control_2;Very Respected;;;;;;;;;;;;;x
nm_city_control_2_option;Very;;;;;;;;;;;;;x
nm_city_control_2_desc;The individual Towns and Cities respect their lord and provides a large tax and men.;;;;;;;;;;;;;x
nm_city_control_3;Great Respect;;;;;;;;;;;;;x
nm_city_control_3_option;Great;;;;;;;;;;;;;x
nm_city_control_3_desc;The individual Towns and Cities have enormous respect for their lord and provides much tax and a decent sized number of men.;;;;;;;;;;;;;x
nm_centralization;Central Authority;;;;;;;;;;;;;x
nm_centralization_desc;While the Norse hierarchy is rather loose, there is still a dispute over how much authority the King should have... a prestigious king may force through centralization at the cost of upsetting everyone else.;;;;;;;;;;;;;x
nm_centralization_0;Traditional;;;;;;;;;;;;;x
nm_centralization_0_option;Min;;;;;;;;;;;;;x
nm_centralization_0_desc;Høvdings and Jarls are able to make their own laws as they always have, with minimal input from whomever is King at the moment.;;;;;;;;;;;;;x
nm_centralization_1;Sparse Centralization;;;;;;;;;;;;;x
nm_centralization_1_option;Sparse;;;;;;;;;;;;;x
nm_centralization_1_desc;Nothing has changed among the Høvdings, Godis and Jarls, but the Monarch can now freely take the lands of the followers of other Gods.;;;;;;;;;;;;;x
nm_centralization_2;Medium Centralization;;;;;;;;;;;;;x
nm_centralization_2_option;Medium;;;;;;;;;;;;;x
nm_centralization_2_desc;The chiefs can no longer wage wars on each other, nor can their lands pass outside the monarch's protection through inheritance.;;;;;;;;;;;;;x
nm_centralization_3;High Centralization;;;;;;;;;;;;;x
nm_centralization_3_option;High;;;;;;;;;;;;;x
nm_centralization_3_desc;The lords can now revoke the titles of their lessers, and a more strict hierarchy is appearing with the Monarch at the top.;;;;;;;;;;;;;x
nm_centralization_4;Centralized State;;;;;;;;;;;;;x
nm_centralization_4_option;Max;;;;;;;;;;;;;x
nm_centralization_4_desc;The monarch now rules a true state... or as much as the monarch can without the aid of a church hierarchy. The monarch can now force the Jarls, Chiefs and Godis to leave their place on the battlefield.;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTDESC303001;Your respect among the chiefs has increased!;;;;;;;;;;;;;x
EVTOPTA303001;Hail Odin!;;;;;;;;;;;;;x
EVTOPTB303001;Hail Tyr!;;;;;;;;;;;;;x
EVTDESC303004;Your respect among the chiefs has decreased!;;;;;;;;;;;;;x
EVTOPTA303004;Damn Loke!;;;;;;;;;;;;;x
EVTDESC303007;Your respect among the Godis has increased!;;;;;;;;;;;;;x
EVTOPTA303007;Hail Odin!;;;;;;;;;;;;;x
EVTOPTB303007;Hail Tyr!;;;;;;;;;;;;;x
EVTDESC303009;Your respect among the Godis has decreased!;;;;;;;;;;;;;x
EVTOPTA303009;Damn Loke!;;;;;;;;;;;;;x
EVTDESC303012;Your respect among the townsfolk has increased!;;;;;;;;;;;;;x
EVTOPTA303012;Hail Odin!;;;;;;;;;;;;;x
EVTOPTB303012;Hail Tyr!;;;;;;;;;;;;;x
EVTDESC303015;Your respect among the townsfolk has decreased!;;;;;;;;;;;;;x
EVTOPTA303015;Damn Loke!;;;;;;;;;;;;;x
EVTDESC303023;Maintenance event;;;;;;;;;;;;;x
EVTOPTA303023;Nothing to see here!;;;;;;;;;;;;;x
