#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Decisions;;;;;;;;;;;;;;
nm_go_viking;Go on a Viking!;;;;;;;;;;;;;x
nm_go_viking_desc;While I may be unable to muster the hosts for grand raids as the larger chiefs, I may rally a few boats to my name to trade, explore and plunder. Time to go on a viking!;;;;;;;;;;;;;x
nm_return_home;Return home;;;;;;;;;;;;;x
nm_return_home_desc;The harvest waits and our longboats are already full of gains.;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTTOOLTIP322000;Surprised by knights!;;;;;;;;;;;;;x
EVTDESC322000;As you and your men plunder, you are beset by a group of heavily armed knights!;;;;;;;;;;;;;x
EVTOPTA322000;To Valhalla!;;;;;;;;;;;;;x
EVTOPTB322000;He who runs away, lives to plunder another day!;;;;;;;;;;;;;x
EVTDESC321000;As the months pass, the men begin to get restless for home and wives…;;;;;;;;;;;;;x
EVTOPTA321000;Let us get home!;;;;;;;;;;;;;x
EVTOPTB321000;Just one… more… village…;;;;;;;;;;;;;x
EVTDESC320000;A small fishing village has been spotted!;;;;;;;;;;;;;x
EVTOPTA320000;Pillage!;;;;;;;;;;;;;x
EVTOPTB320000;Trade!;;;;;;;;;;;;;x
EVTOPTC320000;Leave!;;;;;;;;;;;;;x
EVTDESC320001;A fishing village has been spotted!;;;;;;;;;;;;;x
EVTDESC320002;A monastery has been spotted!;;;;;;;;;;;;;x
EVTDESC321001;At first, the creaking of the longboat could have been anything… but as the creature got into sight, there could be no doubt. The Kraken!;;;;;;;;;;;;;x
EVTOPTA321001;Valhalla awaits!;;;;;;;;;;;;;x
EVTOPTB321001;Every man for himself!;;;;;;;;;;;;;x
EVTDESC320003;A town has been spotted!;;;;;;;;;;;;;x
EVTDESC320004;An armed merchant ship has been spotted!;;;;;;;;;;;;;x
EVTDESC321002;Some of your less-than-loyal subjects have used the opportunity provided by you being on viking to try to seize power!;;;;;;;;;;;;;x
EVTOPTA321002;Why can't they let me have any fun?;;;;;;;;;;;;;x
EVTDESC321003;With the ships heavy with gold and valuables, most of your men see no reason to continue on the raid…;;;;;;;;;;;;;x
EVTOPTA321003;Time to return to our farms!;;;;;;;;;;;;;x
EVTOPTB321003;Heavy with riches? NOT ANY MORE!;;;;;;;;;;;;;x
EVTDESC322001;It might be time to raid and trade once more...;;;;;;;;;;;;;x
EVTOPTA322001;Ja!;;;;;;;;;;;;;x
