#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
religious_defense;Religious Defense;Religious Defense;Religious Defense;;Religious Defense;;;;;;;;;x
desc_religious_defense;We're defending against a holy war. Everyone is doing what they can to fend off the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;;;;;;;;;x
disorganized;Disorganized;Disorganized;Disorganized;;Disorganized;;;;;;;;;x
desc_disorganized;We're rather disorganized at the moment.;;We're rather disorganized at the moment.;;We're rather disorganized at the moment.;;;We're rather disorganized at the moment.;;;;;;;;;x
muslim_merchant_republic;Muslim Merchant Republic;;;;;;;;;;;;;x
desc_muslim_merchant_republic;Historically, Muslims never become a major trading force in the Mediterranean.;;;;;;;;;;;;;x
desc_low_decadence;Our decadence is low, making everyone like us more.;;;;;;;;;;;;;x
desc_medium_decadence;We are decadent and many are therefore questioning our legitimate rule;;;;;;;;;;;;;x
desc_high_decadence;We are highly decadent and many are therefore questioning our legitimate rule;;;;;;;;;;;;;x
immortal;Immortal;;;;;;;;;;;;;x
immortal_desc;Immortals will never succumb to old age, but they can still die from other causes.;;;;;;;;;;;;;x
formation_of_rum;Newly Formed Realm;;;;;;;;;;;;;x
war_torn;War-torn;;;;;;;;;;;;;x
bulgarian_unrest;Bulgarian Unrest;;;;;;;;;;;;;x
bulgarian_unrest_2;Bulgarian Unrest;;;;;;;;;;;;;x
culture_clash;Culture Clash;;;;;;;;;;;;;x
decentralized_hre;Decentralized HRE;;;;;;;;;;;;;x
theme_system;Decayed Theme System;;;;;;;;;;;;;x
theme_system_2;Intact Theme System;;;;;;;;;;;;;x
launched_subjugation;Subjugation Cooldown;;;;;;;;;;;;;x
baqt;Baqt;;;;;;;;;;;;;x
sahara;Sahara;;;;;;;;;;;;;x
af_mil_cooperation_t1;Military cooperation;;;;;;;;;;;;;x
af_eco_cooperation_t1;Economic cooperation;;;;;;;;;;;;;x
autonomy_commended;Commended by vassals;;;;;;;;;;;;;x
ca_revoke_cooldown;Crown law revocation cooldown;;;;;;;;;;;;;x
ca_revoke_cooldown_desc;Crown authority laws were recently revoked due to a faction ultimatum or revolt. It will take time before the realm's nobles are willing to support the revocation of their remaining laws.;;;;;;;;;;;;;x
ca_revoke_cooldown_ctt;§Y[This.GetTitledFirstName]§!'s realm enters a crown law revocation cooldown period.\n;;;;;;;;;;;;;x
rum;Ignore the man behind the curtain;;;;;;;;;;;;;x
opinion_refused_ultimatum;Refused ultimatum;;;;;;;;;;;;;x
opinion_recently_refused_ultimatum;Recently refused ultimatum;;;;;;;;;;;;;x
opinion_accepted_ultimatum;Accepted ultimatum;;;;;;;;;;;;;x
reduced_obligations;Reduced obligations;;;;;;;;;;;;;x
opinion_betrayed_autonomy_faction;Betrayed faction;;;;;;;;;;;;;x
