#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
toggle_loan_decisions;Toggle Loan Decisions;;;;;;;;;;;;;x
toggle_loan_decisions_desc;As a ruler you can take up loans in order to finance construction or war. At times this can be necessary to survive, or provide future gain, but do note that you'll have to pay 10% interest each year as long as you have loans, and another 10% upon repayment. As these loans are taken from Jewish bankers, they cannot be taken if Jews have been expelled from the realm.;;;;;;;;;;;;;x
take_small_loan;Take Small Loan;;;;;;;;;;;;;x
take_small_loan_desc;Take up a loan of 100¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;;;;;;;;;;x
take_medium_loan;Take Medium Loan;;;;;;;;;;;;;x
take_medium_loan_desc;Take up a loan of 200¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;;;;;;;;;;x
take_large_loan;Take Large Loan;;;;;;;;;;;;;x
take_large_loan_desc;Take up a loan of 400¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;;;;;;;;;;x
take_huge_loan;Take Huge Loan;;;;;;;;;;;;;x
take_huge_loan_desc;Take up a loan of 800¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;;;;;;;;;;x
repay_small_loan;Repay Small Loan;;;;;;;;;;;;;x
repay_small_loan_desc;Repay your small loan, paying 100¤ for the loan itself and 10¤ in interest.;;;;;;;;;
repay_medium_loan;Repay Medium Loan;;;;;;;;;;;;;x
repay_medium_loan_desc;Repay your medium loan, paying 200¤ for the loan itself and 20¤ in interest.;;;;;;;;;
repay_large_loan;Repay Large Loan;;;;;;;;;;;;;x
repay_large_loan_desc;Repay your large loan, paying 400¤ for the loan itself and 40¤ in interest.;;;;;;;;;
repay_huge_loan;Repay Huge Loan;;;;;;;;;;;;;x
repay_huge_loan_desc;Repay your huge loan, paying 800¤ for the loan itself and 80¤ in interest.;;;;;;;;;
meneth.203.desc;We've got to pay interest on our loans.;;;;;;;;;;;;;x
meneth.203.a;Pay Interest;;;;;;;;;;;;;x
meneth.203.b;Pay Back as Much as Possible;;;;;;;;;;;;;x
pay_interest;Pay 10% Interest;;;;;;;;;;;;;x
repay_loans;Pay 10% Interest and Pay Back as Much as Possible;;;;;;;;;;;;;x
small_loan;Small Loan;;;;;;;;;;;;;x
medium_loan;Medium Loan;;;;;;;;;;;;;x
large_loan;Large Loan;;;;;;;;;;;;;x
huge_loan;Huge Loan;;;;;;;;;;;;;x
