#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** SAXON **;;;;;;;;;;;;;;
emperor_saxon;C閟ere;C閟ere;C閟ere;;C閟ere;;;;;;;;;x
emperor_female_saxon;C醩ern;C醩ern;C醩ern;;C醩ern;;;;;;;;;x
emperor_title_ruler_consort_saxon;C閟ere;C閟ere;C閟ere;;C閟ere;;;;;;;;;x
emperor_title_ruler_consort_female_saxon;Cw閚;Cw閚;Cw閚;;Cw閚;;;;;;;;;x
emperor_title_queen_mother_female_saxon;R鎠wacennicge;R鎠wacennicge;R鎠wacennicge;;R鎠wacennicge;;;;;;;;;x
city_emperor_saxon;Grand 起eling;Grand 起eling;Grand 起eling;;Grand 起eling;;;;;;;;;x
empire_of_saxon;C醩err韈e of;C醩err韈e of;C醩err韈e of;;C醩err韈e of;;;;;;;;;x
king_saxon;Cyning;Cyning;Cyning;;Cyning;;;;;;;;;x
king_female_saxon;Cyninge;Cyninge;Cyninge;;Cyninge;;;;;;;;;x
title_regent_saxon;Regolwearda;Regolwearda;Regolwearda;;Regolwearda;;;;;;;;;x
title_ruler_consort_saxon;Efengem鎐ca;Efengem鎐ca;Efengem鎐ca;;Efengem鎐ca;;;;;;;;;x
title_ruler_consort_female_saxon;Cw閚;Cw閚;Cw閚;;Cw閚;;;;;;;;;x
title_queen_mother_saxon;Cw閚;Cw閚;Cw閚;;Cw閚;;;;;;;;;x
title_prince_saxon;起eling;起eling;起eling;;起eling;;;;;;;;;x
title_prince_female_saxon;起elinge;起elinge;起elinge;;起elinge;;;;;;;;;x
city_king_saxon;Folcefri餫n;Folcefri餫n;Folcefri餫n;;Folcefri餫n;;;;;;;;;x
kingdom_of_saxon;Cyner韈e of;Cyner韈e of;Cyner韈e of;;Cyner韈e of;;;;;;;;;x
duke_saxon;Eorl;Eorl;Eorl;;Eorl;;;;;;;;;x
duke_female_saxon;Hlaefdige;Hlaefdige;Hlaefdige;;Hlaefdige;;;;;;;;;x
duke_title_ruler_consort_saxon;Eorl;Eorl;Eorl;;Eorl;;;;;;;;;x
duke_title_ruler_consort_female_saxon;Hlaefdige;Hlaefdige;Hlaefdige;;Hlaefdige;;;;;;;;;x
city_duke_saxon;Doge;Doge;Doge;;Doge;;;;;;;;;x
duchy_of_saxon;Eorledom of;Eorledom of;Eorledom of;;Eorledom of;;;;;;;;;x
count_saxon;Ealdorman;Ealdorman;Ealdorman;;Ealdorman;;;;;;;;;x
count_female_saxon;Hlaefdige;Hlaefdige;Hlaefdige;;Hlaefdige;;;;;;;;;x
county_of_saxon;Scir of;Scir of;Scir of;;Scir of;;;;;;;;;x
count_title_ruler_consort_saxon;Ealdorman;Ealdorman;Ealdorman;;Ealdorman;;;;;;;;;x
count_title_ruler_consort_female_saxon;Hlaefdige;Hlaefdige;Hlaefdige;;Hlaefdige;;;;;;;;;x
city_count_saxon;Scirger閒a;Scirger閒a;Scirger閒a;;Scirger閒a;;;;;;;;;x
baron_saxon;Thegn;Thegn;Thegn;;Thegn;;;;;;;;;x
baron_female_saxon;Hlaefdige;Hlaefdige;Hlaefdige;;Hlaefdige;;;;;;;;;x
