#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** LATVIAN **;;;;;;;;;;;;;;
emperor_lettigallish;Karalis;Karalis;Karalis;;Karalis;;;;;;;;;x
emperor_female_lettigallish;Karaliene;Karaliene;Karaliene;;Karaliene;;;;;;;;;x
emperor_title_ruler_consort_lettigallish;Karalis;Karalis;Karalis;;Karalis;;;;;;;;;x
emperor_title_ruler_consort_female_lettigallish;Saieties Karaliene;Saieties Karaliene;Saieties Karaliene;;Saieties Karaliene;;;;;;;;;x
emperor_title_queen_mother_female_lettigallish;Atraitne Karaliene;Atraitne Karaliene;Atraitne Karaliene;;Atraitne Karaliene;;;;;;;;;x
city_emperor_lettigallish;Lielknazs;Lielknazs;Lielknazs;;Lielknazs;;;;;;;;;x
empire_of_lettigallish;Karaliste ir;Karaliste ir;Karaliste ir;;Karaliste ir;;;;;;;;;x
#;;;;;;;;;;;;;;
king_lettigallish;Lielkazs;Lielk?azs;Lielk?azs;;Lielk?azs;;;;;;;;;x
king_female_lettigallish;Karaliene;Karaliene;Karaliene;;Karaliene;;;;;;;;;x
title_regent_lettigallish;Regents;Regents;Regents;;Regents;;;;;;;;;x
title_ruler_consort_lettigallish;Saieties Princis;Saieties Princis;Saieties Princis;;Saieties Princis;;;;;;;;;x
title_ruler_consort_female_lettigallish;Saieties Karaliene;Saieties Karaliene;Saieties Karaliene;;Saieties Karaliene;;;;;;;;;x
title_queen_mother_lettigallish;Mate-Karaliene;Mate-Karaliene;Mate-Karaliene;;Mate-Karaliene;;;;;;;;;x
title_prince_lettigallish;Princis;Princis;Princis;;Princis;;;;;;;;;x
title_prince_female_lettigallish;Princese;Princese;Princese;;Princese;;;;;;;;;x
city_king_lettigallish;Liels Dodžs;Liels Dodžs;Liels Dodžs;;Liels Dodžs;;;;;;;;;x
kingdom_of_lettigallish;Lielhercogiste;Lielhercogiste;Lielhercogiste;;Lielhercogiste;;;;;;;;;x
#;;;;;;;;;;;;;;
duke_lettigallish;Hercogs;Hercogs;Hercogs;;Hercogs;;;;;;;;;x
duke_female_lettigallish;Hercogiene;Hercogiene;Hercogiene;;Hercogiene;;;;;;;;;x
duke_title_ruler_consort_lettigallish;Hercogs;Hercogs;Hercogs;;Hercogs;;;;;;;;;x
duke_title_ruler_consort_female_lettigallish;Hercogiene;Hercogiene;Hercogiene;;Hercogiene;;;;;;;;;x
city_duke_lettigallish;Dodžs;Dodžs;Dodžs;;Dodžs;;;;;;;;;x
duchy_of_lettigallish;Lielhercogiste par;Lielhercogiste par;Lielhercogiste par;;Lielhercogiste par;;;;;;;;;x
#;;;;;;;;;;;;;;
count_lettigallish;Skaitit;Skaitit;Skaitit;;Skaitit;;;;;;;;;x
count_female_lettigallish;Grafiene;Grafiene;Grafiene;;Grafiene;;;;;;;;;x
county_of_lettigallish;Grafistes;Grafistes;Grafistes;;Grafistes;;;;;;;;;x
count_title_ruler_consort_lettigallish;Skaitit;Skaitit;Skaitit;;Skaitit;;;;;;;;;x
count_title_ruler_consort_female_lettigallish;Grafiene;Grafiene;Grafiene;;Grafiene;;;;;;;;;x
city_count_lettigallish;Lordmers par;Lordmers par;Lordmers par;;Lordmers par;;;;;;;;;x
#;;;;;;;;;;;;;;
baron_lettigallish;Barons;Barons;Barons;;Barons;;;;;;;;;x
baron_female_lettigallish;Baronese;Baronese;Baronese;;Baronese;;;;;;;;;x
baron_title_ruler_consort_lettigallish;Barons;Barons;Barons;;Barons;;;;;;;;;x
baron_title_ruler_consort_female_lettigallish;Baronese;Baronese;Baronese;;Baronese;;;;;;;;;x
barony_of_lettigallish;Barona Tituls  par;Barona Tituls  par;Barona Tituls  par;;Barona Tituls  par;;;;;;;;;x
city_baron_lettigallish;Mers;Mers;Mers;;Mers;;;;;;;;;x
#;;;;;;;;;;;;;;
emperor_king_christian_lettigallish;Imperators-Biskaps;Imperators-B?skaps;Imperators-B?skaps;;Imperators-B?skaps;;;;;;;;;x
temple_king_catholic_lettigallish;Karalis-B?skaps;Karalis-B?skaps;Karalis-B?skaps;;Karalis-B?skaps;;;;;;;;;x
temple_king_orthodox_lettigallish;Karalis-B?skaps;Karalis-B?skaps;Karalis-B?skaps;;Karalis-B?skaps;;;;;;;;;x
temple_duke_catholic_lettigallish;Princis-Arhib?skaps;Princis-Arhib?skaps;Princis-Arhib?skaps;;Princis-Arhib?skaps;;;;;;;;;x
temple_duke_orthodox_lettigallish;Princis-Arhibiskaps;Princis-Arhib?skaps;Princis-Arhib?skaps;;Princis-Arhib?skaps;;;;;;;;;x
temple_count_catholic_lettigallish;Princis-Biskaps;Princis-B?skaps;Princis-B?skaps;;Princis-B?skaps;;;;;;;;;x
temple_count_orthodox_lettigallish;Metropolits;Metropolits;Metropolits;;Metropolits;;;;;;;;;x
temple_baron_christian_lettigallish;Biskaps;Biskaps;Biskaps;;Biskaps;;;;;;;;;x
#;;;;;;;;;;;;;;
